study_id,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online registry entry for trial,Pre-specified outcomes obtained from protocol or registry entry?,Initial assessor Name,Assigned date,Completion date,Link to Assessment,Second assessor name,[S] Total number of prespecified PRIMARY outcomes,[S] Number of prespecified PRIMARY outcomes correctly reported,[S] Number of prespecified PRIMARY outcomes incorrectly reported ,[S] Number of prespecified PRIMARY outcomes not reported in publication,[S] Number of PRIMARY outcomes insufficiently prespecified,[S] Total number of prespecified SECONDARY outcomes,[S] Number of prespecified SECONDARY outcomes correctly reported,[S] Number of prespecified SECONDARY outcomes incorrectly reported ,[S] Number of SECONDARY outcomes not reported in publication,[S] Number of SECONDARY outcomes insufficiently prespecified,[S] Total number of NON-PRESPECIFIED outcomes reported,[S] Number of NON-PRESPECIFIED outcomes correctly declared,Total number of prespecified PRIMARY outcomes,Number of prespecified PRIMARY outcomes correctly reported,Number of prespecified PRIMARY outcomes incorrectly reported ,Number of prespecified PRIMARY outcomes not reported in publication,Number of PRIMARY outcomes insufficiently prespecified,Total number of prespecified SECONDARY outcomes,Number of prespecified SECONDARY outcomes correctly reported,Number of prespecified SECONDARY outcomes incorrectly reported ,Number of SECONDARY outcomes not reported in publication,Number of SECONDARY outcomes insufficiently prespecified,Total number of NON-PRESPECIFIED outcomes reported,Number of NON-PRESPECIFIED outcomes correctly declared,First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter ,"Letter checked by BG, CH or KM - initial and date",Letter Submission Deadline,Letter sent date,Letter Status,Letter published?,Letter published date
1,2015-10-19,NEJM,"A Randomized, Controlled Trial of Total Knee Replacement",2015-10-22,http://www.nejm.org/doi/full/10.1056/NEJMoa1505467,https://clinicaltrials.gov/ct2/show/record/NCT01410409,Registry Entry,Henry Drysdale,2015-10-25,2015-10-28,https://docs.google.com/spreadsheets/d/1BISudLrrwteQ47v9ELbRPZ0dq7wwlPn1WNwVrW_FBFU/edit#gid=0,Aaron Dale,1,1,0,0,0,6,4,0,2.0,0,6,0,1,1,0,0,0,6,4,0,2.0,0,6,0,Yes,Not Sure,Yes,https://docs.google.com/document/d/17fBfLC3QTdt617VsThn_ZD5onE9tlQHhsfeM4Kj_zTI/edit#heading=h.ftf9zx7bu9si,BG 4th nov 2015,2015-11-12 00:00:00,2015-11-04 00:00:00,Letter rejected by editor,No,
2,,NEJM,A Phase 3 Randomized Trial of Nicotinamide for Skin-Cancer Chemoprevention,2015-10-22,http://www.nejm.org/doi/full/10.1056/NEJMoa1506197,https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=12612000625875,Protocol,Henry Drysdale,2015-10-25,2015-10-28,https://docs.google.com/spreadsheets/d/1EhiJbn-WBdiFiLckQQrEG0IpCERgr4E4bEEIdPGixuE/edit#gid=0,Aaron Dale,1,1,0,0,0,22,7,0,12.0,3,0,0,1,1,0,0,0,11,4,0,4.0,3,0,0,Yes,Yes,Yes,https://docs.google.com/document/d/1SbTbq13wd79ImPBThv8r2dk91Ok6Ik6uVBfzbGEPErI/edit,BG 4th nov 2015,2015-11-12 00:00:00,2015-11-05 00:00:00,Letter rejected by editor,No,
3,,NEJM,Nivolumab versus Docetaxel in Advanced Nonsquamous Non–Small-Cell Lung Cancer,2015-10-22,http://www.nejm.org/doi/full/10.1056/NEJMoa1507643,https://clinicaltrials.gov/archive/NCT01673867/2012_10_24,Protocol,Philip Hartley,2015-10-25,2015-10-28,https://docs.google.com/spreadsheets/d/148aDkt-JstDnGBhqNdTZp8fPWCkRbLRsi4BRqlbu76g/edit#gid=0,Ioan Milosevic,1,1,0,0,0,4,2,0,1.0,1,0,0,1,1,0,0,0,4,2,0,1.0,1,0,0,Not sure,Yes,Yes,https://docs.google.com/document/d/1WLkieTOMeNYybLuJT3mHNkp-aTiLX8Kb06ENe0xPymM/edit#,BG 4th nov 2015,2015-11-12 00:00:00,2015-11-05 00:00:00,Letter rejected by editor,No,
4,,JAMA,"Naproxen With Cyclobenzaprine, Oxycodone/Acetaminophen, or Placebo for Treating Acute Low Back Pain",2015-10-20,http://jama.jamanetwork.com/article.aspx?articleid=2463257,https://clinicaltrials.gov/show/NCT01587274,Registry Entry,Ioan Milosevic,2015-10-25,2015-10-27,https://docs.google.com/spreadsheets/d/1SGn7DA_4c4roEBfIGywmTx1V4FGfzpC0D5CdxGfNP0Q/edit#gid=0,Eirion Slade,1,1,0,0,0,0,0,0,0.0,0,5,5,1,1,0,0,0,0,0,0,0.0,0,5,5,No,No,No,,Letter not required,2015-11-17 00:00:00,Not required,Letter not required,Letter not required,
5,,Ann Intern Med.,"Effects of Initiating Moderate Alcohol Intake on Cardiometabolic Risk in Adults With Type 2 Diabetes: A 2-Year Randomized, Controlled Trial",2015-10-20,http://annals.org/article.aspx?articleid=2456121,https://clinicaltrials.gov/ct2/show/NCT00784433?term=cascade+alcohol&rank=1,Registry Entry,Eirion Slade,2015-10-25,2015-10-27,https://docs.google.com/spreadsheets/d/1qftvTP-4JrI1SxV7cu6588_kiwICY7bolwP6L4vlWWI/edit,Henry Drysdale,1,0,1,0,1,1,0,0,0.0,1,14,0,1,0,1,0,1,1,0,0,0.0,1,14,0,Yes,Yes,Yes,https://docs.google.com/document/d/13rfaG2bfiOftob9XfnsT2SNycMGP1KonOqWslmfibRA/edit,BG 4th nov 2015,2015-11-17 00:00:00,2015-11-09 00:00:00,Letter published,Yes,2015-11-09
6,,Lancet,"5-year results of accelerated partial breast irradiation using sole interstitial multicatheter brachytherapy versus whole-breast irradiation with boost after breast-conserving surgery for low-risk invasive and in-situ carcinoma of the female breast: a randomised, phase 3, non-inferiority trial",2015-10-20,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00471-7/abstract,https://clinicaltrials.gov/ct2/show/study/NCT00402519,Registry Entry,Aaron Dale,2015-10-25,2015-10-27,https://docs.google.com/spreadsheets/d/1q8SkvpcAbwiw38vKK5mumvT2HQXdNysLHpkhDtxvu_k/edit#gid=0,Philip Hartley,1,1,0,0,0,3,3,0,0.0,0,2,0,1,1,0,0,0,3,3,0,0.0,0,2,0,Yes,Not Sure,No,,Letter not required (BG 6th nov 2015),2015-11-03 00:00:00,Not required,Letter not required,Letter not required,
7,,Lancet,An internet-delivered handwashing intervention to modify influenza-like illness and respiratory infection transmission (PRIMIT): a primary care randomised trial,2015-10-24,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60127-1/abstract,http://www.controlled-trials.com/ISRCTN75058295,Registry Entry,Aaron Dale,2015-10-25,2015-10-28,https://docs.google.com/spreadsheets/d/1cQ0Rd8vtTxtxcp5dFHp1j67vW6XErsPG9H2hCBFwiJE/edit,Philip Hartley,6,0,0,4,2,6,0,0,6.0,0,17,0,6,0,0,4,2,6,0,0,6.0,0,15,0,Yes,Yes,Yes,https://docs.google.com/document/d/1j0XwuqGWecGeIC1JrLyNh6FiWB7eO1G-6WTVLFBq5rw/edit#,BG CH 6th nov 2015,2015-11-07 00:00:00,2015-11-06 00:00:00,Letter published,Yes,2016-01-23
8,,Lancet,"Percutaneous tibial nerve stimulation versus sham electrical stimulation for the treatment of faecal incontinence in adults (CONFIDeNT): a double-blind, multicentre, pragmatic, parallel-group, randomised controlled trial",2015-10-24,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60314-2/abstract,http://www.isrctn.com/ISRCTN88559475,Registry Entry,Philip Hartley,2015-10-25,2015-10-29,https://docs.google.com/spreadsheets/d/1AOSJC94p4UorJKWSg_pzumr8l7DVqyAMaGBfHXhNXx0/edit,Ioan Milosevic,1,1,0,0,0,10,8,0,2.0,7,3,0,1,1,0,0,0,10,8,0,2.0,7,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1Ue6LTE2QanundimVXG-N7zJMH-kcc_b_9FU6NAbsX4U/edit#heading=h.squyjmyz1v2d,BG 6th nov 2015,2015-11-07 00:00:00,2015-11-06 00:00:00,Letter published,Yes,2016-02-13
9,,Lancet,"Eltrombopag for children with chronic immune thrombocytopenia (PETIT2): a randomised, multicentre, placebo-controlled trial",2015-10-24,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)61107-2/abstract,https://clinicaltrials.gov/archive/NCT01520909/2012_03_09,Registry Entry,Ioan Milosevic,2015-10-25,2015-10-29,https://docs.google.com/spreadsheets/d/1KNGgHyhtpJxTfDhbIheP8r4k_arybAJLwJmshrthd8M/edit#gid=0,Eirion Slade,1,1,0,0,0,22,11,1,8.0,3,1,0,1,1,0,0,0,18,7,1,8.0,3,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1KDzNEukAysEj-sPFd1Tvuq15_EW7fH4IaA_7SAy9tRw/edit#heading=h.gpply6u8p5l6,BG 6th nov 2015,2015-11-07 00:00:00,2015-11-06 00:00:00,Letter published,Yes,2016-01-23
10,,Lancet,Neurodevelopmental outcome at 2 years of age after GA or awake-regional anaesthesia in infancy (GAS),2015-11-04,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00608-X/fulltext,https://clinicaltrials.gov/ct2/show/NCT00756600?term=NCT00756600.&rank=1,Registry Entry,Eirion Slade,2015-10-25,2015-11-14,https://docs.google.com/spreadsheets/d/1Dbt4whQhiBNHQx4s1CWhBCS3_Jlp1t1yXJJBDXxbf78/edit#gid=0,Henry Drysdale,0,0,0,0,0,3,0,0,0.0,0,26,0,0,0,0,0,0,3,0,0,0.0,0,26,0,Yes,Yes,Yes,https://docs.google.com/document/d/1YF0ASzF_C5PFY4NJiGlzqrSIfK5ZcV0NGBCi9NU0JMQ/edit#heading=h.frtbs8xgpuxh,CH 17/11,2015-11-18 00:00:00,2015-11-17 00:00:00,Letter published,Yes,2016-04-16
