source_dataset,display_label,citation_key,live_rows,kept_for_figure,blocked_no_DZ,blocked_no_N,blocked_N_lt_10,blocked_replication_N_le_original_N
FReD filtered pair table,FReD,tosh2024,843,685,0,0,8,150
SCORE analyst join,SCORE project,tyner2026,282,171,0,0,1,110
LOOPR coding workbook,LOOPR,soto2019loopr,118,104,0,0,0,14
RPP canonical OSF csv,Reproducibility Project: Psychology,collaboration2015,96,63,0,0,5,28
Boyce student replication corpus,Student Replication Projects,boyce2023studentreplication,114,35,0,0,1,78
Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus,coppock2019generalizability,50,35,0,0,0,15
RPCB,Reproducibility Project: Cancer Biology,errington2021,118,33,0,0,56,29
Kerschbaumer 2020 rheumatology phase II/III,Kerschbaumer 2020 rheumatology phase II/III,internalKerschbaumerPhaseIiIiiRheumatology,32,32,0,0,0,0
Communication privacy SEM paths,Communication privacy replications,masur2025privacy,30,30,0,0,0,0
Many Labs 2 public join,Many Labs 2,klein2018,28,28,0,0,0,0
EPRP complete data,EPRP,cova2021estimating,34,27,0,0,2,5
Decision-market pair table,Decision-Market Replication Project,holzmeister2025decisionmarket,26,26,0,0,0,0
BRI primary t experiment table,Brazilian Reproducibility Initiative,amaral2019brazilian,45,21,0,0,20,4
Many Labs 5 overarching analyses,Many Labs 5,ebersole2020manylabs5,20,20,0,0,0,0
ReplicationSuccess SSRP.rda,Social Sciences Replication Project,camerer2018,21,18,0,0,0,3
251 Rescue parsed data,251 Rescue Projects,boyce2024rescue,30,17,0,0,0,13
Sports science supplemental outcomes table,Sports science replications,murphy2025sportsReplication,19,16,0,0,2,1
ReplicationSuccess RProjects.rda,Experimental Economics Replication Project,camerer2016,18,11,0,0,2,5
Altmejd harmonized Many Labs 1,Altmejd harmonized Many Labs 1,klein2014manylabs1,10,10,0,0,0,0
Altmejd harmonized Many Labs 3,Altmejd harmonized Many Labs 3,ebersole2016manylabs3,10,10,0,0,0,0
Pipeline supplement + packet data,Pipeline supplement + packet data,schweinsberg2016pipeline,10,10,0,0,0,0
Awesome replicability paired raw csvs,Awesome replicability paired raw csvs,jinAwesomeReplicabilityData,9,9,0,0,0,0
Public-admin blame Wiley table reconstruction,Public-admin blame Wiley table reconstruction,walker2024publicAdminBlame,9,9,0,0,0,0
Clinical published replication workbook,Clinical published replication workbook,ioannidis2005contradicted,7,7,0,0,0,0
EERP 2016 supplement (manual),EERP 2016 supplement (manual),camerer2016,7,7,0,0,0,0
EQIPD stagewise open-field lab contrasts,EQIPD stagewise open-field lab contrasts,arroyoaraujo2022eqipd,7,7,0,0,0,0
COVID online experiments YCLS summaries,COVID online experiments YCLS summaries,peyton2021covidonline,26,6,0,0,0,20
Appendix D supplemental,Appendix D supplemental,douglass2026appendixD,0,6,0,0,0,0
Contextual bias in verbal credibility (OSF raw),Contextual bias in verbal credibility (OSF raw),oppen2026contextual,6,6,0,0,0,0
Linguistic frame liability clean csvs,Linguistic frame liability clean csvs,tonkovic2022linguisticOsf,6,6,0,0,0,0
Eyewitness ten-country paper table rescue,Eyewitness ten-country paper table rescue,ito2018eyewitnessTenCountries,5,5,0,0,0,0
Ying 2023 manual partial reconstruction,Ying 2023 manual partial reconstruction,ying2023pilot,5,5,0,0,0,0
PSA-006 trolley country rows,PSA-006 trolley country rows,,90,4,0,0,4,82
MSRP Engelbrecht-Wiggans & Katok 2008 report table,MSRP Engelbrecht-Wiggans & Katok 2008 report table,,4,4,0,0,0,0
MSRP Kremer et al. 2011 report table,MSRP Kremer et al. 2011 report table,,4,4,0,0,0,0
RPP project record alias (manual),RPP project record alias (manual),collaboration2015,4,4,0,0,0,0
RRR Colling 2020 Att-SNARC table reconstruction,RRR Colling 2020 Att-SNARC table reconstruction,rrrColling2020Osf,4,4,0,0,0,0
RRR Elliott 2021 aggregate table rows,RRR Elliott 2021 aggregate table rows,elliott2021flavell,3,3,0,0,0,0
ReplicationSuccess SSRP alias (manual),Social Sciences Replication Project,camerer2018,3,3,0,0,0,0
MSRP Chen et al. 2013 report table,MSRP Chen et al. 2013 report table,,3,2,0,0,0,1
MSRP Davis et al. 2011 report table,MSRP Davis et al. 2011 report table,,2,2,0,0,0,0
MSRP Ho & Zhang 2008 report table,MSRP Ho & Zhang 2008 report table,,2,2,0,0,0,0
MSRP Schweitzer & Cachon 2000 report,MSRP Schweitzer & Cachon 2000 report,,2,2,0,0,0,0
MSRP Shunko et al. 2018 report table,MSRP Shunko et al. 2018 report table,,2,2,0,0,0,0
RRR Alogna 2014 (manual),RRR Alogna 2014 (manual),alogna2014schooler,2,2,0,0,0,0
RRR McCarthy 2018 site csvs,RRR McCarthy 2018 site csvs,mccarthy2018srull,2,2,0,0,0,0
SSRP 2018 supplement (manual),SSRP 2018 supplement (manual),camerer2018,2,2,0,0,0,0
Wood scaffolding participant csv,Wood scaffolding participant csv,smit2025scaffolding,2,2,0,0,0,0
Awesome mind-body paired raw csvs,Awesome mind-body paired raw csvs,jinAwesomeReplicabilityData,2,1,0,0,0,1
MSRP Kremer & Debo 2016 report table,MSRP Kremer & Debo 2016 report table,,2,1,0,0,0,1
PSA-002 object orientation lab rows,PSA-002 object orientation lab rows,chen2025objectOrientation,2,1,0,0,0,1
Alogna 2014 table 1 site counts,Alogna 2014 table 1 site counts,alogna2014schooler,1,1,0,0,0,0
Awesome lie-language paired raw csvs,Awesome lie-language paired raw csvs,jinAwesomeReplicabilityData,1,1,0,0,0,0
Communication privacy SEM/spec-curve paths,Communication privacy SEM/spec-curve paths,,1,1,0,0,0,0
Doyen et al. 2012 article (manual),Doyen et al. 2012 article (manual),doyen2012priming,1,1,0,0,0,0
Eerland 2016 Intention_attribution.csv,Eerland 2016 Intention_attribution.csv,eerland2016hart,1,1,0,0,0,0
Eerland 2016 Intentionality.csv,Eerland 2016 Intentionality.csv,eerland2016hart,1,1,0,0,0,0
Eerland 2016 imagery.csv,Eerland 2016 imagery.csv,eerland2016hart,1,1,0,0,0,0
