source_dataset,project,pair_id,original_title,replication_title,original_doi,replication_doi,outcome,D_original,N_original,D_replication,N_replication,original_sig_05,replication_sig_05,n_ratio,d_ratio,category,appendix_row_num,smaller_N_paper_title,larger_N_paper_title,smaller_N_paper_doi,larger_N_paper_doi,D_smaller_N,N_smaller_N,D_larger_N,N_larger_N,D_larger_N_minus_smaller_N
251 Rescue parsed data,251 Rescue Projects,rescue_ngo2019_additional,Ngo et al. 2019,Ngo et al. 2019 (additional),,,"MSE1:m1=.07(.01),comp=0",1.2780193008453875,31.0,1.2572371141874246,32.0,True,True,1.032258064516129,0.9837387536759296,shrunk_still_sig,,Ngo et al. 2019,Ngo et al. 2019 (additional),,,1.2780193008453875,31.0,1.2572371141874246,32.0,-0.020782186657962942
251 Rescue parsed data,251 Rescue Projects,rescue_ngo2019_rescue,Ngo et al. 2019,Ngo et al. 2019 (rescue),,,"MSE1:m1=.05(.06),comp=0",1.2780193008453875,31.0,0.095589889112734,77.0,True,False,2.4838709677419355,0.0747953407663741,shrunk_below_sig,,Ngo et al. 2019,Ngo et al. 2019 (rescue),,,1.2780193008453875,31.0,0.095589889112734,77.0,-1.1824294117326535
251 Rescue parsed data,251 Rescue Projects,rescue_child2018_rep1,Child et al. 2018,Child et al. 2018 (rep1),,,"MSD2:m1=1860(1510),m2=1960(1490)",0.1130564378695781,35.0,0.066665185234566,40.0,False,False,1.1428571428571428,0.5896628842266457,shrunk_below_sig,,Child et al. 2018,Child et al. 2018 (rep1),,,0.1130564378695781,35.0,0.066665185234566,40.0,-0.046391252635012106
251 Rescue parsed data,251 Rescue Projects,rescue_child2018_rescue,Child et al. 2018,Child et al. 2018 (rescue),,,"MSD2:m1=1930(1400),m2=1930(1400)",0.1130564378695781,35.0,0.0,98.0,False,False,2.8,0.0,shrunk_below_sig,,Child et al. 2018,Child et al. 2018 (rescue),,,0.1130564378695781,35.0,0.0,98.0,-0.1130564378695781
251 Rescue parsed data,251 Rescue Projects,rescue_payne2008_additional,Payne et al. 2008,Payne et al. 2008 (additional),,,"F(1,270)=.00967502",0.978945010372561,48.0,0.0119281057122391,280.0,True,False,5.833333333333333,0.0121846534645491,shrunk_below_sig,,Payne et al. 2008,Payne et al. 2008 (additional),,,0.978945010372561,48.0,0.0119281057122391,280.0,-0.9670169046603219
251 Rescue parsed data,251 Rescue Projects,rescue_todd2016_additional,Todd et al. 2016,Todd et al. 2016 (additional),,,"MSD4:m1=295(239),m2=335(226),m3=300(225),m4=334(279)",0.450403235098313,63.0,0.0325479460605577,161.0,False,False,2.555555555555556,0.0722640148298517,shrunk_below_sig,,Todd et al. 2016,Todd et al. 2016 (additional),,,0.450403235098313,63.0,0.0325479460605577,161.0,-0.41785528903775526
251 Rescue parsed data,251 Rescue Projects,rescue_paxton2012_rescue,Paxton et al. 2012,Paxton et al. 2012 (rescue),,,t(158)=-1.1216,0.4232842605358617,92.0,0.1773405311822427,160.0,True,False,1.7391304347826086,0.4189632068004049,shrunk_below_sig,,Paxton et al. 2012,Paxton et al. 2012 (rescue),,,0.4232842605358617,92.0,0.1773405311822427,160.0,-0.24594372935361902
251 Rescue parsed data,251 Rescue Projects,rescue_chou2016_rescue,Chou et al. 2016,Chou et al. 2016 (rescue),,,"MSD2:m1=11.52066(18.72659),m2=10.39695(16.53978)",0.4156318727011738,100.0,0.0636048369324056,252.0,True,False,2.52,0.153031663618674,shrunk_below_sig,,Chou et al. 2016,Chou et al. 2016 (rescue),,,0.4156318727011738,100.0,0.0636048369324056,252.0,-0.3520270357687682
251 Rescue parsed data,251 Rescue Projects,rescue_birch2007_additional,Birch & Bloom 2007,Birch & Bloom 2007 (additional),,,t(149.58)=-1.20,0.4679004606981011,103.0,0.1949352100389861,152.0,True,False,1.4757281553398058,0.4166168371540935,shrunk_below_sig,,Birch & Bloom 2007,Birch & Bloom 2007 (additional),,,0.4679004606981011,103.0,0.1949352100389861,152.0,-0.27296525065911503
251 Rescue parsed data,251 Rescue Projects,rescue_birch2007_rescue,Birch & Bloom 2007,Birch & Bloom 2007 (rescue),,,t(237.01)=-1.4687,0.4679004606981011,103.0,0.1900006359555902,247.0,True,False,2.3980582524271843,0.4060706323565312,shrunk_below_sig,,Birch & Bloom 2007,Birch & Bloom 2007 (rescue),,,0.4679004606981011,103.0,0.1900006359555902,247.0,-0.2778998247425109
251 Rescue parsed data,251 Rescue Projects,rescue_craig2014_rescue,Craig & Richeson 2014,Craig & Richeson 2014 (rescue),,,"MSD2:m1=-.4307766(3.529429),m2=.4463469(3.848955)",0.4969561880566593,121.0,0.2375322791350785,127.0,True,False,1.0495867768595042,0.4779742859505289,shrunk_below_sig,,Craig & Richeson 2014,Craig & Richeson 2014 (rescue),,,0.4969561880566593,121.0,0.2375322791350785,127.0,-0.25942390892158085
251 Rescue parsed data,251 Rescue Projects,rescue_haimovitz2016_rescue,Haimovitz & Dweck 2016,Haimovitz & Dweck 2016 (rescue),,,t(129.45)=-0.31382,0.5629277922150586,132.0,0.0547432174101538,141.0,True,False,1.068181818181818,0.0972473169156301,shrunk_below_sig,,Haimovitz & Dweck 2016,Haimovitz & Dweck 2016 (rescue),,,0.5629277922150586,132.0,0.0547432174101538,141.0,-0.5081845748049049
251 Rescue parsed data,251 Rescue Projects,rescue_tarampi2016_rescue,Tarampi et al. 2016,Tarampi et al. 2016 (rescue),,,"MSD4:m1=18.4(8.77),m2=12.9(7.58),m3=25.9(6.82),m4=17.7(6.96)",0.7380644068999455,139.0,0.3577457516546798,166.0,True,True,1.1942446043165469,0.4847080394478053,shrunk_still_sig,,Tarampi et al. 2016,Tarampi et al. 2016 (rescue),,,0.7380644068999455,139.0,0.3577457516546798,166.0,-0.38031865524526565
251 Rescue parsed data,251 Rescue Projects,rescue_jara_ettinger2022_rep1,Jara-Ettinger et al. 2022,Jara-Ettinger et al. 2022 (rep1),,,"rawprop:91/147,chance=1/3",9.12093004405392,144.0,7.096628053106701,147.0,True,True,1.0208333333333333,0.7780596955387359,shrunk_still_sig,,Jara-Ettinger et al. 2022,Jara-Ettinger et al. 2022 (rep1),,,9.12093004405392,144.0,7.096628053106701,147.0,-2.024301990947218
251 Rescue parsed data,251 Rescue Projects,rescue_jara_ettinger2022_rescue,Jara-Ettinger et al. 2022,Jara-Ettinger et al. 2022 (rescue),,,"rawprop:191/426,chance=1/3",9.12093004405392,144.0,4.76521673667852,426.0,True,True,2.958333333333333,0.522448556634314,shrunk_still_sig,,Jara-Ettinger et al. 2022,Jara-Ettinger et al. 2022 (rescue),,,9.12093004405392,144.0,4.76521673667852,426.0,-4.3557133073753995
