plot_name,display_family_key,display_label,source_key,citation_key,plot_inclusion_status,audit_row_count,source_materials,canonical_source_labels,corpus_what_it_is,plot_rows_made_in,kept_for_figure,blocked_no_DZ,blocked_no_N,blocked_N_lt_10,blocked_replication_N_le_original_N,live_pair_rows,expected_candidate_rows,audit_statuses,normalization_issues,corpus_what_it_is_why_possible_candidate,why_in_out
Plot 1,fred::tosh2024,FReD,fred::tosh2024,tosh2024,included,1,FReD CORE,FReD CORE,"FORRT/FReD is a living replication database that aggregates large-scale replication projects, public replication lists, and individual submissions. Rows pair a replication study with the original study it targets, mostly psychology and adjacent social/behavioral claims.",685,685,0,0,8,150,843,0,integrated_live,aliased_to_source_family,"FORRT/FReD is a living replication database that aggregates large-scale replication projects, public replication lists, and individual submissions. Rows pair a replication study with the original study it targets, mostly psychology and adjacent social/behavioral claims. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 843 structured local original/replication row(s) are in the live build; 685 pass the current Figure 2 rule.","Confirmed usable: 843 structured local pair row(s) were present and 685 pass the Figure 2 D/N and size gates. FReD is not a random journal-paper denominator, so only D/N-convertible rows that clear the size gates are plotted."
Plot 1,score_project::tyner2026,SCORE project,score_project::tyner2026,tyner2026,included,1,SCORE project,SCORE project,DARPA SCORE/COS social and behavioral reproducibility corpus. The local join links original paper claims to version-of-record replication outcomes from the SCORE evaluation workflow.,171,171,0,0,1,110,282,0,integrated_live,,DARPA SCORE/COS social and behavioral reproducibility corpus. The local join links original paper claims to version-of-record replication outcomes from the SCORE evaluation workflow. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 282 structured local original/replication row(s) are in the live build; 171 pass the current Figure 2 rule.,Confirmed usable with exclusions: 282 structured local pair row(s) were present and 171 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Built from `orig_outcomes.csv` joined to version-of-record rows in `repli_outcomes.csv`; reproduces the 282-row appendix-style join exactly.
Plot 1,loopr::soto2019loopr,LOOPR,loopr::soto2019loopr,soto2019loopr,included,1,LOOPR,LOOPR,"Life Outcomes of Personality Replication project workbook. It codes original and replication effects for personality-outcome associations, with Fisher-z and bounded numeric fallbacks converted into D/N pair rows.",104,104,0,0,0,14,118,0,integrated_live,artifact_label_retained_in_full_audit,"Life Outcomes of Personality Replication project workbook. It codes original and replication effects for personality-outcome associations, with Fisher-z and bounded numeric fallbacks converted into D/N pair rows. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 118 structured local original/replication row(s) are in the live build; 104 pass the current Figure 2 rule.","Confirmed usable with exclusions: 118 structured local pair row(s) were present and 104 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Integrated from the public coding workbook using outcome-level Fisher-z columns first, then bounded numeric effect fallbacks."
Plot 1,reproducibility_project_psychology::collaboration2015,Reproducibility Project: Psychology,reproducibility_project_psychology::collaboration2015,collaboration2015,included,4,Reproducibility Project: Psychology; RPP project record alias (manual); RPP converted; RPP jtLeek mirror,Reproducibility Project: Psychology; RPP project record alias (manual); RPP converted; RPP jtLeek mirror,Open Science Collaboration psychology replication project: 100 psychology studies sampled from three journals and replicated by many teams. Local rows come from the canonical OSF data plus a small manual project-record fallback.,67,67,0,0,5,28,100,0,integrated_live; catalog_not_integrated,multiple_audit_rows_roll_up_to_family; aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; multiple_audit_rows_roll_up_to_family,Open Science Collaboration psychology replication project: 100 psychology studies sampled from three journals and replicated by many teams. Local rows come from the canonical OSF data plus a small manual project-record fallback. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 100 structured local original/replication row(s) are in the live build; 67 pass the current Figure 2 rule.,Confirmed usable with exclusions: 100 structured local pair row(s) were present and 67 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Canonical raw CSV; build now reads the `T_r..O.`/`T_r..R.` and `T_N..O.`/`T_N..R.` columns directly.
Plot 1,coppock_2019_generalizability_corpus::coppock2019generalizability,Coppock 2019 generalizability corpus,coppock_2019_generalizability_corpus::coppock2019generalizability,coppock2019generalizability,included,2,Coppock 2019 generalizability corpus — Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus — Coppock 2019 generalizability corpus,Coppock's political-science generalizability project reanalyzes published survey experiments in new MTurk and GfK samples. The Dataverse archive includes standardized original and replication treatment-effect estimates plus stacked study data for model-specific sample sizes.,35,35,0,0,0,15,50,40,integrated_live; staged_only,aliased_to_source_family; multiple_audit_rows_roll_up_to_family; aliased_to_source_family; lead_handle_normalized; multiple_audit_rows_roll_up_to_family,Coppock's political-science generalizability project reanalyzes published survey experiments in new MTurk and GfK samples. The Dataverse archive includes standardized original and replication treatment-effect estimates plus stacked study data for model-specific sample sizes. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 50 structured local original/replication row(s) are in the live build; 35 pass the current Figure 2 rule.,Confirmed usable with exclusions: 50 structured local pair row(s) were present and 35 pass the Figure 2 rule; rows outside the plot fail because some follow-up samples are not larger than the original. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing.
Plot 1,student_replication_projects::boyce2023studentreplication,Student Replication Projects,student_replication_projects::boyce2023studentreplication,boyce2023studentreplication,included,1,Student Replication Projects,Student Replication Projects,"Boyce/Mathur/Frank student replication corpus: classroom and training-course replications of published social/behavioral findings, curated as target-versus-replication effect pairs.",35,35,0,0,1,78,114,0,integrated_live,,"Boyce/Mathur/Frank student replication corpus: classroom and training-course replications of published social/behavioral findings, curated as target-versus-replication effect pairs. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 114 structured local original/replication row(s) are in the live build; 35 pass the current Figure 2 rule.","Confirmed usable with exclusions: 114 structured local pair row(s) were present and 35 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Current integration is conservative: only rows with explicit `target_d_calc`, `rep_d_calc`, and both sample sizes are used."
Plot 1,reproducibility_project_cancer_biology::errington2021,Reproducibility Project: Cancer Biology,reproducibility_project_cancer_biology::errington2021,errington2021,included,1,Reproducibility Project: Cancer Biology,Reproducibility Project: Cancer Biology,Cancer Biology replication project: preclinical experimental claims selected from influential cancer-biology papers and replicated by independent laboratories. Local rows use the project effect-level analysis file.,33,33,0,0,56,29,118,0,integrated_live,,Cancer Biology replication project: preclinical experimental claims selected from influential cancer-biology papers and replicated by independent laboratories. Local rows use the project effect-level analysis file. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 118 structured local original/replication row(s) are in the live build; 33 pass the current Figure 2 rule.,Confirmed usable with exclusions: 118 structured local pair row(s) were present and 33 pass the Figure 2 rule; rows outside the plot fail because some rows are below the minimum-N floor; some follow-up samples are not larger than the original. Source-specific note: Still the canonical local effect-level replication file.
Plot 1,clinical_phase_ii_to_phase_iii_pairs::internalKerschbaumerPhaseIiIiiRheumatology,Clinical phase II to phase III pairs,clinical_phase_ii_to_phase_iii_pairs::internalKerschbaumerPhaseIiIiiRheumatology,internalKerschbaumerPhaseIiIiiRheumatology,included,1,Clinical phase II to phase III pairs — Kerschbaumer 2020 rheumatology phase II/III,Clinical phase II to phase III pairs — Kerschbaumer 2020 rheumatology phase II/III,Clinical phase II to phase III pairs is a harvest-promoted pair table source. The source contributes structured original-versus-replication D/N rows.,32,32,0,0,0,0,32,0,integrated_live,aliased_to_source_family,Clinical phase II to phase III pairs is a harvest-promoted pair table source. The source contributes structured original-versus-replication D/N rows. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 32 structured local original/replication row(s) are in the live build; 32 pass the current Figure 2 rule.,"Confirmed usable: the public materials were reduced to 32 auditable original-versus-replication D/Z and N pair row(s), with 32 passing the figure gates. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing."
Plot 1,communication_privacy_replications::masur2025privacy,Communication privacy replications,communication_privacy_replications::masur2025privacy,masur2025privacy,included,1,Communication privacy replication corpus,Communication privacy replication corpus,Communication-privacy replication corpus covering SEM/specification-curve paths in media and communication research. Local rows are promoted from project source files into pair-level D/N rows.,31,31,0,0,0,0,31,40,integrated_live,aliased_to_source_family,Communication-privacy replication corpus covering SEM/specification-curve paths in media and communication research. Local rows are promoted from project source files into pair-level D/N rows. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 31 structured local original/replication row(s) are in the live build; 31 pass the current Figure 2 rule.,"Confirmed usable: the public materials were reduced to 31 auditable original-versus-replication D/Z and N pair row(s), with 31 passing the figure gates. Source-specific note: Public harvested source was staged and promoted into live D/N pair rows after source-specific parsing."
Plot 1,many_labs_2::klein2018,Many Labs 2,many_labs_2::klein2018,klein2018,included,1,Many Labs 2,Many Labs 2,Many Labs 2 multi-lab psychology replication project. The local join combines public replication summary rows with original-effect files to form original-versus-replication pairs.,28,28,0,0,0,0,28,0,integrated_live,,Many Labs 2 multi-lab psychology replication project. The local join combines public replication summary rows with original-effect files to form original-versus-replication pairs. Candidate rationale: treated as a likely pair source because it explicitly links original findings to replication or follow-up estimates. Pair-count basis: 28 structured local original/replication row(s) are in the live build; 28 pass the current Figure 2 rule.,Confirmed usable: 28 structured local pair row(s) were present and 28 pass the Figure 2 rule. Source-specific note: Built from public replication summary plus original-effects files.
