RCT_ID,Title,Url,Status,First registered on,Analysis Plan Documents,Country names,Keywords,Primary outcome end points,Sample size number clusters,Sample size number observations,Number of clusters,Total number of observations,Relevant papers for csv,Public data url,Program files url,candidate_status,row_rescue_recommendation,strict_blocker
AEARCTR-0000287,Unpacking the determinants of entrepreneurship development and economic empowerment for women,http://www.socialscienceregistry.org/trials/287,completed,2014-02-21,Private,"Kenya (Kakamega, Kisii, Embu and Kitui )","[""labor"", ""business training"", ""microenterprise"", ""female empowerment""]","profitability, sales, and business survivorship",157 markets,"3,538 individuals","157 Markets (clusters), 3537 Firms",3537 firms,"Abstract: A common concern with efforts to directly help some small businesses to grow is that their growth
comes at the expense of their unassisted competitors. We test this possibility using a two-stage
randomized experiment in Kenya which randomizes business training at the market level, and then
within markets to selected businesses. Three years after training, the treated businesses are selling
more, earn higher profits, and their owners have higher well-being. Point estimates of the
spillovers on the competing businesses are small and not statistically significant, and the markets
as a whole have grown in terms of sales volume.
Citation: McKenzie, David, and Susana Puerto. 2021. ""Growing Markets through Business Training for Female Entrepreneurs: A Market-Level Randomized Experiment in Kenya."" American Economic Journal: Applied Economics, 13 (2): 297-332.
URL: https://www.aeaweb.org/articles?id=10.1257/app.20180340
",https://www.openicpsr.org/openicpsr/project/119063/version/V1/view,https://www.openicpsr.org/openicpsr/project/119063/version/V1/view,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0000291,Promoting Early Grade Reading & Numeracy in Tanzania,http://www.socialscienceregistry.org/trials/291,completed,2015-02-09,"February 09, 2015","Tanzania, United Republic of (Africa)","[""education"", ""Cash on Delivery"", ""Capitation Grant"", ""Incentives"", ""Performance Pay"", ""Education Inputs""]","The main outcome variables are students test scores, as a proxy for student learning. Assuming we are able to establish that the treatments had an impact in students test scores, secondary outcome variables would try to establish spillover effects, the mechanisms behind the main treatment effects and how the treatment effects vary across student, household, teacher and school characteristics.

A sample of 30 students per school (10 students from Grades 1, 2, and 3) are to be tested in all treatment schools and in 140 control schools. Students will be tested before the intervention begins, at the end of the first year and at the end of the second year. The information of these test will be used to calculate standardized test scores and compare achievement for children across treatment groups. We also collect detailed student information  (e.g.  age and gender); detailed school information (e.g. facilities, management practices and head teacher characteristics), detailed teacher information (e.g. education, age, experience and self reported time use), and detailed household information (e.g. parents engagement in child's education, parents own education, household composition, and assets owned by the household).

The information from our household, teacher and schools survey can be used to identify the mechanisms through which the treatment affects test scores. For example, we can look at the change in learning outcomes in non-incentivized subjects; how teachers spend their time in school; how schools spent the funds of the Capitation Grants (e.g. text books, scholarships, meals, etc); whether schools increased the hours taught in the incentivized subjects; and whether household become more or less engaged in the child's education after the intervention. Using the base line survey we can study how the treatment effects differ across student, household, teacher and school characteristics.",350 schools in 10 districts (35 schools per district),"350 schools; 14,000 students (40 per school); 3,300 teachers (8-12 per school); 5,250 households (15 per school)",,,"Abstract: We present results from a large-scale randomized experiment across 350 schools in Tanzania that studied the impact of providing schools with (i) unconditional grants, (ii) teacher incentives based on student performance, and (iii) both of the above. After two years, we find (i) no impact on student test scores from providing school grants, (ii) some evidence of positive effects from teacher incentives, and (iii) significant positive effects from providing both programs. Most important, we find strong evidence of complementarities between the programs, with the effect of joint provision being significantly greater than the sum of the individual effects. Our results suggest that combining spending on school inputs (the default policy) with improved teacher incentives could substantially increase the cost-effectiveness of public spending on education.
Citation: Isaac Mbiti, Karthik Muralidharan, Mauricio Romero, Youdi Schipper, Constantine Manda, Rakesh Rajani, Inputs, Incentives, and Complementarities in Education: Experimental Evidence from Tanzania, The Quarterly Journal of Economics, Volume 134, Issue 3, August 2019, Pages 1627–1673, https://doi.org/10.1093/qje/qjz010
URL: https://academic.oup.com/qje/article/134/3/1627/5479257
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/XAOOTR,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/XAOOTR,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0000331,Effective Delivery of Health Products in Ghana,http://www.socialscienceregistry.org/trials/331,completed,2014-05-19,"May 14, 2014",Ghana (Africa),"[""governance"", ""health"", ""bed nets"", ""leakage"", ""corruption""]","- coverage among eligible recipients
- payment requests from eligible recipients for nets that should have been free
- incidence of leakage of nets/vouchers from the health facilities to ineligible populations
- stockouts at facilities
",72 facilities,72 facilities,72 facilities,72 facilities,"Abstract: Distributing subsidized health products through existing health infrastructure could sub- stantially and cost-effectively improve health in sub-Saharan Africa. There is, however, widespread concern that poor governance – in particular, limited health worker accountability – seriously undermines the effectiveness of subsidy programs. We audit targeted bednet distribution pro- grams to quantify the extent of agency problems. We find that around 80% of the eligible receive the subsidy as intended, and up to 15% of subsidies are leaked to ineligible people. Supplementing the program with simple financial or monitoring incentives for health workers does not improve performance further and is thus not cost-effective in this context.
Citation: Dizon-Ross, Rebecca, Pascaline Dupas, and Jonathan Robinson. ""Governance and the Effectiveness of Public Health Subsidies: Evidence from Ghana, Kenya and Uganda."" Working Paper, Janauary 2017
URL: https://www.povertyactionlab.org/sites/default/files/publications/444_Governance%26Effectiveness_PublicHealthSubsidies_Jan2017.pdf
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/P04NKK,,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0000332,Project Generasi: Conditional community block grants in Indonesia,http://www.socialscienceregistry.org/trials/332,completed,2014-05-15,Private,Indonesia (Southeast Asia),"[""education"", ""governance"", ""health"", ""Community Participation"", ""Early Childhood Development"", ""Immunization"", ""Nutrition"", ""Student Participation""]","Health, education, impacts of incentives, cost effectiveness of program","264 subdistricts with 3,120 villages","12,306 Households; 2,315 villages; 300 community health centers; 1,177 village midwives; 1,197 primary schools; 867 junior secondary schools; 2,397 village head post cadres",246 subdistricts,,"Abstract: We report an experiment in 3,000 villages that tested whether incentives improve aid efficacy. Villages received block grants for maternal and child health and education that incorporated relative performance incentives. Subdistricts were randomized into incentives, an otherwise identical program without incentives, or control. Incentives initially improved preventative health indicators, particularly in underdeveloped areas, and spending efficiency increased. While school enrollments improved overall, incentives had no differential impact on education, and incentive health effects diminished over time. Reductions in neonatal mortality in non-incentivized areas did not persist with incentives. We find no scoring manipulation and no funding reallocation toward richer areas.
Citation: Olken, Benjamin A., Junko Onishi, and Susan Wong, ""Should Aid Reward Performance? Evidence from a field experiment on health and education in Indonesia,"" American Economic Journal: Applied Economics, forthcoming.
URL: http://economics.mit.edu/files/9379
",http://economics.mit.edu/files/9627,http://economics.mit.edu/files/9627,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0000515,Impact Evaluation of the Entreprenant Status in Cotonou,http://www.socialscienceregistry.org/trials/515,completed,2014-10-07,"March 24, 2015",Benin (Cotonou),"[""finance"", ""Business Entry Regulation"", ""Business Development""]","The key outcomes of interest are:
•	Formalization rate
•	Business performance (i.e. increased turnover, increased profits, increased investments).

Intermediary outcomes include:
•	Improved business skills
•	Improved accounting systems
•	Increased level of trust
•	Increased access to new markets
•	Increased level of advertising
•	Increased access to banking
•	Increased number of tax payments
•	Increased amount of tax paid

Long-term impact indicators are:
•	Increased employment
•	Better standards of living

These outcomes will be measured through in-person interviews with firm owners. One survey was conducted in early 2014 prior to program implementation. A first follow up survey will be done after one year and an endline survey will measure medium term impact 2 years after program implementation. The survey instruments will be designed to measure all of these outcomes and to understand the underlying mechanisms.
Administrative data on formalization from the GUFE are also collected every month and matched to the baseline survey data. These data will allow us to look at the impact on formalization every month.
Data will be also collected on program implementation to better understand the quality of the programs. This will include detailed monitoring data from the CGA and qualitative surveys to understand success and/or failure in the various treatment groups.
Finally, in order to conduct a cost effectiveness analysis, data on program costs will also be collected.

",No Cluster (Firm level randomization),"3,600 businesses operating in Cotonou",,"3,596 business owners at baseline, Two follow-up surveys were conducted in April–June 2015, and in
May–June 2016. Attrition rates at first and second follow-up surveys
were 11.8% and 15.9 respectively and were not correlated with treatment
status","Abstract: Efforts to bring informal firms into the formal sector are often based on a view that this will bring benefits to the firms themselves, or at least benefit governments through increasing the tax base. A randomized experiment based around the introduction of the entreprenant legal status in Benin is used to test these assumptions, along with supplementary efforts to enhance the presumed benefits of formalizing to firms. Few firms register when just given information about the new regime, but our full package of supplementary efforts boosts formalization by 16.3 percentage points. However, this formalization does not bring firms higher sales or profits, and the cost of formalizing these firms exceeds the added taxation they will pay over the next decade. We show how better targeting of these policies towards firms that look more like formal firms to begin with can increase the formalization rate and improve cost-effectiveness.
Citation: Benhassine, N.,  McKenzie, D., Pouliquen, V., and Santini, M. ""Does Inducing Informal Firms to Formalize Make Sense? Experimental Evidence from Benin”. Journal of Public Economics, 157, 1-14, January 2018.
URL: https://drive.google.com/file/d/1IKlb9HjSzRHBdHbDBWSeLedw6UA7MTV1/view
",http://microdata.worldbank.org/index.php/catalog/2793/,http://microdata.worldbank.org/index.php/catalog/2793/,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0000610,Motivating Bureaucrats: Autonomy vs Performance Pay for Public Procurement in Pakistan,http://www.socialscienceregistry.org/trials/610,completed,2015-01-24,"February 10, 2017; February 10, 2017",Pakistan (Punjab),"[""governance"", ""labor""]","Our main outcome variables are twofold.
1-Quality-adjusted prices paid
2-Quality, quantity and price discrepancies between products procured as self-reported and as revealed through audit.",1074 Drawing and Disbursing Officers (DDOs),"Approx 1074*50=53,700",587 offices,587 offices,"Abstract: We design a field experiment to study how the allocation of authority between frontline procurement officers and their monitors affects performance both directly and through the response to incentives. In collaboration with the government of Punjab, Pakistan, we shift authority from monitors to procurement officers and introduce financial incentives to a sample of 600 procurement officers in 26 districts. We find that autonomy alone reduces prices by 9% without reducing quality and that the effect is stronger when the monitor tends to delay approvals for purchases until the end of the fiscal year. In contrast, the effect of performance pay is muted, except when agents face a monitor who does not delay approvals. Time use data reveal agents' responses vary along the same margin: autonomy increases the time devoted to procurement and this leads to lower prices only when monitors cause delays. By contrast, incentives work when monitors do not cause delays. The results illustrate that organizational design and anti-corruption policies must balance agency issues at different levels of the hierarchy.
Citation: Bandiera, Oriana, Michael Carlos Best, Adnan Qadir Khan and Andrea Prat, The Allocation of Authority in Organizations: A Field Experiment with Bureaucrats, Working Paper: Columbia University
URL: https://blogs.cuit.columbia.edu/mcb2270/files/2021/01/BBKP_AuthorityOrganizations_Jan21.pdf
Abstract: We design a field experiment to study how the allocation of authority between
frontline procurement officers and their monitors affects performance both directly
and through the response to incentives. In collaboration with the government of Punjab,
Pakistan, we shift authority from monitors to procurement officers and introduce
financial incentives in a sample of 600 procurement officers in 26 districts. We find that
autonomy alone reduces prices by 9% without reducing quality and that the effect is
stronger when the monitor tends to delay approvals for purchases until the end of the
fiscal year. In contrast, the effect of performance pay is muted, except when agents face
a monitor who does not delay approvals. Time use data reveal agents’ responses vary
along the same margin: autonomy increases the time devoted to procurement and this
leads to lower prices only when monitors cause delays. By contrast, incentives work
when monitors do not cause delays. The results illustrate that organizational design
and anti-corruption policies must balance agency issues at different levels of the hierarchy.
Citation: Bandiera, Oriana, Michael Carlos Best, Adnan Qadir Khan and Andrea Prat, ""The Allocation of Authority in Organizations: A Field Experiment with Bureaucrats"", The Quarterly Journal of Economics, Volume 136, Issue 4, November 2021, Pages 2195–2242
URL: https://doi.org/10.1093/qje/qjab029
",https://doi.org/10.7910/DVN/OJQWO2,https://doi.org/10.7910/DVN/OJQWO2,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0001000,Community Driven Development in Sierra Leone,http://www.socialscienceregistry.org/trials/1000,completed,2016-03-22,"March 22, 2016",Sierra Leone (Africa),"[""finance"", ""governance"", ""post-conflict""]","Project Implementation and Local Infrastructure Investment: The GoBifo project successfully established the village-level organizations and tools to manage development projects in nearly all cases. The distribution of project benefits within communities was equitable, leakage of project resources minimal, and minority participation high.

GoBifo villages had a larger stock of higher quality local public goods, such as a functioning primary school or community grain-drying floor, than comparison areas. There was also more market activity in treatment communities, including the presence of more traders and items for sale, suggesting short-run economic gains.

Institutional Change and Collective Action: There is no evidence that the program led to fundamental changes in local institutions or descision-making. Despite the fact that many women in treatment villages participated in GoBifo decisions, they were no more likely to voice an opinion in community meetings after the project ended or to play a leadership  role in other areas. Similarly, the establishment of a democratically elected village development committee that carried out multiple projects did not lead treatment villages to be any more successful at raising funds in response to a later matching grant opportunity.  Lastly, there were no program impacts on elite capture, although levels of capture were low in the research communities (at least as measured by the third SCA).",236 villages,"2,382 households",236 villages,"The attrition rate was moderate: no attrition in community level data, 96% of the same households were located and reinterviewed, as were 76% of the same individual respondents.","Abstract: Despite their importance, there is limited evidence on how institutions can
be strengthened. Evaluating the effects of specific reforms is complicated by the
lack of exogenous variation in institutions, the difficulty of measuring institutional
performance, and the temptation to ‘‘cherry pick’’ estimates from among
the large number of indicators required to capture this multifaceted subject. We
evaluate one attempt to make local institutions more democratic and egalitarian
by imposing participation requirements for marginalized groups (including
women) and test for learning-by-doing effects. We exploit the random assignment
of a governance program in Sierra Leone, develop innovative real-world
outcome measures, and use a preanalysis plan (PAP) to bind our hands against
data mining. The intervention studied is a ‘‘community-driven development’’
program, which has become a popular strategy for foreign aid donors. We
find positive short-run effects on local public goods and economic outcomes,
but no evidence for sustained impacts on collective action, decision making,
or the involvement of marginalized groups, suggesting that the intervention
did not durably reshape local institutions. We discuss the practical trade-offs
faced in implementing a PAP and show how in its absence we could have
generated two divergent, equally erroneous interpretations of program impacts
on institutions.
Citation: Casey, Katherine, Rachel Glennerster, and Edward Miguel. 2012. ""Reshaping Institutions: Evidence on Aid Impacts Using a Pre-Analysis Plan."" Quarterly Journal of Economics 127(4): 1755-1812.
URL: http://www.povertyactionlab.org/publication/reshaping-institutions-evidence-aid-impacts-using-pre-analysis-plan
Abstract: The World Bank and other donors dedicate sizeable portions of their portfolios to
community-driven development (CDD) projects, yet until recently there has been little
rigorous evidence regarding the efficacy of this approach. By emphasising local participation
in and control over project implementation, CDD has come to be seen as an efficient and
accountable mechanism for delivering local public goods. However, CDD aims to achieve
much more than this. Through intensive, long-term facilitation, CDD aims to strengthen
local institutions, enable them to become more democratic and inclusive of marginalised
groups and enhance the capacity of communities to engage in collective action.

This evaluation tests the extent to which CDD has achieved these goals in Sierra Leone and
has several key features. First, by randomly assigning project participation across a large
pool of eligible communities, the experimental design provides rigorous evidence regarding
the causal effects of the programme. Second, the research team followed communities over
four years, allowing it to capture changes in behaviour that are likely to evolve only slowly
over time. Third, by using a rich set of survey techniques, as well as creating a series of
real-world decisions and opportunities to act collectively through 'structured community
activities' (SCAs), we approach these important but elusive concepts of social dynamics
from a variety of angles. Fourth, to avoid data mining, the research and project teams
jointly agreed to a set of hypothesised areas of impact in 2005 before the project began,
and then in 2009 the research team defined exactly which outcome measures would be
used to evaluate success before analysing any of the post-project data. Finally, our
relatively large and diverse sample enables us to make precise statements about even
subtle changes. We use this framework to estimate (i) the direct impacts of the project
during its implementation, as well as (ii) potential spillovers onto other non-project realms
of local affairs and (iii) the lingering effects that persisted after the project itself had ended.

More specifically, one might expect a range of impacts from any development intervention,
ordered by the reach of their influence and the difficulty of their attainment. The first stage
is actually to implement projects in communities, which GoBifo accomplished quite
successfully (see outcome Family A in Table 1 below). The programme achieved what it
intended: it established village-level structures and tools to plan and manage development
projects; it provided communities with financing and guidance to implement small-scale
projects; and it created links between these processes and local government institutions.
Moreover, the contributions to and benefits from the sponsored projects were distributed
broadly and equitably, and the leakage of project resources appears to be minimal. The
extreme poverty, recent recovery from civil war and endemic struggles against corruption in
Sierra Leone make these achievements impressive.
Citation: Casey, Katherine, Rachel Glennerster, and Edward Miguel. ""The GoBifo Project Evaluation Report: Assessing the Impacts of Community Driven Development in Sierra Leone."" 3ie Impact Evaluation Report, October 2013.
URL: http://www.povertyactionlab.org/publication/gobifo-project-evaluation-report-assessing-impacts-community-driven-development-sierra-l
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/21708,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/21708,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0001014,Improving seed selection and storage to increase yields among Ugandan potato growers,http://www.socialscienceregistry.org/trials/1014,completed,2016-01-27,"April 22, 2016",Uganda (southwest),"[""agriculture"", ""technology adoption"", ""seed selection"", ""extension""]","potato yield, household consumption expenditure.",200,200,246,246,"Abstract: To feed a growing population, agricultural productivity needs to increase dramatically. Agricultural extension information, with its public, non-rival nature, is generally undersupplied, and public provision remains challenging. In this study, simple agricultural extension video messages, delivered through Android tablets, were tested in the field to determine if they increased farmers’ knowledge of recommended practices on (i) potato seed selection and (ii) seed storage and handling among a sample of potato farmers in southwestern Uganda. Using a field experiment with ex ante matching in a factorial design, it was established that showing agricultural extension videos significantly increased farmers’ knowledge. However, results suggested impact pathways that went beyond simply replicating what was shown in the video. Video messages may have triggered a process of abstraction, whereby farmers applied insights gained in one context to a different context.
Citation: Van Campenhout B, Vandevelde S, Walukano W, Van Asten P (2017) Agricultural Extension Messages Using Video on Portable Devices Increased Knowledge about Seed Selection, Storage and Handling among Smallholder Potato Farmers in Southwestern Uganda. PLoS ONE 12(1): e0169557. https://doi.org/10.1371/journal.pone.0169557
URL: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169557
Abstract: Pervasive use of poor quality seed remains an important reason for low yields throughout the developing world. We explore cost-effective ways to increase the quality of the local stock of seed tubers among a sample of Ugandan potato farmers. We do this by providing agricultural extension information on (i) how to select the best seed tubers and (ii) how to properly handle and store seed tubers until the next planting season. The information is conveyed in the form of engaging videos, shown to individual farmers on mobile devices. The relative effectiveness of the information interventions is tested using an individually randomized controlled trial with a 2x2 factorial design. However, such interventions are prone to spillovers, and there are indications that control farmers might have learned about seed selection, storage and handling through their proximity to, or contacts with, farmers in the treatment group. Therefore, we explicitly model spillovers ex post using a randomization-based framework and use both farmers' GPS locations as well as survey data on actual interactions between treatment and control farmers to define the social networks through which information travels. After accounting for spillovers, we find evidence that especially the video containing information on seed selection translated into a higher awareness and adoption of recommended practices, a higher probability of using improved inputs as well as higher consumption
Citation: Vandevelde, Senne; Van Campenhout, Bjorn; and Walukano, Wilberforce. 2018. Spoiler alert! Spillovers in the context of a video intervention to maintain seed quality among Ugandan potato farmers. LICOS Discussion Paper 407/2018. Leuven, Belgium: LICOS Centre for Institutions and Economic Performance
URL: http://www.ifpri.org/publication/spoiler-alert-spillovers-context-video-intervention-maintain-seed-quality-among-ugandan
Abstract: Purpose

Pervasive use of poor quality seed remains an important reason for low yields throughout the developing world. We explore ways to increase the quality of the local stock of seed tubers among a sample of Ugandan potato farmers.

Design/methodology/approach: Using videos, we provide agricultural extension information on (i) how to select the best seed tubers and (ii) how to properly handle and store seed tubers until the next planting season. The relative effectiveness of the information interventions is tested using an individually randomized controlled trial where we model spillovers using a randomization-based framework for estimating causal effects under interference between units.

Findings: Especially the video on seed selection translated into increased awareness and adoption of recommended practices, increased probability of using improved inputs, as well as higher consumption.

Practical implications: Interventions aimed at improving seed quality are important in the absence of access to high-quality seed. Video messages are becoming increasingly useful as a complementary tool in agricultural extension.

Theoretical implications: Randomization-based inference can be used to take into account spillover effects in the analysis rather than the design phase of an experiment.
Citation: Vandevelde, S., Van Campenhout, B., & Walukano, W. (2021). Accounting for spillovers in assessing the effectiveness of video messages to improve potato seed quality: evidence from Uganda. The Journal of Agricultural Education and Extension, 1-32.
URL: https://www.tandfonline.com/doi/abs/10.1080/1389224X.2021.1880454
",https://bitbucket.org/bjvca/potseedrct/src/3685eb35fe3eddf9418b5ea3081819c11c207089/data/endlineV1.csv?at=master&fileviewer=file-view-default,,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0001015,Reducing Teen Births among Latinas: A Pilot RCT to Test the Effectiveness of Radio Messages,http://www.socialscienceregistry.org/trials/1015,completed,2016-01-27,"January 27, 2016",United States of America (California),"[""health""]","For each of the 28 radio station coverage areas, our primary outcome is the number of births from Jan. 19, 2016 (5.5 months after the first airing of the ad) to Sept. 14, 2016 (10 months after the last airing) to Hispanic females age 20 or younger, divided by the number of births from Jan. 18, 2015 to Sept. 14, 2015 to Hispanic females age 20 or younger.",28 radio station coverage areas,28 radio station coverage areas,28 radio stations,28 radio station coverage areas,"Abstract: This study uses a randomized controlled trial (RCT) to evaluate the effectiveness of a mass media campaign designed to reduce pregnancy among Latina teenagers. We aired public service announcements (PSAs) on terrestrial radio stations in California. The sample includes 28 radio stations and over 11,000 births to Latina teenagers in 2016. The PSA, narrated by a young Latina, stressed the opportunity costs to teenage mothers of having a baby, e.g., missed opportunities for fun, socializing with friends, or attending school. Although this message expresses themes articulated by Latina teens and young mothers whom we interviewed, geocoded birth records suggest the PSAs had little effect. With data on all births in the state obtained from the California Department of Public Health, we can reject the hypothesis that the PSAs reduced births to Latina teenagers by 9% or more based on the 90% confidence interval of the estimated average treatment effect. In addition to shedding light on this particular radio campaign, this study provides a template for the design and analysis of mass media campaigns to improve other public health outcomes.
Citation: Green, D.P., Zelizer, A. & Lin, W. How Effective Are Radio Messages Aimed at Reducing Teen Births Among Latinas? A Randomized Controlled Trial. Popul Res Policy Rev (2020). https://doi.org/10.1007/s11113-020-09583-x
URL: https://rdcu.be/b36NC
",,https://www.socialscienceregistry.org/trials/1015,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
AEARCTR-0001312,The Role of Information in Agricultural Technology Adoption: Experimental Evidence from Rice Farmers in Uganda,http://www.socialscienceregistry.org/trials/1312,completed,2016-06-10,"July 30, 2016",Uganda (East),"[""agriculture"", ""expected return"", ""information gaps"", ""perceptions"", ""rice""]","rice yields, agricultural technology adoption (fertilizer use, pesticide use, improved seed use, recommended practices), market participation, farm-gate price, consumption expenditure (welfare)",220,220,241,241,"Abstract: Optimal decision making among the poor is often hampered by insufficient knowledge, false beliefs or wrong perceptions. This paper investigates the role of information in the decision to use modern inputs and adopt recommended agronomic practices among rice farmers in Uganda. Using field experiments, I tested whether the provision of technical information about the correct use of modern inputs and practices affects adoption of these technologies, and subsequent rice production. In addition, I assessed whether providing information aimed at changing the perception of the expected returns on such intensification investments led to different outcomes. In both experiments, the treatments took the form of short agricultural extension information videos shown to individual farmers using tablet computers. I found that both interventions resulted in increased intensification of rice cultivation, but only after accounting for the possibility of interference between farmers. These results confirm the importance of peer effects in increasing the effectiveness of information for technology adoption.
Citation: Van Campenhout, Bjorn (2019). The Role of Information in Agricultural Technology Adoption: Experimental Evidence from Rice Farmers in Uganda. Forthcoming Economic Development and Cultural Change (doi: 10.1086/703868)
URL: https://www.journals.uchicago.edu/doi/abs/10.1086/703868
Abstract: Optimal decision making among the poor is often hampered by a lack of critical pieces of information, false beliefs or wrong perceptions. This paper investigates the role of information deficiencies in the decision to use modern inputs and adopt recommended agronomic practices among rice farmers in Uganda. Using field experiments, we tested whether the provision of technical information concerning the existence and use of modern inputs and practices affects awareness and adoption of these technologies as well as farm production. In addition, we tested whether providing information aimed at changing the perception of returns on such intensification investments leads to different outcomes.
Citation: Van Campenhout, Bjorn; Walukano, Wilberforce; Nattembo, Fiona; Nazziwa-Nviiri, Lydia; and Blom, Jaap. 2017. The role of information in agricultural technology adoption: Experimental evidence from rice farmers in Uganda. IFPRI Discussion Paper 1684. Washington, D.C. http://ebrary.ifpri.org/cdm/singleitem/collection/p15738coll2/id/131516
URL: http://www.ifpri.org/publication/role-information-agricultural-technology-adoption-experimental-evidence-rice-farmers
",https://bitbucket.org/bjvca/ricerct/src/e0d5b1ddfd9647547c71cbeb33f0e4f4764534c5/endline/data/raw_final_noID.csv?at=master&fileviewer=file-view-default,https://bitbucket.org/bjvca/ricerct/src/e0d5b1ddfd9647547c71cbeb33f0e4f4764534c5/endline/code/init.R?at=master&fileviewer=file-view-default,aea_pap_paper_package_governance_candidate,stage_native_metric_first,"Registry supplies PAP/paper/package links and N fields, but final effect estimates must be extracted from the linked paper or replication package."
