point_id,paper_id,title,journal,year,D,N,table_test_rows,prereg_flag,preanalysisplan_flag,pap_power_flag,source_family,source_label,citation_key,row_unit,supported,source_file,source_row_number
brodeur_prereg_pap_paper_median_001,Brodeur2024:(Mis)information and anxiety: Evidence from a randomized Covid-19 information campaign,(Mis)information and anxiety: Evidence from a randomized Covid-19 information campaign,Journal of Development Economics,2021.0,0.17383263161644819,734.0,8,1,0,1,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,1
brodeur_prereg_pap_paper_median_002,Brodeur2024:Body and mind: Experimental evidence from women living with HIV,Body and mind: Experimental evidence from women living with HIV,Journal of Development Economics,2021.0,0.0896333521185929,1902.0,67,1,0,0,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,2
brodeur_prereg_pap_paper_median_003,Brodeur2024:Building Resilient Health Systems: Experimental Evidence from Sierra Leone and The 2014 Ebola Outbreak,Building Resilient Health Systems: Experimental Evidence from Sierra Leone and The 2014 Ebola Outbreak,Quarterly Journal of Economics,2021.0,0.050788991777306655,5052.0,82,0,1,0,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,3
brodeur_prereg_pap_paper_median_004,Brodeur2024:Can Government Intervention Make Firms More Investment Ready? A Randomized Experiment in the Western Balkans,Can Government Intervention Make Firms More Investment Ready? A Randomized Experiment in the Western Balkans,Review of Economics and Statistics,2021.0,0.17822129409829568,211.0,34,0,1,0,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,4
brodeur_prereg_pap_paper_median_005,DOI:10.1257/rct.682-3.0,Competition and Entry in Agricultural Markets: Experimental Evidence from Kenya,American Economic Review,2020.0,0.3130823654030312,454.0,9,1,0,1,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,5
brodeur_prereg_pap_paper_median_006,Brodeur2024:Contract farming and rural transformation: Evidence from a field experiment in Benin,Contract farming and rural transformation: Evidence from a field experiment in Benin,Journal of Development Economics,2021.0,0.2484476913112151,855.0,93,1,0,1,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,6
brodeur_prereg_pap_paper_median_007,Brodeur2024:Curating Local Knowledge: Experimental Evidence from Small Retailers in Indonesia,Curating Local Knowledge: Experimental Evidence from Small Retailers in Indonesia,Journal of the European Economic Association,2021.0,0.0731252171999104,2205.0,81,1,0,0,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,7
brodeur_prereg_pap_paper_median_008,DOI:10.1257/rct.26-7.0,Debates: Voting and Expenditure Responses to Political Communication,Journal of Political Economy,2020.0,0.0774076185012007,4646.5,78,1,1,1,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,8
brodeur_prereg_pap_paper_median_009,DOI:10.1257/rct.1150-1.0,Decentralized delivery of financial education: Experimental evidence from Rwanda,Journal of Development Economics,2020.0,0.0249173165406414,4030.0,91,1,0,1,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,9
brodeur_prereg_pap_paper_median_010,Brodeur2024:Demand and Supply of Infrequent Payments as a Commitment Device: Evidence from Kenya,Demand and Supply of Infrequent Payments as a Commitment Device: Evidence from Kenya,American Economic Review,2019.0,0.14099270923096807,762.0,36,1,0,0,Brodeur et al. 2024 preregistered/PAP economics table tests,Brodeur et al. 2024 preregistered/PAP economics table tests,brodeur2020,paper_median_of_preregistered_or_pap_table_tests,not coded,data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,10
