metric,value
registered_ratio_or_event_rows,67486
trials_with_registered_ratio_or_event_rows,5628
trial_median_rows,5628
outcome_rows_secondary,53012
outcome_rows_primary,12887
outcome_rows_other_pre_specified,1587
conversion_two_sided_p_value_proxy_with_api_group_denominators,48964
conversion_event_count_or_to_d_from_percent_measure,5704
conversion_chinn_log_odds_ratio_to_d,4559
conversion_chinn_log_hazard_ratio_to_d,3862
conversion_event_count_or_to_d_from_count_measure,3743
conversion_chinn_log_risk_ratio_to_d,654
