point_id,nct_id,D,N,registered_result_rows,primary_rows,secondary_rows,other_prespecified_rows,conversion_methods,field,field_label,source_family,study_type,allocation,phases,overall_status,primary_completion_date,results_first_submit_date,lead_sponsor_class,intervention_types,outcome_title,source_url,row_unit,log10_N,log10_D
ctgov_api_trial_median_00001,NCT00001723,0.38139137293418973,200.0,1,1,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2011-10,,NIH,DRUG,Change in BMI Standard Deviation Score,https://clinicaltrials.gov/study/NCT00001723,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.3010299956639813,-0.4186291349120664
ctgov_api_trial_median_00002,NCT00002651,0.15146662815344927,930.0,6,6,0,0,chinn_log_hazard_ratio_to_d; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2013-06,,NETWORK,DRUG; OTHER,Emotional Functioning as Measured by the SF-36 Mental Health Inventory,https://clinicaltrials.gov/study/NCT00002651,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.9684829485539352,-0.8196830424441642
ctgov_api_trial_median_00003,NCT00002874,0.3858558837631374,760.0,9,1,8,0,chinn_log_hazard_ratio_to_d; event_count_or_to_d_from_count_measure; event_count_or_to_d_from_percent_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2015-08,,NETWORK,DRUG; RADIATION,Overall Survival (12-year Rates Reported),https://clinicaltrials.gov/study/NCT00002874,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.8808135922807914,-0.41357487297945184
ctgov_api_trial_median_00004,NCT00003389,0.010554630233164502,794.0,2,1,1,0,event_count_or_to_d_from_percent_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2011-09,,NETWORK,DRUG; RADIATION,Failure-free Survival at 5 Years,https://clinicaltrials.gov/study/NCT00003389,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.8998205024270964,-1.9765569769948088
ctgov_api_trial_median_00005,NCT00003869,0.2245479587523756,182.0,5,1,4,0,event_count_or_to_d_from_count_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2008-05,,NIH,DRUG; OTHER; PROCEDURE,Overall Survival (OS),https://clinicaltrials.gov/study/NCT00003869,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.2600713879850747,-0.6486908885264894
ctgov_api_trial_median_00006,NCT00004124,0.018805618835892008,961.0,2,2,0,0,chinn_log_hazard_ratio_to_d,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2017-08-12,,NETWORK,DRUG,Disease Free Survival,https://clinicaltrials.gov/study/NCT00004124,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.9827233876685453,-1.7257123706919375
ctgov_api_trial_median_00007,NCT00004259,0.14039161298366104,195.0,5,1,4,0,chinn_log_hazard_ratio_to_d; event_count_or_to_d_from_count_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2015-02-01,,NETWORK,DRUG; RADIATION,(Phase III) Overall Survival (OS),https://clinicaltrials.gov/study/NCT00004259,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.290034611362518,-0.8526588362497555
ctgov_api_trial_median_00008,NCT00004859,0.0010727659567087674,546.0,1,1,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,TERMINATED,2009-12,,NIH,DRUG; RADIATION,Overall Survival Time,https://clinicaltrials.gov/study/NCT00004859,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.7371926427047373,-2.969495016894076
ctgov_api_trial_median_00009,NCT00004980,0.8609405378936859,50.0,4,1,3,0,event_count_or_to_d_from_count_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2005-01,,OTHER,DEVICE,Hallucination Change Score (HCS) After 9 Active/Sham rTMS Sessions,https://clinicaltrials.gov/study/NCT00004980,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.6989700043360187,-0.06502684268853139
ctgov_api_trial_median_00010,NCT00005957,0.10165058287157522,1832.0,2,1,1,0,chinn_log_hazard_ratio_to_d,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,NA,COMPLETED,2014-11-20,,NETWORK,RADIATION,Overall Survival,https://clinicaltrials.gov/study/NCT00005957,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,3.2629254693318317,-0.9928901267437683
