point_id,plot_name,source_layer,source_family,source_label,citation_key,row_unit,unit_id,row_label,D,N,support_or_significance,source_file,source_row_number,study_type,allocation,trial_phase,completion_year,outcome_type,outcome_id,p_value,method,param_type,param_value,phase_2plus_flag,admission_reason,log10_N,log10_D,two_sample_p05_boundary_D,above_two_sample_p05_curve
ctgov_primary_randomized_00001,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00001723,Change in BMI Standard Deviation Score,0.3813913729341891,200.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,38406,Interventional,Randomized,Phase 2,2011.0,Primary,1,0.007,ANCOVA,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.3010299956639813,-0.4186291349120671,0.27718076486993554,True
ctgov_primary_randomized_00002,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00002874,Overall Survival (12-year Rates Reported),0.1605332546924889,840.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,38403,Interventional,Randomized,Phase 3,2022.0,Primary,1,0.02,Log Rank,Hazard Ratio (HR),0.77,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.9242792860618816,-0.7944349892188134,0.13525036432825016,True
ctgov_primary_randomized_00003,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00003389,Failure-free Survival at 5 Years,0.068059296418174,854.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82812,Interventional,Randomized,Phase 3,2016.0,Primary,1,0.32,Log Rank,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.931457870689005,-1.1671125448564892,0.13413717367517847,False
ctgov_primary_randomized_00004,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00003869,Overall Survival (OS),0.0898672571801948,186.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82787,Interventional,Randomized,Phase 3,2008.0,Primary,1,0.54,Log Rank,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.2695129442179165,-1.0463985131183515,0.2874230638785552,False
ctgov_primary_randomized_00005,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00004259,(Phase III) Overall Survival (OS),0.1207147729903541,230.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82807,Interventional,Randomized,Phase 3,2018.0,Primary,1,0.36,Log Rank,Hazard Ratio (HR),0.94,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.361727836017593,-0.9182395779921813,0.25847239599294275,False
ctgov_primary_randomized_00006,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00004859,Overall Survival Time,0.0010328652283971,589.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82784,Interventional,Randomized,Phase 3,2010.0,Primary,3,0.99,Log Rank,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.7701152947871015,-2.985956342935287,0.16151781812999622,False
ctgov_primary_randomized_00007,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00004980,Hallucination Change Score (HCS) After 9 Active/Sham rTMS Sessions,0.7939490450462129,50.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,38410,Interventional,Randomized,Phase 2,2005.0,Primary,1,0.005,"t-test, 2 sided",Mean Difference (Final Values),-2.76,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.6989700043360187,-0.10020736931769557,0.5543615297398711,True
ctgov_primary_randomized_00008,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00008385,Incidence Rate of Second Primary Lung Tumor,0.0498578850198208,1772.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82792,Interventional,Randomized,Phase 3,2019.0,Primary,1,0.294,Log Rank,Risk Ratio (RR),1.25,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,3.248463717551032,-1.302266148289182,0.09312069913039214,False
ctgov_primary_randomized_00009,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00009737,Disease-free Survival,0.0868149028041962,1987.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,82795,Interventional,Randomized,Phase 3,2004.0,Primary,1,0.053,Wald Chi-Square Test,Hazard Ratio (HR),0.87,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,3.298197867109815,-1.0614057166428605,0.08793852018912472,False
ctgov_primary_randomized_00010,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00023309,"Maintained Combined Response (Virological, Biochemical and Histological Response).",0.680318235762541,41.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,24727,Interventional,Randomized,Phase 2,2013.0,Primary,1,0.0294,Fisher Exact,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.6127838567197355,-0.1672878877269216,0.612189897263604,True
ctgov_primary_randomized_00011,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00024102,Relapse-free Survival Rates at 2.4 Years,0.2615733918216552,633.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,74,Interventional,Randomized,Phase 3,2012.0,Primary,1,<0.001,"Regression, Cox",Hazard Ratio (HR),2.09,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.801403710017355,-0.5824064360846073,0.15580314919732816,True
ctgov_primary_randomized_00012,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00027378,Alcohol Use Behaviors,0.5543615297398712,50.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,24731,Interventional,Randomized,Phase 2,2008.0,Primary,1,0.05,ANOVA,Mean Difference (Final Values),0.39,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.6989700043360187,-0.25620691548389185,0.5543615297398711,True
ctgov_primary_randomized_00013,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00028093,Change in Hepatitis C Virus RNA Levels During Phase I,0.1733296886188271,50.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,49133,Interventional,Randomized,Phase 4,2010.0,Primary,1,0.54,Wilcoxon (Mann-Whitney),,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.6989700043360187,-0.7611270431774027,0.5543615297398711,False
ctgov_primary_randomized_00014,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00029146,Surgical Group:Ipsilateral Ischemic Stroke in 2 Yrs From Randomization and All Stroke & Death Through 30d Post-surgery; Non-surgical Group:Ipsilateral Ischemic Stroke in 2 Yrs From Randomization and All Stroke & Death Through 30d Post-randomization,0.0211145343312756,700.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,49134,Interventional,Randomized,Phase 3,2010.0,Primary,1,0.78,2-sided z-statistic,Difference in estimated 2 yr rates,1.7,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.845098040014257,-1.6754184922446382,0.14815935090674934,False
ctgov_primary_randomized_00015,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00033293,Number of Responders,0.7823956865490056,53.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,25525,Interventional,Randomized,Phase 3,2023.0,Primary,1,0.0044,Chi-squared,Chi-squared test statistic,8.125,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.7242758696007892,-0.10657355253682603,0.5384435164710829,True
