row_id,source_family,url_role,url,artifact_type,artifact_id,artifact_title,file_count,file_names_preview,probe_status,folder_count
aea_registry_snapshot_intake,AEA RCT Registry,data_url,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OHBI3I,dataverse_dataset,10.7910/DVN/OHBI3I,Registrations in the AEA RCT Registry (2013-05-15 through 2025-10-01),4,AEA_RCT_Registry_Data_Elements_Definitions.pdf; schema.txt; trials.csv; trials.json,metadata_ok,
aea_registry_snapshot_intake,AEA RCT Registry,prereg_url,https://www.socialscienceregistry.org/AEA_RCT_Registry_Data_Elements_Definitions.pdf,plain_url,https://www.socialscienceregistry.org/AEA_RCT_Registry_Data_Elements_Definitions.pdf,,,,http_200_application/pdf,
aea_registry_snapshot_intake,AEA RCT Registry,result_url,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OHBI3I,dataverse_dataset,10.7910/DVN/OHBI3I,Registrations in the AEA RCT Registry (2013-05-15 through 2025-10-01),4,AEA_RCT_Registry_Data_Elements_Definitions.pdf; schema.txt; trials.csv; trials.json,metadata_ok,
tess_graham1155,TESS,data_url,https://osf.io/qzd3f/,osf_node,qzd3f:osfstorage,,0,,metadata_ok_provider_status_ok,0.0
tess_graham1155,TESS,prereg_url,https://osf.io/gw493/,osf_node,gw493:osfstorage,,0,,http_404,0.0
tess_graham1155,TESS,result_url,https://tessexperiments.org/study/graham1155,plain_url,https://tessexperiments.org/study/graham1155,,,,http_200_text/html; charset=utf-8,
tess_johnson1389,TESS,data_url,https://osf.io/v3bfk/,osf_node,v3bfk:osfstorage,,0,,metadata_ok_provider_status_ok,0.0
tess_johnson1389,TESS,prereg_url,https://osf.io/vx7de/,osf_node,vx7de:osfstorage,,0,,http_404,0.0
tess_johnson1389,TESS,result_url,https://tessexperiments.org/study/johnson1389,plain_url,https://tessexperiments.org/study/johnson1389,,,,http_200_text/html; charset=utf-8,
tess_jackson002,TESS,data_url,https://osf.io/z6gts/,osf_node,z6gts:osfstorage,,2,Data/Jackson002.zip; Proposal/Jackson002.pdf,metadata_ok_provider_status_ok,2.0
tess_jackson002,TESS,result_url,https://tessexperiments.org/study/jackson002,plain_url,https://tessexperiments.org/study/jackson002,,,,http_200_text/html; charset=utf-8,
score_azevedo_jeps_replication,SCORE/JEPS,data_url,https://doi.org/10.7910/DVN/ETUUOD,dataverse_dataset,10.7910/DVN/ETUUOD,Replication Data for: Does Stereotype Threat contribute to the Political Knowledge Gender Gap? A Preregistered Replication Study of Ihme and Tausendpfund (2018),20,analysis_manuscript.html; analysis_manuscript.Rmd; analytical_data_stage1.tab; analytical_data_stage2.tab; codebook.xlsx; combined_BF1.csv; combined_BF1.jasp; combined_BF2.csv; combined_BF2.jasp; data_stage2.csv; original_BF.csv; original_BF.jasp,metadata_ok,
