candidate_id,source_family,source_file,paper_number,experiment_number,effect_number,effect_description,candidate_status,strict_append_ready,remaining_blocker,stat_type,stat_value,D_candidate,N_candidate,conversion_method,replication_p_value
rpcb_paper_01_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,1,2,1,DU145 cell proliferation between siLuc and siPTEN,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,0.2433831,0.2433831,10,reported_replication_smd,0.7054361
rpcb_paper_05_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,5,1,1,Tie2 expression in GSC83 vs HMVEC cells,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,2.516912,2.516912,5,reported_replication_smd,0.03997007
rpcb_paper_06_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,6,1,1,Colony number of GNAO1-WT HMEC cells vs GNAO1-R243H HMEC cells,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,4.317946,4.317946,6,reported_replication_smd,0.006135204
rpcb_paper_07_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,7,1,1,"pERK levels in A375 cells treated with vehicle vs all three drug treatments (PD184352, sorafenib, and SB590885)",preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,2.488591,2.488591,12,reported_replication_smd,0.003891822
rpcb_paper_08_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,8,2,1,pMEK/MEK levels between -shBRAF and +shBRAF cells treated with PLX4720,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,-0.02204385,0.02204385,42,reported_replication_smd,0.9432336
rpcb_paper_09_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,9,2,1,Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,1.65152,1.65152,18,reported_replication_smd,0.00294
rpcb_paper_12_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,12,2,1,IC50 values of A375 cells vs HT29/OUMS-23 cells,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,4.816496,4.816496,6,reported_replication_smd,0.004131484
rpcb_paper_15_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,15,1,1,DOX accumulation in prostate tumor tissue of DOX+PBS vs DOX+iRGD,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Glass' delta,-0.3177959,0.3177959,8,reported_replication_smd,0.7365876
rpcb_paper_16_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,16,1,1,Linear regression slopes of isocitrate-dependent NADPH production assay of wild-type IDH2 vs vector control,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,4.986418,4.986418,14,reported_replication_smd,7.55e-07
rpcb_paper_19_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,19,1,1,Relative MYC expression of MM.1S cells harvested 1 hr after (+)-JQ1 treatment vs cells 0 hr after (+)-JQ1 treatment,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's dz,17.40596,17.40596,5,reported_replication_smd,2.6e-06
rpcb_paper_20_first_effect,Reproducibility Project: Cancer Biology Stage-2 Registered Report effects,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv,20,1,1,Primary tumor growth between LM-4175 with or without Cav1 WT or Cav1 KO pMEFs,preclinical_domain_stage,False,"D/N are row-ready, but the preclinical domain should be accepted explicitly or staged separately from the psychology/social-science strict layer.",Cohen's d,-0.2942,0.2942,61,reported_replication_smd,0.06442112
