candidate_id,source_family,source_file,PSP,source_row,title,doi,journal,candidate_status,strict_append_ready,remaining_blocker,statistical_statement,stat_type,stat_value,df1,df2,D_candidate,N_candidate,conversion_method,positive_original
vandenakker_psp_004_row_8,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,4,8,“Our Country Needs a Strong Leader Right Now”: Economic Inequality Enhances the Wish for a Strong Leader,doi.org/10.1177/0956797619875472,Psychological Science,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"Participants in the high-inequality condition perceived higher levels of anomie than participants in the low-inequality condition (M = 4.67, SD = 1.04 vs. M = 2.67, SD = 0.84), t(294) = 18.14, p < .001, 95% CI = [1.78, 2.21], d = 2.12)",t,18.14,294.0,,2.11589256828985,296.0,t_df_to_d,1.0
vandenakker_psp_005_row_10,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,5,10,A control-based account of stereotyping,doi.org/10.1016/j.jesp.2019.103819,Journal of Experimental Social Psychology,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"An independent samples t-test indicated that participants in the low control condition (M=4.36, SD=0.43) were more likely to endorse gender stereotypes than those in the high control condition (M=4.30, SD=0.38), t(528)=1.74, p=.082, d=0.15, although the difference did not reach statistical significance.",t,1.74,528.0,,0.15144756068145712,530.0,t_df_to_d,0.0
vandenakker_psp_012_row_23,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,12,23,A Preregistered Study of Competing Predictions Suggests That Men Do Overestimate Women’s Sexual Intent,doi.org/10/ggb7vz,Psychological Science,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"Only when participants were asked a follow-up question did they adjust their answers. This adjustment was upward if they were next asked what women actually want, t(206) = 3.67, 95% CI of the difference = [0.08, 0.27], dz = 0.26, p < .001",t,3.67,206.0,,0.5114020324900473,414.0,t_df_to_d,0.375
vandenakker_psp_017_row_27,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,17,27,Accuracy and confidence in perceptions of targets’ attachment to former partners: Do judges vary as a function of individual differences in attachment orientation?,doi.org/10.1016/j.jrp.2019.01.001,Journal of Research in Personality,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"A bivariate correlation revealed that judges’ ratings were significantly positively associated with target ratings, r = 0.76, p < .001",r,0.76,,,2.338738328607322,296.0,r_to_d,0.111111111111111
vandenakker_psp_036_row_47,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,36,47,Cell phone-induced ostracism threatens fundamental needs,doi.org/10.1080/00224545.2018.1439877,Journal of Social Psychology,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"There was no significant main effect of conversational seriousness, F(1, 267) = 1.99, p = .159, ηp 2 &lt; .01, nor an interaction, F(1, 267) = 1.02, p = .315, ηp 2 &lt; .01",F,1.99,1.0,267.0,0.17266364435629467,271.0,F_1_df_to_d,0.2
vandenakker_psp_037_row_50,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,37,50,"CEOs imbue organizations with feelings, increasing punishment satisfaction and apology effectiveness",doi.org/10.1016/j.jesp.2018.06.002,Journal of Experimental Social Psychology,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"Replicating the results of Experiment 1, the company was rated as more experiential in the CEO condition (M=4.83, SD=1.77) than in the headquarters condition (M=4.25, SD=1.94), F(1,199)=4.81, p=.029, d=0.31.",F,4.81,1.0,199.0,0.31093957143700307,200.0,F_1_df_to_d,0.857142857142857
vandenakker_psp_042_row_58,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,42,58,Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall,doi.org/10.1016/j.jesp.2017.08.005,Journal of Experimental Social Psychology,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"t(df) = 2.17 (80.80), p-Value = 0.031, 95% CI = [0.654; 19.356], Cohen's d = 0.47",t,2.17,80.8,,0.48281866304663346,193.0,t_df_to_d,0.5
vandenakker_psp_043_row_60,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,43,60,Cognitive Flexibility and Pro-environmental Behaviour: A Multimethod Approach,doi.org/10.1002/per.2204,European Journal of Personality,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"The correlation between the proportion of first-trial perseverations on the cWCST and pro-environmental behaviour on the PEBT (Hypothesis 1) was small and not significant, r = -.09, p = .164, n = 258, 95% CI [-.21, .03].",r,-0.09,,,0.1807334587819829,264.0,r_to_d,0.333333333333333
vandenakker_psp_051_row_68,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,51,68,Configural processing and social judgments: Face inversion particularly disrupts inferences of human-relevant traits,doi.org/10/gcsz2c,Journal of Experimental Social Psychology,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"Once again, signal detection analyses showed that participants' discrimination of the faces' dominance and trustworthiness corresponded to the prior raters' consensus judgments for both the upright (MA’ =0.81, SD =0.10), t(295) = 50.96, p &lt; 0.001, Cohen's d = 2.97, and inverted faces (MA’= 0.76, SD= 0.12), t(295) = 37.54, p &lt; 0.001, Cohen's d = 2.19;",t,50.96,295.0,,5.93401181926582,295.0,t_df_to_d,0.5
vandenakker_psp_056_row_87,van den Akker preregistration-in-practice parsed original statistics,data/raw/corpus_candidates/vandenakker_pqnvr/Original_Stats.xlsx,56,87,Construing action abstractly and experiencing autonomy: Implications for physical activity and diet,doi.org/10/gc73ps,Motivation and Emotion,stage_focal_selector_needed,False,First convertible statistic per PSP is not yet proven to be the first preregistered confirmatory hypothesis; DOI-level deduplication is also pending.,"Again, abstract thinking accounted for a significant proportion of variance in autonomous motivation to exercise (B = 0.304, SE = 0.084, t(462) = 3.631, p &lt; .001, 95% CI 0.140, 0.469), but autonomous motivation did not account for a significant proportion of variance in moderate physical activity (B = 0.755, SE = 0.519, t(462) = 1.456, p = .146, 95% CI − 0.264, 1.774).",t,1.456,462.0,,0.13547850103401735,464.0,t_df_to_d,0.166666666666667
