candidate_id,source_family,source_file,PSP,title,doi,journal,candidate_status,strict_append_ready,remaining_blocker,matched_result_rows,matched_result_indices,stat_types,conversion_methods,D_candidate,N_candidate,N_candidate_basis,positive_original,result_text_examples
vandenakker_psp_003_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,3,“Catching” Social Bias: Exposure to Biased Nonverbal Signals Creates Social Biases in Preschool Children,doi.org/10/f9r4pn,Psychological Science,paper_median_matched_preregistered_result_ready,True,,3,1;2;3,reported_g,reported_hedges_g,0.19,81.0,PvNP_Data.NOriginal_publication_sample_size,0.571428571428571,"The children significantly preferred the target of positive nonverbal signals (75%) to the target of negative nonverbal signals (two-tailed binomial sign test, N = 81), p &lt; .001, g = .25. || The children were also significantly more likely to give the toy to the target of positive nonverbal signals (69%) than to the target of negative nonverbal signals (two-tailed binomial sign test, N = 81), p = .001, g = .19. || children were significantly more likely to use the label provided by the target of positive nonverbal signals (62%) than to use the label provided by the target of negative nonverbal signals (two-tailed binomial sign test, N = 81), p = .045, g = .12."
vandenakker_psp_004_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,4,“Our Country Needs a Strong Leader Right Now”: Economic Inequality Enhances the Wish for a Strong Leader,doi.org/10.1177/0956797619875472,Psychological Science,paper_median_matched_preregistered_result_ready,True,,2,1;2,reported_d_or_dz,reported_d_or_dz,1.61,296.0,PvNP_Data.NOriginal_publication_sample_size,1.0,"participants in the high-inequality condition reported a greater wish for a strong leader than participants in the low-inequality condition in [Study 3b] (M = 4.61, SD = 1.37 vs. M = 3.14, SD = 1.30), t(294) = 9.50, p < .001, 95% CI = [1.17, 1.78], d = 1.10) || Participants in the high-inequality condition perceived higher levels of anomie than participants in the low-inequality condition (M = 4.67, SD = 1.04 vs. M = 2.67, SD = 0.84), t(294) = 18.14, p < .001, 95% CI = [1.78, 2.21], d = 2.12)"
vandenakker_psp_005_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,5,A control-based account of stereotyping,doi.org/10.1016/j.jesp.2019.103819,Journal of Experimental Social Psychology,paper_median_matched_preregistered_result_ready,True,,1,2,reported_d_or_dz,reported_d_or_dz,0.15,530.0,PvNP_Data.NOriginal_publication_sample_size,0.0,"An independent samples t-test indicated that participants in the low control condition (M=4.36, SD=0.43) were more likely to endorse gender stereotypes than those in the high control condition (M=4.30, SD=0.38), t(528)=1.74, p=.082, d=0.15, although the difference did not reach statistical significance."
vandenakker_psp_007_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,7,A gender bias habit-breaking intervention led to increased hiring of female faculty in STEMM departments,doi.org/10.1016/j.jesp.2017.07.002,Journal of Experimental Social Psychology,paper_median_matched_preregistered_result_ready,True,,1,1,chi_square,chi2_with_publication_n_to_d,0.40890411143355704,92.0,PvNP_Data.NOriginal_publication_sample_size,0.0,"As shown in Table 1,3 there was modest evidence that, whereas the proportion of women hired by control departments remained stable over time, the proportion of women hired by intervention departments increased, OR = 2.23, χ2(1, n = 81) = 3.25, p = 0.07, 95% CI = [0.94, 5.41], dOR = 0.34"
vandenakker_psp_027_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,27,Better calibration when predicting from experience (rather than description),doi.org/10/gfrkzq,Organizational Behavior and Human Decision Processes,paper_median_matched_preregistered_result_ready,True,,1,1,F,F_1_df_to_d,0.2938228679481188,232.0,PvNP_Data.NOriginal_publication_sample_size,0.0,"Overall, the results again support H1A. For the low variance option, the hit rate was significantly higher for those in the experience (vs. description) group, F(1, 916)=19.77, p &lt; .001"
vandenakker_psp_033_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,33,Blurring the Dichotomy of Good and Evil: The Idiosyncratic Helping Strategies Associated with Unmitigated-Agentic and Unmitigated-Communal Personalities,doi.org/10.1002/per.2223,European Journal of Personality,paper_median_matched_preregistered_result_ready,True,,15,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16,r,r_to_d,0.08006407690254357,205.0,PvNP_Data.NOriginal_publication_sample_size,0.0,"Our primary confirmatory hypothesis for UAP constructs received weak support. Positive correlations between UAP constructs and power (summary r = .04, SE = 0.04, 99% CI: ?0.056, 0.126) and power residual (summary r = .06, SE = 0.04, 99% CI: ?0.028, 0.153) were, on average, very weak and approached zero. For secondary confirmatory analyses, Machiavellianism and psychopathy manifested about weak correlations on power and slightly stronger, but still weak, relations of power residual, whereas grand || Our primary confirmatory hypothesis for UAP constructs received weak support. Positive correlations between UAP constructs and power (summary r = .04, SE = 0.04, 99% CI: ?0.056, 0.126) and power residual (summary r = .06, SE = 0.04, 99% CI: ?0.028, 0.153) were, on average, very weak and approached zero. For secondary confirmatory analyses, Machiavellianism and psychopathy manifested about weak correlations on power and slightly stronger, but still weak, relations of power residual, whereas grand || Our primary confirmatory hypothesis for UAP constructs received weak support. Positive correlations between UAP constructs and power (summary r = .04, SE = 0.04, 99% CI: ?0.056, 0.126) and power residual (summary r = .06, SE = 0.04, 99% CI: ?0.028, 0.153) were, on average, very weak and approached zero. For secondary confirmatory analyses, Machiavellianism and psychopathy manifested about weak correlations on power and slightly stronger, but still weak, relations of power residual, whereas grand"
vandenakker_psp_036_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,36,Cell phone-induced ostracism threatens fundamental needs,doi.org/10.1080/00224545.2018.1439877,Journal of Social Psychology,paper_median_matched_preregistered_result_ready,True,,5,1;2;3;4;5,F; t,F_1_df_to_d; t_df_to_d,0.4898994718687839,271.0,PvNP_Data.NOriginal_publication_sample_size,0.2,"A 2 × 2 analysis of variance of condition showed a main effect of partner behavior on relational evaluation, F(1, 267) = 440.57, p &lt; .001, ηp 2 = .62, with those who recalled an instance of cell phone induced ostracism reporting lower relational evaluation (M = 2.06, SD = 1.20) than those who recalled an inclusion experience (M = 4.49, SD = .62). || The same analysis also revealed a main effect of partner behavior on basic needs satisfaction, F(1, 267) = 299.99, p &lt; .001, ηp 2 = .53, with those in the cell phone-induced ostracism condition experiencing lower satisfaction (M = 2.49, SD = .79) than those in the inclusion condition (M = 3.99, SD = .64). || There was no significant main effect of conversational seriousness, F(1, 267) = 1.99, p = .159, ηp 2 &lt; .01, nor an interaction, F(1, 267) = 1.02, p = .315, ηp 2 &lt; .01"
vandenakker_psp_037_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,37,"CEOs imbue organizations with feelings, increasing punishment satisfaction and apology effectiveness",doi.org/10.1016/j.jesp.2018.06.002,Journal of Experimental Social Psychology,paper_median_matched_preregistered_result_ready,True,,3,1;2;3,reported_d_or_dz,reported_d_or_dz,0.35,200.0,PvNP_Data.NOriginal_publication_sample_size,0.857142857142857,"Replicating the results of Experiment 1, the company was rated as more experiential in the CEO condition (M=4.83, SD=1.77) than in the headquarters condition (M=4.25, SD=1.94), F(1,199)=4.81, p=.029, d=0.31. || Supporting our hypothesis, the threats were perceived to cause more suffering in the CEO condition (M=4.85, SD=1.29) than in the headquarters condition (M=3.84, SD=1.85), F(1,199)=19.97, p < .001, d=0.64. || As predicted, participants were more satisfied with the punishment in the CEO condition (M=3.27, SD=1.36) than in the headquarters condition (M=2.79, SD=1.43), F(1,199)=5.89, p=.016, d=0.35."
vandenakker_psp_042_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,42,Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall,doi.org/10.1016/j.jesp.2017.08.005,Journal of Experimental Social Psychology,paper_median_matched_preregistered_result_ready,True,,2,1;2,reported_d_or_dz,reported_d_or_dz,0.515,193.0,PvNP_Data.NOriginal_publication_sample_size,0.5,"As Fig. 2 and Table 1 indicate, participants in the interdependent condition recalled objects and their location as a greater rate than participants in the independent condition. t(df) = 2.17 (80.80), p-Value = 0.031, 95% CI = [0.654; 19.356], Cohen's d = 0.47 || As Fig. 2 indicates, we observed systematic effect of ethnic group for object recall, F(1,82)full compliance =6.39, p =.013, d = .56, F(1150)partial compliance = 5.81, p= .017, d = .39, F (1182)without compliance = 1.71, p= .192, d = .19; location recall: F (1,82)full compliance= 10.08, p= .002, d = .70, F(1150)partial compliance =13.08, p &lt; .001, d =.59, F(1182)without compliance =5.02, p =.026, d = .33; and object & location recall: F(1,82)full compliance =8.50, p = .005, d =.64, F(1150)par"
vandenakker_psp_043_matched_result_median,van den Akker matched preregistered-result paper medians,data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,43,Cognitive Flexibility and Pro-environmental Behaviour: A Multimethod Approach,doi.org/10.1002/per.2204,European Journal of Personality,paper_median_matched_preregistered_result_ready,True,,2,1;3,r,r_to_d,0.12038023851033122,264.0,PvNP_Data.NOriginal_publication_sample_size,0.333333333333333,"The correlation between the proportion of first-trial perseverations on the cWCST and pro-environmental behaviour on the PEBT (Hypothesis 1) was small and not significant, r = -.09, p = .164, n = 258, 95% CI [-.21, .03]. || The proportion of first-trial perseverations on the cWCST was not significantly related to pro-environmental behaviour change on the PEBT (Hypothesis 3) either, r = -.03, p = .691, n = 228, 95% CI [-.16, .10]."
