field_name	allowed_value	definition	coding_notes
source_type	paper	A journal article, working paper, preprint, book chapter, or report-like scholarly paper.	Use for the citeable work itself, not for a downloaded PDF file when the file is merely an access route.
source_type	registry_record	A trial, preregistration, PAP, protocol, or registration record.	Use for ClinicalTrials.gov, AEA, EGAP, RIDIE, OSF registration, and similar records.
source_type	corpus	A curated collection that indexes or codes many papers/results.	Use for SCORE, FReD, RPP, Metabus, or meta-research corpora.
source_type	database	A structured source with rows of results or metadata.	Use when the source is a database/table rather than a scholarly corpus paper.
source_type	repository_or_package	A repository, Dataverse, OSF, Zenodo, OpenICPSR, GitHub, zip, or replication package.	Use for source packages that contain files supporting papers/results.
source_type	pdf	A standalone PDF file used as a source object.	Prefer paper/report when the PDF represents a citeable work; use pdf for file-level sources.
source_type	report	A policy, technical, institutional, or project report.	Use when the source is not a journal/working paper but is still a citeable report.
source_type	website	A web page used as an extraction or relationship source.	Use only when the page itself is the source object.
source_type	raw_data_file	A raw or analytic data file.	Use for CSV, TSV, DTA, RDS, SAV, XLSX, or similar data objects.
source_type	code_file	A code or script file.	Use for R, Stata, Python, shell, notebook, or script output sources.
source_type	local_derived_table	A table produced inside this repository.	Use for internal audit/staging tables; this alone is not original-source evidence.
source_type	other	A source object that does not fit another category.	Use sparingly and explain in source.notes.
source_status	primary	Controlled value `primary` for `source_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
source_status	sidecar	Controlled value `sidecar` for `source_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
source_status	support_only	Controlled value `support_only` for `source_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
source_status	blocked	Controlled value `blocked` for `source_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
source_status	deprecated	Controlled value `deprecated` for `source_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	corpus_or_database	Controlled value `corpus_or_database` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	registry_record	Controlled value `registry_record` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
search_lead_type	paper_or_article	Controlled value `paper_or_article` for `search_lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
