source_file_id	source_id	source_byte_class	file_role	file_origin	attempt_id	resolver_name	resolver_version	source_version_id	version_label	version_number	version_date	version_source	local_path	local_file_exists	recorded_byte_size	computed_byte_size	byte_size_matches	recorded_sha256	computed_sha256	sha256_present	sha256_matches_local_file	provider_checksum_present	content_fingerprint_present	text_sha256_present	retrieved_at	created_at	fixity_checked_at	snapshot_timestamp	snapshot_timestamp_basis	snapshot_timestamp_present	source_version_id_present	upstream_snapshot_id_present	extractor_version_present	minimum_replay_fields_complete	strict_source_version_fields_complete	read_error	gap_summary	recommended_next_action
file_9adefd891c55	src_du2024	dataset_file	dataset	existing_local_file	att_76cb9a2f102e	stable_url	pilot_backfill_v1	ver_e69716167876	dataset			source_access_inferred	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	True	116679598	116679598	True	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_4bd4ea10b363	src_ying2023pilot	dataset_file	derived_table	internal_derived	att_207dbdddba2f	stable_url	pilot_backfill_v1	ver_50ced72ab8cb	dataset			source_access_inferred	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	True	9809	9809	True	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_c6febbfe2bb3	src_tyner2026	dataset_file	derived_table	internal_derived	att_ff9b09f977cd	stable_url	pilot_backfill_v1	ver_57be32232cc2	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_ce33dfbd029d	src_bosco2020metabus	dataset_file	derived_table	internal_derived	att_751db69c80ad	stable_url	pilot_backfill_v1	ver_438050ee885c	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_e7115dadbbb3	src_schaefer2019meaningfulness	dataset_file	derived_table	internal_derived	att_349b6905e49d	stable_url	pilot_backfill_v1	ver_d0e41c7f57c9	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_bc503d331cea	src_yengo2022	dataset_file	derived_table	internal_derived	att_678b71ef2910	stable_url	pilot_backfill_v1	ver_60a4b2a4946a	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_e3085877a8d3	src_tosh2024	dataset_file	derived_table	internal_derived	att_e29deac979fc	stable_url	pilot_backfill_v1	ver_8db73542b949	dataset			source_access_inferred	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	True	1546005	1546005	True	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_cb30561bb868	src_internalplot2replicationpairoriginalsbridge	dataset_file	derived_table	internal_derived	att_c9d3b93445d5	stable_url	pilot_backfill_v1	ver_d54d90ac266a	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_d74a833b954f	src_du2024	dataset_file	derived_table	internal_derived	att_393c3caca5d0	stable_url	pilot_backfill_v1	ver_e69716167876	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
file_a3be663f5d80	src_zhang2025clinifact	dataset_file	derived_table	internal_derived	att_74db45b306ed	stable_url	pilot_backfill_v1	ver_0deb75721618	dataset			source_access_inferred	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	9921908	9921908	True	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	True	True	False	False	False		2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	source_file_created_at	True	True	False	False	True	False		upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	Add upstream snapshot/version identifier before scaling this artifact family.
