metric	value
sample_n	300
source_file_artifacts_total	249
created_at_utc	2026-04-30T23:41:27.998827+00:00
local_file_exists	249
byte_size_matches	249
sha256_present	249
sha256_matches_local_file	249
snapshot_timestamp_present	249
source_version_id_present	249
upstream_snapshot_id_present	0
extractor_version_present	0
minimum_replay_fields_complete	249
strict_source_version_fields_complete	0
source_byte_class::dataset_file	54
source_byte_class::full_article_html	13
source_byte_class::full_article_pdf	36
source_byte_class::full_article_xml	35
source_byte_class::pmc_fulltext_xml	4
source_byte_class::registry_record_full	104
source_byte_class::source_object_unclassified	1
source_byte_class::supplement_file	2
gap_summary::upstream_snapshot_id_or_version_date_missing|extractor_version_missing_until_value_parser_runs	249
