canonical_result_id	source_result_id	membership_role	included_in_collapse	included_in_statistics	aggregation_role	weight	notes
cr_641bfcb0568c	sr_a2792b5f35b5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_1fe4ef5e7c66	sr_bc78312ff9c4	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_852b6f1ad812	sr_5598a1474491	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a45f030d149c	sr_362d2e514afe	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_4d82f0338c25	sr_9800e39769a1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_5477126f3de1	sr_06354aed9477	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_87a6c6df06d0	sr_a182ef5b0da7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a462f1b7d71c	sr_f562e2645cdd	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_b7e069c1d0ed	sr_8486dcbc1804	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d336b25a1b0a	sr_3dcf8949d2f9	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_3af09bd82bca	sr_c8398f907345	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_7bb2ef9d0d78	sr_7a1e8bbfd877	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_bd8e443259bd	sr_60360366c47c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d849ef81bdf9	sr_8d7eceba3893	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_0cf3b38d6d48	sr_266b83deab6b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_e7c84f356f90	sr_32e8f46f1c24	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ab9ca7c29c8f	sr_57e119b02525	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_48ab48954532	sr_ceddf70c38b1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
