canonical_result_id	represented_source_id	preferred_source_result_id	source_result_count_in_sample	result_label	D	N	plot_names	resolution_status	resolution_notes
cr_641bfcb0568c	work_nct_nct01606124	sr_a2792b5f35b5	1	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	0.1851860019700711	39.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1fe4ef5e7c66	work_title_weight_loss_maintenance_weight_regain	sr_bc78312ff9c4	1	Weight-loss maintenance / weight regain	0.48	92.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_852b6f1ad812	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	sr_5598a1474491	1	Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels	0.3919927969080109	100.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_a45f030d149c	work_title_jap_79_5_691	sr_362d2e514afe	1	JAP-79-5-691	0.1605144707810256	270.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_4d82f0338c25	work_nct_nct00373113	sr_9800e39769a1	1	Progression-Free Survival (PFS)	0.2815124490526931	482.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_5477126f3de1	work_nct_nct00676650	sr_06354aed9477	1	Overall Survival (OS)	0.0933649643798547	873.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_87a6c6df06d0	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	sr_a182ef5b0da7	1	2016 preregistered key-question effect (schaefer_2019_preg_81)	0.2400000000000007	53.0	Plot 3	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_a462f1b7d71c	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	sr_f562e2645cdd	1	Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population.	0.6729754887154857	206.5	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_b7e069c1d0ed	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	sr_8486dcbc1804	1	Disgust photographs lead to slower discrimination than frightening photographs	0.53	30.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_d336b25a1b0a	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	sr_3dcf8949d2f9	1	Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution	0.3821520694228441	98.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_3af09bd82bca	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	sr_c8398f907345	1	Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition	0.1887037931280126	71.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_7bb2ef9d0d78	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	sr_7a1e8bbfd877	1	Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	0.4412304518009182	311.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_bd8e443259bd	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	sr_60360366c47c	1	Effects on bone mineral density of a monophasic combined oral contraceptive containing nomegestrol acetate/17β-estradiol in comparison to levonorgestrel/ethinylestradiol.	0.2499176307398026	110.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_d849ef81bdf9	work_title_jap_82_1_89	sr_8d7eceba3893	1	JAP-82-1-89	0.472672040177118	36.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_0cf3b38d6d48	work_doi_10_1093_joc_jqaf007	sr_266b83deab6b	1	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	0.509	797.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_e7c84f356f90	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	sr_32e8f46f1c24	1	China-aid attitudes survey experiment - paper median of 3 preregistered result rows	0.1710250123357491	1070.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_ab9ca7c29c8f	work_doi_10_1073_pnas_2103313118	sr_57e119b02525	1	Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity	0.0281091567904975	319.0	Plot 1	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_48ab48954532	work_title_percent_change_in_worst_pain_score	sr_ceddf70c38b1	1	Percent Change in Worst Pain Score	0.7815554064523413	38.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_617751f531bb	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	sr_acfd28ade498	1	Demographic and Genome Wide Association Analyses According to Muscle Mass Using Data of the Korean Genome and Epidemiology Study.	0.4226309714412926	506.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_deec7142d203	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	sr_995bd3c3900a	1	Some Evidence For The Usefulness Of An Optimal Foraging Theory Perspective On Goal Conflict And Goal Facilitation.	0.2827850071363719	237.0	Plot 2	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
cr_1c66bd397fec	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	sr_e567a2ed8bf8	1	Genome-wide association study identifies multiple HLA loci for sarcoidosis susceptibility.	0.1775737480503637	2599.0	Plot 4	single_source_result_in_sample	Pilot canonicalization; full pass should resolve duplicates across all rows, not only the 300-row sample.
