source_result_id	flat_level	flat_label	flat_reason	old_evidence	plot_name	source_family
sr_a2792b5f35b5	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_bc78312ff9c4	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	Ying 2023 manual partial reconstruction
sr_5598a1474491	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	score_cos_claims
sr_362d2e514afe	4	target_landing_or_abstract_obtained	paperclip_abstract_corpus: exact DOI match and abstract/detail text obtained; not source-object/full-paper/value verification	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_9800e39769a1	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_06354aed9477	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_a182ef5b0da7	7	final_paper_obtained	targeted_resolution_pass: Credible DOI in corpus row; fetched Frontiers full article HTML; OpenAlex/Unpaywall classify as gold OA publishedVersion/CC-BY. PDF endpoint timed out but HTML is enough for level 7.	target_source_independently_grounded	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles
sr_f562e2645cdd	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_8486dcbc1804	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	FReD filtered pair table
sr_3dcf8949d2f9	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	replication_pair_originals_bridge
sr_c8398f907345	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_7a1e8bbfd877	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_60360366c47c	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	clinifact_published_primary_pairs
sr_8d7eceba3893	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_266b83deab6b	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	Communication privacy SEM paths
sr_32e8f46f1c24	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	Wood Hoy Pryke China-aid attitudes preregistered survey experiment
sr_57e119b02525	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 1	FReD filtered pair table
sr_ceddf70c38b1	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_acfd28ade498	6	preprint_or_author_manuscript_obtained	repository/preprint/manuscript candidate mirrored	original_source_obtained	Plot 4	gwas_catalog
sr_995bd3c3900a	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_e567a2ed8bf8	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_147c4fd5d62f	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_a3c89d628df7	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_07eb16a91055	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	button_nord_neuroscience
sr_418e6ec7b4d3	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_68030d0ead7f	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	forrt_fred
sr_9e1a912c9b1d	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_df1f5890afec	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_f5b1fa84ce27	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	motyl_2017_critical_tests
sr_17b0cfe42e6d	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_c1cbd6657a4e	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_6e06fcfca537	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_307943984453	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	schaefer_schwarz_2019_without_prereg
sr_61bbdea80744	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	Motyl social/personality critical tests
sr_1ed207224a85	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_fdf78d9e9f66	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_72511a245c94	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_c5752f09223e	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_9c4daeb580e8	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_c25aa56f24e3	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_4871288bad74	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_92b015f56f77	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_2c54a948cfe2	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_6884c920951c	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	MetaLab
sr_333ef50a595e	5	independent_nonpaper_result_record_obtained	ClinicalTrials.gov/registry record mirrored; not final paper	original_source_obtained	Plot 4	ctgov_finer_grained_kg
sr_03355505d651	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	Motyl social/personality critical tests
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	schaefer_schwarz_2019_without_prereg
sr_61aeb1d7281e	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	kuhberger_2014_main_results
sr_c6091d70fcc5	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 3	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_e786a4f0bdc3	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	metalab
sr_81dcacb19b9f	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_e74bda715816	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	DARPA SCORE / COS claims
sr_3ea41f299d78	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	RPCB
sr_78c450606fc2	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 2	Motyl social/personality critical tests
sr_c32a10acbc15	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_68c0e5067d4b	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	score_cos_claims
sr_f339c0254923	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	metaBUS open Bosco subset
sr_9078255a0573	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_b38402a7e48a	6	preprint_or_author_manuscript_obtained	repository/preprint/manuscript candidate mirrored	original_source_obtained	Plot 4	score_cos_claims
sr_deff8d4a6913	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_b0fb1425aea4	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 2	Motyl social/personality critical tests
sr_c15be1b60041	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	yun_llm_meta_analysis
sr_b2348504f69b	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	linden_2024_random_effects
sr_87ff7572edff	7	final_paper_obtained	article full text mirrored as PDF/XML/HTML/PMC XML	original_source_obtained	Plot 4	gwas_catalog
sr_f31698e541dc	9	value_verified_in_source	D/N or native value extracted from source material	original_number_extracted	Plot 4	ClinicalTrials.gov phase-2+ primary randomized registry rows
sr_05a96a248d34	7	final_paper_obtained	targeted_resolution_pass: Same represented DOI as sr_a182ef5b0da7; fetched Frontiers full article HTML; OpenAlex/Unpaywall classify as gold OA publishedVersion/CC-BY.	target_source_independently_grounded	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles
sr_6d53289e06ab	4	target_landing_or_abstract_obtained	target abstract/landing/PubMed detail obtained but no full source object	target_source_independently_grounded	Plot 4	clinifact_published_primary_pairs
