source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	primary_doi	failure_code	download_attempted
sr_362d2e514afe	work_title_jap_79_5_691	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0021-9010.79.5.691?mailto=rexdouglass%40gmail.com	10.1037/0021-9010.79.5.691	http://psycnet.apa.org/journals/apl/79/5/691.pdf	http://psycnet.apa.org/journals/apl/79/5/691.pdf	403	text/html	964	full_article_pdf			not_accepted		0.0		10.1037/0021-9010.79.5.691	http_403_blocked	true
sr_8486dcbc1804	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1080/02699931.2017.1394817%22&format=json&resultType=core	29067859	https://doi.org/10.1080/02699931.2017.1394817	https://www.tandfonline.com/doi/full/10.1080/02699931.2017.1394817	403	text/html; charset=UTF-8	10426	full_article_html			not_accepted		0.0	10.1080/02699931.2017.1394817	10.1080/02699931.2017.1394817	http_403_blocked	true
sr_8486dcbc1804	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1080/02699931.2017.1394817	doi_dedup___::274a5a859bc45fe008664f4622cf584b	https://pubmed.ncbi.nlm.nih.gov/29067859	https://pubmed.ncbi.nlm.nih.gov/29067859/	200	text/html; charset=utf-8	122166	full_article_html	data/cache/full_article_text_acquisition/sample_300/sr_8486dcbc1804__openaire_instance_url__be3dc81063d1.html	56ed9844e9b5981b94bf95ecea84ae68c4b0a63a04e67e4b8447d16e3da30318	accepted_full_article_text	primary DOI appears in candidate text	0.625	10.1080/02699931.2017.1394817	10.1080/02699931.2017.1394817	full_article_text_obtained	true
sr_60360366c47c	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?type=publication&search=Effects%20on%20bone%20mineral%20density%20of%20a%20monophasic%20combined%20oral%20contraceptive%20containing%20nomegestrol%20acetate/17%CE%B2-estradiol%20in%20comparison%20to%20levonorgestrel/ethinylestradiol.	doi_dedup___::7f3a29ef1ba9cc4b77abe6ee2829ba41	https://pubmed.ncbi.nlm.nih.gov/22762147	https://pubmed.ncbi.nlm.nih.gov/22762147/	200	text/html; charset=utf-8	163736	full_article_html		a124b5a3f59a145b62c64a5d027ce54c6ee7a22b4a1de276561c750dc926c047	needs_manual_identity_check	no primary DOI but strong title token coverage 1.0	1.0	10.1111/j.1600-0412.2012.01498.x		captcha_or_bot_block	true
sr_8d7eceba3893	work_title_jap_82_1_89	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/h0101894?mailto=rexdouglass%40gmail.com	10.1037/h0101894	https://psycnet.apa.org/journals/apl/82/6/888.pdf	https://psycnet.apa.org/journals/apl/82/6/888.pdf	403	text/html	959	full_article_pdf			not_accepted		0.0		10.1037/h0101894	http_403_blocked	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1093/joc/jqaf007?mailto=rexdouglass%40gmail.com	10.1093/joc/jqaf007	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	403	text/html; charset=UTF-8	5798	full_article_pdf			not_accepted		0.0		10.1093/joc/jqaf007	http_403_blocked	true
sr_995bd3c3900a	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1037/pspp0000165%22&format=json&resultType=core	28857579	https://doi.org/10.1037/pspp0000165	https://doi.apa.org/doi/10.1037/pspp0000165	403	text/html	962	full_article_html			not_accepted		0.0	10.1037/pspp0000165	10.1037/pspp0000165	http_403_blocked	true
sr_995bd3c3900a	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/pspp0000165?mailto=rexdouglass%40gmail.com	10.1037/pspp0000165	http://psycnet.apa.org/journals/psp/113/6/962.pdf	http://psycnet.apa.org/journals/psp/113/6/962.pdf	403	text/html	961	full_article_pdf			not_accepted		0.0		10.1037/pspp0000165	http_403_blocked	true
sr_995bd3c3900a	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/pspp0000165	doi_dedup___::122677803904f08ac64bc96cf82da036	https://www.zora.uzh.ch/id/eprint/139361/1/ZORA_2017_Tomasik_Some.pdf	https://www.zora.uzh.ch/server/api/legacy/eprint/bitstream/139361/ZORA_2017_Tomasik_Some.pdf	503	text/html	2892	full_article_pdf			not_accepted		0.0	10.1037/pspp0000165	10.1037/pspp0000165	identity_or_plausibility_failed	true
sr_995bd3c3900a	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/pspp0000165	doi_dedup___::122677803904f08ac64bc96cf82da036	https://pubmed.ncbi.nlm.nih.gov/28857579	https://pubmed.ncbi.nlm.nih.gov/28857579/	200	text/html; charset=utf-8	131068	full_article_html	data/cache/full_article_text_acquisition/sample_300/sr_995bd3c3900a__openaire_instance_url__293efe526763.html	95a569017653b9231e2b685444fd06d4352cada1d9a22ce9e2c1f37962f021df	accepted_full_article_text	primary DOI appears in candidate text	1.0	10.1037/pspp0000165	10.1037/pspp0000165	full_article_text_obtained	true
