source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	candidate_relation_type	candidate_title	primary_doi	failure_code	download_attempted
sr_362d2e514afe	work_title_jap_79_5_691	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0021-9010.79.5.691?mailto=rexdouglass%40gmail.com	10.1037/0021-9010.79.5.691	http://psycnet.apa.org/journals/apl/79/5/691.pdf	http://psycnet.apa.org/journals/apl/79/5/691.pdf	403	text/html	960	full_article_pdf			not_accepted		0.0				10.1037/0021-9010.79.5.691	http_403_blocked	true
sr_8d7eceba3893	work_title_jap_82_1_89	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/h0101894?mailto=rexdouglass%40gmail.com	10.1037/h0101894	https://psycnet.apa.org/journals/apl/82/6/888.pdf	https://psycnet.apa.org/journals/apl/82/6/888.pdf	403	text/html	963	full_article_pdf			not_accepted		0.0				10.1037/h0101894	http_403_blocked	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	osf_file_download	osf	https://api.osf.io/v2/search/?q=Privacy+calculus%2Fprivacy+paradox%2Fcontext+collapse+replication+%28Vitak+model%29&page%5Bsize%5D=3	622f6af96cd037000c30ecd8	https://osf.io/download/ap2fy/	https://storage.googleapis.com/cos-osf-prod-files-de-1/7bda39044b329c8ca4d42278496834c65325f6c7f0055ed3bbaa2cf72ef02095?response-content-disposition=attachment%3B%20filename%3D%22S2_Preregistration%20-%20Vitak.pdf%22%3B%20filename%2A%3DUTF-8%27%27S2_Preregistration%2520-%2520Vitak.pdf&GoogleAccessId=files-de-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777653275&Signature=rWAeEv7mtI%2BuvqbMG%2FPrYLIYDW9ehxbqxoivHUXcNLap5pyC76pli3jy%2B%2Ba2sb9%2Fi75X2nMURsrmZLjkyHFtRtwHZE7ZbXwFILhlhVvYmDWDfdyjISuPhHYMlhJPZ1MTRZBPPaoZjia0dd8XmHRzRV8AW%2Bb6HKOPXElR08oGGzOTU2%2Bd05Q72%2FASLJ7R4T2EvwhQMEsyy%2B9hzrqa1QAC2tDIGyvt4lq3aNBYIl5vCUiWxQaScUm9FuIrgHIZtmHN7xMfBWLVfwuKx4fSmavsyoAul7nw1iCyN5HJGII1FPwJz87FN1sDWMDlks%2Bo2gUtt%2Beyn7IYaRT873au1vjNrA%3D%3D	200	application/octet-stream	224170	full_article_pdf		7bda39044b329c8ca4d42278496834c65325f6c7f0055ed3bbaa2cf72ef02095	needs_manual_identity_check	insufficient identity signal; coverage 0.778; text_dois=[]	0.778	10.1093/joc/jqaf007	osf_project_file	Revisiting the impact of context collapse on social network sites: A replication of Vitak (2012)	10.1093/joc/jqaf007	identity_or_plausibility_failed	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	osf_file_download	osf	https://api.osf.io/v2/search/?q=Privacy+calculus%2Fprivacy+paradox%2Fcontext+collapse+replication+%28Vitak+model%29&page%5Bsize%5D=3	622f6afa6cd037000c30ecda	https://osf.io/download/hx9b6/	https://storage.googleapis.com/cos-osf-prod-files-de-1/c82a0f9d71c73f32bffbdd474e4838a1ce3c0c5c866a80d87e37d9360fb5c9ef?response-content-disposition=attachment%3B%20filename%3D%22S2_Measures%20-%20Vitak.docx.pdf%22%3B%20filename%2A%3DUTF-8%27%27S2_Measures%2520-%2520Vitak.docx.pdf&GoogleAccessId=files-de-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777653279&Signature=CYFSsSd8Mtr68XyJBjFbc0nZUBT6x6RWH0qSFxdlzz8tmrZ8QiBysQKUBnTf1Wn2%2BnyDPyBJ%2ByTiY1P6Mq9DLHCrq26V9Y%2BNmqSy8uaQciGSjxLCLwbs1MDUldKy2JjmIxQxYhP4QuFgdu%2FXJPvoi0Mz%2FXHdOgV4xKYtzXZLO9B%2FKQdezD5wYTUpLJS3bMUg1pwgsLnD0d7AzDggmw7sj8R8OBHMIftPS4CfSN9FHbsuo2gRCiLzNEshvEmpIWkwzeg8QVe4UJKhiZhbq%2F0H0jAakPa4AWlonlJiLGOr9T4ec4YzbYQ%2FVCv90kEjG3zLeBdbELk2hjqaWYinKNwW7g%3D%3D	200	application/octet-stream	415113	full_article_pdf		c82a0f9d71c73f32bffbdd474e4838a1ce3c0c5c866a80d87e37d9360fb5c9ef	needs_manual_identity_check	insufficient identity signal; coverage 0.556; text_dois=[]	0.556	10.1093/joc/jqaf007	osf_project_file	Revisiting the impact of context collapse on social network sites: A replication of Vitak (2012)	10.1093/joc/jqaf007	identity_or_plausibility_failed	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1093/joc/jqaf007?mailto=rexdouglass%40gmail.com	10.1093/joc/jqaf007	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	403	text/html; charset=UTF-8	5798	full_article_pdf			not_accepted		0.0				10.1093/joc/jqaf007	http_403_blocked	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	openalex_location_url	openalex	https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1093%2Fjoc%2Fjqaf007?select=id%2Cdoi%2Ctitle%2Copen_access%2Cprimary_location%2Cbest_oa_location%2Clocations&mailto=rexdouglass%40gmail.com	https://openalex.org/W4411768220	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqaf007/63617484/jqaf007.pdf	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqaf007/63617484/jqaf007.pdf	403	text/html; charset=UTF-8	5888	full_article_pdf			not_accepted		0.0	10.1093/joc/jqaf007	openalex_title_or_doi_match	Privacy calculus, privacy paradox, and context collapse: A replication of three key studies in communication privacy research	10.1093/joc/jqaf007	http_403_blocked	true
sr_32e8f46f1c24	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	osf_file_download	osf	https://api.osf.io/v2/search/?q=China-aid+attitudes+survey+experiment+-+paper+median+of+3+preregistered+result+rows&page%5Bsize%5D=3	5fb6f3f477aa65034094a415	https://osf.io/download/y6qns/	https://storage.googleapis.com/cos-osf-prod-files-au-1/7a633645a2779e01f4239ec06e9f6e95348fa147be5cb9cf74376e1345efb2e8?response-content-disposition=attachment%3B%20filename%3D%22Experiment%203%20Qualtrics%20Survey.pdf%22%3B%20filename%2A%3DUTF-8%27%27Experiment%25203%2520Qualtrics%2520Survey.pdf&GoogleAccessId=files-au-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777653298&Signature=LS%2F4T0pdDuW3u7PZJQLz4iedWyltgTz39LAwIy9qvykFI8wfS1B0lGaHgOR%2B7u4k4x%2FnzsAumwxd%2BkzwZDiqvZuyjyVu3Sh1Z0CSmc42Zc3plFC0c5nOH0g%2Bw97oQ1kdk%2F%2FOFpVQRVP%2FxUX8vh0%2BPC43yK69e3CpHGuPHYO27Vmqih73Z6%2FOz1vYd9kBKliy8MA7bT8Pc%2FMKT6VmScAV%2FEqK9oPp3vbPBVyrbYHIhu34p%2FZOrvBwc8PUQBw5PaZBNLY9vdtxwkfX6GFpgThzrfqX%2FWJZeOil5pkl0dTBR%2BfDEIcVT%2Bb1Sg83p6H8osyQpVBHj1W3pfyEAHsXXEAUuA%3D%3D	200	application/octet-stream	1679206	full_article_pdf		7a633645a2779e01f4239ec06e9f6e95348fa147be5cb9cf74376e1345efb2e8	needs_manual_identity_check	insufficient identity signal; coverage 0.25; text_dois=[]	0.25		osf_project_file	Experiment 3		identity_or_plausibility_failed	true
sr_32e8f46f1c24	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	osf_file_download	osf	https://api.osf.io/v2/search/?q=China-aid+attitudes+survey+experiment+-+paper+median+of+3+preregistered+result+rows&page%5Bsize%5D=3	6951d9401b7b85a67911d27f	https://osf.io/download/jz2uk/	https://storage.googleapis.com/cos-osf-prod-files-au-1/f8c09c5c2f64968ba5279b6fe95b4e1bdfea0a39df80eb1df9abfec232a4130e?response-content-disposition=attachment%3B%20filename%3D%22CNC_Fork_v1.0.pdf%22%3B%20filename%2A%3DUTF-8%27%27CNC_Fork_v1.0.pdf&GoogleAccessId=files-au-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777653302&Signature=UPLTfz%2BBKVIvOxfuKzXsGar6orBHeW6mg6jjTItaDVMuvdHj6aPP2R9q83sLYKOk50jS0Eq50oX2bN3CP0gR2trzh5RDTHkrPP1Dkqc%2FGEGO5xOt0JLYrL0NkV3rajL2z0sBmWijPnOjrIUnkiXRjGmWFIdr2CSl8ImKboArRrbz%2BZbm8luJ1Qe1RADfSnpzQIxc2Urt1%2B0nnPvqemgmwcW5IQ7nuo6KTyAQAiiXZGLaMRRZsu6aNML6hYR5EK%2FlUXDb1gjdX%2FVrZQ%2FtBt7jnQbBfSqNZ1zTJr%2B%2BDcfsAd0%2Bcph%2Bpb4MSIUdeOsjjB2pU1cxW5LFtdhV3uoHV%2Fxsww%3D%3D	200	application/octet-stream	768009	full_article_pdf		f8c09c5c2f64968ba5279b6fe95b4e1bdfea0a39df80eb1df9abfec232a4130e	needs_manual_identity_check	insufficient identity signal; coverage 0.125; text_dois=[]	0.125		osf_project_file	Fork experiment (T=3) - Preregistered protocol v7		identity_or_plausibility_failed	true
sr_e89d75ebfd8e	work_title_schaefer_2019_np_cli_064	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1158/1557-3265.ovcasymp18-tmim-064?mailto=rexdouglass%40gmail.com	10.1158/1557-3265.ovcasymp18-tmim-064	https://aacrjournals.org/clincancerres/article/25/22_Supplement/TMIM-064/230609/Abstract-TMIM-064-AMPKA-LIKE-PROTEINS-IN-OVARIAN	https://aacrjournals.org/clincancerres/article/25/22_Supplement/TMIM-064/230609/Abstract-TMIM-064-AMPKA-LIKE-PROTEINS-IN-OVARIAN	403	text/html; charset=UTF-8	6036	full_article_html			not_accepted		0.0				10.1158/1557-3265.ovcasymp18-tmim-064	http_403_blocked	true
sr_612caed0e0da	work_title_organizational_learning_in_target_setting	core_fulltext_url	core	https://api.core.ac.uk/v3/search/works	125839487	https://core.ac.uk/download/519926282.pdf	https://fileserver-az.core.ac.uk/download/519926282.pdf	404	text/plain; charset=utf-8	65	full_article_pdf			not_accepted		0.0	10.5465/amj.2014.0897	core_work_or_output_match	Características predominantes del aprendizaje organizacional que influyen en el bienestar laboral de los docentes del Perú	10.5465/amj.2014.0897	http_404	true
