source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	candidate_relation_type	candidate_title	primary_doi	failure_code	download_attempted
sr_362d2e514afe	work_title_jap_79_5_691	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0021-9010.79.5.691?mailto=rexdouglass%40gmail.com	10.1037/0021-9010.79.5.691	http://psycnet.apa.org/journals/apl/79/5/691.pdf	http://psycnet.apa.org/journals/apl/79/5/691.pdf	403	text/html	854	full_article_pdf			not_accepted		0.0				10.1037/0021-9010.79.5.691	http_403_blocked	true
sr_60360366c47c	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	osf_file_download	osf	https://api.osf.io/v2/search/?q=Effects+on+bone+mineral+density+of+a+monophasic+combined+oral+contraceptive+containing+nomegestrol+acetate%2F17%CE%B2-estradiol+in+comparison+to+levonorgestrel%2Fethinylestradiol.&page%5Bsize%5D=3	680fa1d17f0eb9db655ef71e	https://osf.io/download/w4z3k/	https://storage.googleapis.com/cos-osf-prod-files-us-east1/a71cb2bb852e0d5a93b19fd0c3a33a91cafe1aece937c192334b1df610dd63d8?response-content-disposition=attachment%3B%20filename%3D%22Pietrosimone.SearchStrategy.2.7.2025%5B89%5D.pdf%22%3B%20filename%2A%3DUTF-8%27%27Pietrosimone.SearchStrategy.2.7.2025%255B89%255D.pdf&GoogleAccessId=files-us%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777619336&Signature=kpim65IgfA3EEXwIMkyzu4YQyJeTXXJibmEcod9yVY%2FsTEXv8th%2Fe9C8Gtaa7ThdWYc0a4o4%2BbQ0BCcNxYzECCbmd4y6oeEHNxTjKAV4%2FyBPw%2Fz3yTSewDxyicwu8zwYXcdOUXdcIJlYVvcTPhxNqXrIUfrkZFlPzAldltXFrzPUms4JWPfL1czH6vuysVws7GE1BGf7Awyiuy5xU%2FpGLa8Piujtl99fRvWF5oHwKtwSdwxciii5JxQKiZ25kSr0bXWWs7QvWpej2fT%2B%2FUpz9prR1IH%2FS7w%2BxgfmcejZnT%2FjNNm0hx%2FRcIpUo4E8gmwGA1RDGkf4pu4WkxCtPOSk7A%3D%3D	200	application/octet-stream	71846	full_article_pdf		a71cb2bb852e0d5a93b19fd0c3a33a91cafe1aece937c192334b1df610dd63d8	needs_manual_identity_check	insufficient identity signal; coverage 0.2; text_dois=[]	0.2		osf_project_file	Bone mineral density loss during lactation		identity_or_plausibility_failed	true
sr_60360366c47c	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?type=publication&search=Effects%20on%20bone%20mineral%20density%20of%20a%20monophasic%20combined%20oral%20contraceptive%20containing%20nomegestrol%20acetate/17%CE%B2-estradiol%20in%20comparison%20to%20levonorgestrel/ethinylestradiol.	doi_dedup___::7f3a29ef1ba9cc4b77abe6ee2829ba41	https://pubmed.ncbi.nlm.nih.gov/22762147	https://pubmed.ncbi.nlm.nih.gov/22762147/	200	text/html; charset=utf-8	163736	full_article_html		bf194cd5ec1325e04589f0611febed71e57156bf7601b8364c0200c214462fe3	needs_manual_identity_check	no primary DOI but strong title token coverage 1.0	1.0	10.1111/j.1600-0412.2012.01498.x				captcha_or_bot_block	true
sr_8d7eceba3893	work_title_jap_82_1_89	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/h0101894?mailto=rexdouglass%40gmail.com	10.1037/h0101894	https://psycnet.apa.org/journals/apl/82/6/888.pdf	https://psycnet.apa.org/journals/apl/82/6/888.pdf	403	text/html	856	full_article_pdf			not_accepted		0.0				10.1037/h0101894	http_403_blocked	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	osf_file_download	osf	https://api.osf.io/v2/search/?q=Privacy+calculus%2Fprivacy+paradox%2Fcontext+collapse+replication+%28Vitak+model%29&page%5Bsize%5D=3	622f6af96cd037000c30ecd8	https://osf.io/download/ap2fy/	https://storage.googleapis.com/cos-osf-prod-files-de-1/7bda39044b329c8ca4d42278496834c65325f6c7f0055ed3bbaa2cf72ef02095?response-content-disposition=attachment%3B%20filename%3D%22S2_Preregistration%20-%20Vitak.pdf%22%3B%20filename%2A%3DUTF-8%27%27S2_Preregistration%2520-%2520Vitak.pdf&GoogleAccessId=files-de-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777619450&Signature=l9tnKIl2tgtVt7dAHAiygefW4zwEPLajOqKhIugpoxT6SwX5BfsaBfrWeIdC43tE5%2F8o0oxJN6d%2FLt1MFepQRW5AWGPOkVTxHbg3u2g%2B60dq%2BF7CrpjieqyxMyrDP2jz7By8l6s6biiQW5UNZB5EWSEC2Zr1kdY%2FcknFtG0Y3X2FU93rbqnVF%2BCAs9BP6ernQMG0uZ9ue7YAdzv8I5yoiYn1eM5xkXms%2BGbhOYN7zYYqHOwg9HY7%2F3swIjCiy50rXTOXgTiwAKEFckFHQ56VYnxL7ftx663iQbxUAkAYg1aoY6AK%2Fdr7ngTK9mDhWmvMQo43aZR7aaWWYFZ8XGdlFw%3D%3D	200	application/octet-stream	224170	full_article_pdf		7bda39044b329c8ca4d42278496834c65325f6c7f0055ed3bbaa2cf72ef02095	needs_manual_identity_check	insufficient identity signal; coverage 0.778; text_dois=[]	0.778	10.1093/joc/jqaf007	osf_project_file	Revisiting the impact of context collapse on social network sites: A replication of Vitak (2012)	10.1093/joc/jqaf007	identity_or_plausibility_failed	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	osf_file_download	osf	https://api.osf.io/v2/search/?q=Privacy+calculus%2Fprivacy+paradox%2Fcontext+collapse+replication+%28Vitak+model%29&page%5Bsize%5D=3	622f6afa6cd037000c30ecda	https://osf.io/download/hx9b6/	https://storage.googleapis.com/cos-osf-prod-files-de-1/c82a0f9d71c73f32bffbdd474e4838a1ce3c0c5c866a80d87e37d9360fb5c9ef?response-content-disposition=attachment%3B%20filename%3D%22S2_Measures%20-%20Vitak.docx.pdf%22%3B%20filename%2A%3DUTF-8%27%27S2_Measures%2520-%2520Vitak.docx.pdf&GoogleAccessId=files-de-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777619452&Signature=xrRfHyqlR3%2FSvC1IfVrzAWhWtUb5Wvf37tU0CnvGrUv1zWkfXms%2F9%2BaTu1KU8vr6iZfMV9f0SHRnU6p0R5q4MnL0bJhHv%2FFNnbz03EXtl%2B5uJ7MybNnwQugCU%2FtV5U3oIIDG29TytL5WncDhrRX8MhT8nxpw6c16i20fDJkeaZcGjEDUHA58HZOQg%2F5RpAGqnGtXfz6IP24lCm0d3NYKXuTYoE%2FY5TEOc8LL%2BxJFsSJvKuKbrhd4alUxoJWZaTd3NR0Fr9hDULzXQZSjsCLWPeFYRPR4Vescs8oH%2FMZQfrVgczOg48ss1xcCMogJd1ngnGIRy7IthZMeOEU6FZ7imw%3D%3D	200	application/octet-stream	415113	full_article_pdf		c82a0f9d71c73f32bffbdd474e4838a1ce3c0c5c866a80d87e37d9360fb5c9ef	needs_manual_identity_check	insufficient identity signal; coverage 0.556; text_dois=[]	0.556	10.1093/joc/jqaf007	osf_project_file	Revisiting the impact of context collapse on social network sites: A replication of Vitak (2012)	10.1093/joc/jqaf007	identity_or_plausibility_failed	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1093/joc/jqaf007?mailto=rexdouglass%40gmail.com	10.1093/joc/jqaf007	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	https://academic.oup.com/joc/article-pdf/76/2/174/63617484/jqaf007.pdf	403	text/html; charset=UTF-8	5798	full_article_pdf			not_accepted		0.0				10.1093/joc/jqaf007	http_403_blocked	true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	openalex_location_url	openalex	https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1093%2Fjoc%2Fjqaf007?select=id%2Cdoi%2Ctitle%2Copen_access%2Cprimary_location%2Cbest_oa_location%2Clocations&mailto=rexdouglass%40gmail.com	https://openalex.org/W4411768220	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqaf007/63617484/jqaf007.pdf	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqaf007/63617484/jqaf007.pdf	403	text/html; charset=UTF-8	5888	full_article_pdf			not_accepted		0.0	10.1093/joc/jqaf007			10.1093/joc/jqaf007	http_403_blocked	true
sr_32e8f46f1c24	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	osf_file_download	osf	https://api.osf.io/v2/search/?q=China-aid+attitudes+survey+experiment+-+paper+median+of+3+preregistered+result+rows&page%5Bsize%5D=3	5fb6f3f477aa65034094a415	https://osf.io/download/y6qns/	https://storage.googleapis.com/cos-osf-prod-files-au-1/7a633645a2779e01f4239ec06e9f6e95348fa147be5cb9cf74376e1345efb2e8?response-content-disposition=attachment%3B%20filename%3D%22Experiment%203%20Qualtrics%20Survey.pdf%22%3B%20filename%2A%3DUTF-8%27%27Experiment%25203%2520Qualtrics%2520Survey.pdf&GoogleAccessId=files-au-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777619485&Signature=O4uBcKByg5LTgvjb0Ci%2F%2FMnPBY%2FQZySIiozmmp0Pqf0WXAG%2FqmpoN4q6ZV9J1ontsQ2ZCZGjJSUU1O07MA4yHeyh7ktKcdse1EVywxhJhdZGFyu%2BQI8ufqIDBR48RzMrNXyE%2F%2FfLSzYoGnvYUqTt7dQ%2BR4BXFvqj1JtkBTBl3pYsraXbn4T8RPoPc9J94djURTSjCr43srZbOnpkdqyfGbE6u7WmAAMIObtRRoKD4NA62bD%2Fs5b0OH7ycLaAu7814wd0V6PEjc20MQ%2Brr9ybjCg67LwnYkU7XElwOZwnQPlmZUPqRY0Ffy%2BcCjHa4SA%2BKnycW84PY0u7Tmybc6HQ9w%3D%3D	200	application/octet-stream	1679206	full_article_pdf		7a633645a2779e01f4239ec06e9f6e95348fa147be5cb9cf74376e1345efb2e8	needs_manual_identity_check	insufficient identity signal; coverage 0.25; text_dois=[]	0.25		osf_project_file	Experiment 3		identity_or_plausibility_failed	true
sr_32e8f46f1c24	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	osf_file_download	osf	https://api.osf.io/v2/search/?q=China-aid+attitudes+survey+experiment+-+paper+median+of+3+preregistered+result+rows&page%5Bsize%5D=3	6951d9401b7b85a67911d27f	https://osf.io/download/jz2uk/	https://storage.googleapis.com/cos-osf-prod-files-au-1/f8c09c5c2f64968ba5279b6fe95b4e1bdfea0a39df80eb1df9abfec232a4130e?response-content-disposition=attachment%3B%20filename%3D%22CNC_Fork_v1.0.pdf%22%3B%20filename%2A%3DUTF-8%27%27CNC_Fork_v1.0.pdf&GoogleAccessId=files-au-1%40cos-osf-prod.iam.gserviceaccount.com&Expires=1777619489&Signature=IV3cuhOsVDMoMeZ%2F5QodSie0VJCY28VNRBAShuYCjhMis9lt8lohqw2mnDsgXihkiOLs1BAqQFqOG%2F3qky80RsQCAQhTTiM3kOhudltMYlgcTtX7kkUi75o8%2BUm8IyCTcXkSNFIetyoyQ7CTMJupqP%2BOzcKepjB%2BUaeyNAanac55wNnL58A4dHRMtGS3u3AlGJ7pc4w9XnZNSecdF%2FJc5O5LcLrSU1CWF1gbDFgsiFPkFLKZnyOhLz4y90wTsssjUczpCb9Y2BeNIQg3FJE0avKkMUCgQG2giDBzp3AO76fnr9UITyOiE6uzOWJV0%2BWHubgfHueqOLbBL4XgOeCufQ%3D%3D	200	application/octet-stream	768009	full_article_pdf		f8c09c5c2f64968ba5279b6fe95b4e1bdfea0a39df80eb1df9abfec232a4130e	needs_manual_identity_check	insufficient identity signal; coverage 0.125; text_dois=[]	0.125		osf_project_file	Fork experiment (T=3) - Preregistered protocol v7		identity_or_plausibility_failed	true
