metric	value
sample_n	300
targets_considered	112
attempt_rows	221
accepted_full_article_text_rows	35
accepted_unique_sha256	32
rows_with_represented_full_article_after	134
paper_or_other_rows_with_full_article_after	133
created_at_utc	2026-05-01T04:45:56.531861+00:00
route_attempt::crossref_fulltext_link	100
route_attempt::europepmc_fulltext_url	44
route_attempt::europepmc_fulltext_xml	4
route_attempt::openaire_instance_url	71
route_attempt::wayback_cdx_pdf	2
route_accepted::crossref_fulltext_link	5
route_accepted::europepmc_fulltext_url	1
route_accepted::europepmc_fulltext_xml	4
route_accepted::openaire_instance_url	24
route_accepted::wayback_cdx_pdf	1
failure_code::http_403_blocked	122
failure_code::full_article_text_obtained	35
failure_code::captcha_or_bot_block	29
failure_code::unknown_or_non_article_bytes	16
failure_code::identity_or_plausibility_failed	12
failure_code::login_or_paywall_html	3
failure_code::http_404	2
failure_code::html_not_full_article	1
failure_code::request_error	1
