metric	value
sample_n	300
targets_considered	49
attempt_rows	88
accepted_full_article_text_rows	2
accepted_unique_sha256	2
rows_with_represented_full_article_after	164
paper_or_other_rows_with_full_article_after	163
created_at_utc	2026-05-01T16:30:36.659857+00:00
route_attempt::core_fulltext_url	28
route_attempt::crossref_fulltext_link	44
route_attempt::openaire_instance_url	1
route_attempt::openalex_location_url	11
route_attempt::osf_file_download	4
route_accepted::core_fulltext_url	2
failure_code::http_403_blocked	55
failure_code::identity_or_plausibility_failed	11
failure_code::unknown_or_non_article_bytes	11
failure_code::captcha_or_bot_block	3
failure_code::http_404	2
failure_code::full_article_text_obtained	2
failure_code::request_error	2
failure_code::login_or_paywall_html	1
failure_code::html_not_full_article	1
