metric	value
sample_n	300
targets_considered	74
attempt_rows	137
accepted_full_article_text_rows	21
accepted_unique_sha256	21
rows_with_represented_full_article_after	158
paper_or_other_rows_with_full_article_after	157
created_at_utc	2026-05-01T07:06:50.948909+00:00
route_attempt::crossref_fulltext_link	67
route_attempt::crossref_relation_doi	1
route_attempt::europepmc_fulltext_url	17
route_attempt::openaire_instance_url	10
route_attempt::openalex_location_url	33
route_attempt::osf_file_download	8
route_attempt::wayback_cdx_html	1
route_accepted::crossref_relation_doi	1
route_accepted::openalex_location_url	19
route_accepted::wayback_cdx_html	1
failure_code::http_403_blocked	80
failure_code::full_article_text_obtained	21
failure_code::captcha_or_bot_block	12
failure_code::unknown_or_non_article_bytes	12
failure_code::identity_or_plausibility_failed	10
failure_code::login_or_paywall_html	1
failure_code::html_not_full_article	1
