metric	value
sample_n	300
targets_considered	53
attempt_rows	72
accepted_full_article_text_rows	4
accepted_unique_sha256	4
rows_with_represented_full_article_after	162
paper_or_other_rows_with_full_article_after	161
created_at_utc	2026-05-01T07:44:12.129897+00:00
route_attempt::crossref_fulltext_link	44
route_attempt::openaire_instance_url	3
route_attempt::openalex_location_url	15
route_attempt::osf_file_download	8
route_attempt::semantic_scholar_openaccess_pdf	1
route_attempt::wayback_cdx_html	1
route_accepted::openalex_location_url	3
route_accepted::semantic_scholar_openaccess_pdf	1
failure_code::http_403_blocked	40
failure_code::unknown_or_non_article_bytes	11
failure_code::identity_or_plausibility_failed	10
failure_code::captcha_or_bot_block	5
failure_code::full_article_text_obtained	4
failure_code::login_or_paywall_html	1
failure_code::html_not_full_article	1
