metric	value
sample_n	300
source_files_total	249
source_files_with_local_bytes	249
source_files_needing_extraction	144
created_at_utc	2026-04-30T23:27:16.504216+00:00
source_byte_class::dataset_file	54
source_byte_class::full_article_html	13
source_byte_class::full_article_pdf	36
source_byte_class::full_article_xml	35
source_byte_class::pmc_fulltext_xml	4
source_byte_class::registry_record_full	104
source_byte_class::source_object_unclassified	1
source_byte_class::supplement_file	2
parser_route::classify_first	1
parser_route::html_first	13
parser_route::pdf_cascade	36
parser_route::registry_json	104
parser_route::structured_xml_first	39
parser_route::supplement_first	2
parser_route::table_or_corpus_file	54
worklist_status::already_verified_for_linked_results	3
worklist_status::handled_by_ctgov_verifier	102
worklist_status::needs_extraction	144
