source_result_id	represented_source_id	doi	title	source_type	current_evidence_level	first_failed_route_summary	manual_route_status	manual_route_type	operator_id	started_at	completed_at	access_basis	institutional_access_used	browser_used	zotero_used	download_url_observed	landing_url_observed	referrer_url_observed	candidate_local_temp_path	accepted_local_path	sha256	byte_size	mime_type	source_byte_class	identity_check_status	identity_check_basis	rights_storage_notes	redistribution_allowed	internal_audit_only	manual_notes
sr_ea908acbfb0c	work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	10.1093/sf/sou088	Ethnic Diversity, Economic And Cultural Contexts, And Social Trust: Cross-Sectional And Longitudinal Evidence From European Regions, 2002–2010	other	4	crossref_fulltext_link:http_403_blocked; openaire_instance_url:login_or_paywall_html; openalex_location_url:captcha_or_bot_block	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_8e53fec0db78	work_title_third_party_governance_and_performance_measurement_a_case_study_of	10.1093/jopart/mut017	Third-Party Governance And Performance Measurement: A Case Study Of Publicly Funded Private School Vouchers	other	4	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	10.1177/0003122418762441	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	other	4	crossref_fulltext_link:http_403_blocked; core_fulltext_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_a6f46bca45c2	work_title_conflict_and_housework_does_country_context_matter	10.1093/esr/jcp038	Conflict And Housework: Does Country Context Matter?	paper	4	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_a9a7d2fcc0d6	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	10.1111/ajps.12164	Explaining Explanations: How Legislators Explain Their Policy Positions And How Citizens React	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes; core_fulltext_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_a852da233b7d	work_title_golden_gulzar_sonnet_responsiveness_paper_median_of_5_preregistere		Golden/Gulzar/Sonnet responsiveness - paper median of 5 preregistered result rows	paper	4	crossref_fulltext_link:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_505408ec5cfe	work_title_gottfredson_g_d_jones_e_m_holland_j_l_1993_personality_and_vocatio		Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.	paper	4	crossref_fulltext_link:http_403_blocked; core_fulltext_url:request_error	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_b7cb57c5cb78	work_title_investigating_technology_enhanced_teacher_professional_development	10.3102/0013189x16644602	Investigating Technology-Enhanced Teacher Professional Development In Rural, High-Poverty Middle Schools	paper	4	crossref_fulltext_link:http_403_blocked; core_fulltext_url:http_403_blocked; core_fulltext_url:identity_or_plausibility_failed; core_fulltext_url:captcha_or_bot_block	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus		Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	paper	4	crossref_fulltext_link:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_459c73f90a3d	work_title_the_iraq_coalition_of_thewilling_and_politically_able_party_system	10.1111/j.1540-5907.2012.00627.x	The Iraq Coalition of theWilling and (Politically) Able: Party Systems, the Press, and Public Influence on Foreign Policy	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes; core_fulltext_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_ee72592661db	work_title_the_origins_of_sex_differences_in_human_behavior_evolved_dispositi	10.1037/0003-066x.54.6.408	The origins of sex differences in human behavior: Evolved dispositions versus social roles.	paper	4	crossref_fulltext_link:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_2eb0fc250a2a	work_title_violent_offending_and_victimization_in_adolescence_social_network	10.1111/1745-9125.12112	Violent Offending And Victimization In Adolescence: Social Network Mechanisms And Homophily*	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes; core_fulltext_url:http_403_blocked	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_8144e362ed8b	work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	10.1086/658469	When Your World Must Be Defended: Choosing Products To Justify The System	paper	4	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked; core_fulltext_url:http_404; core_fulltext_url:http_403_blocked; core_fulltext_url:request_error	not_started	manual_browser_oa_or_institutional																					true	Use lawful browser/Zotero/library route; hash, copy, identity-gate, and rights-note accepted files.
sr_d5187cb33c19	work_doi_10_1002_acp_1376	10.1002/acp.1376	Eyewitness memory following discussion: using the MORI technique with a Western sample	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:html_not_full_article	not_started	library_author_or_publisher_required																					true	Stop automated looping; decide library, author, publisher, or unresolved follow-up.
sr_b35dc7490583	work_title_locating_supreme_court_opinions_in_doctrine_space	10.1111/j.1540-5907.2010.00470.x	Locating Supreme Court Opinions in Doctrine Space	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes	not_started	library_author_or_publisher_required																					true	Stop automated looping; decide library, author, publisher, or unresolved follow-up.
sr_629af99106ba	work_title_loyal_rebels_a_test_of_the_normative_conflict_model_of_constructiv	10.1002/job.2194	Loyal Rebels? A Test Of The Normative Conflict Model Of Constructive Deviance	paper	4	crossref_fulltext_link:unknown_or_non_article_bytes	not_started	library_author_or_publisher_required																					true	Stop automated looping; decide library, author, publisher, or unresolved follow-up.
sr_bb35048cf955	work_title_intentional_disclosure_audience_privacy_setting	10.1080/08838151.2012.732140	intentional_disclosure: audience → privacy setting	paper	4	no_public_candidate_logged	not_started	library_author_or_publisher_required																					true	Stop automated looping; decide library, author, publisher, or unresolved follow-up.
