source_result_id	represented_source_id	previous_evidence_level	previous_evidence_level_name	source_citation_key	represented_title	doi	route	attempt_kind	candidate_url	http_status	final_url	content_type	byte_count	pdf_valid	local_path	sha256	failure_reason	route_note
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	crossref_tdm_pdf_metadata	metadata	doi:10.1037/0021-9010.87.4.687					false			ok	1 pdf candidates
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	crossref_tdm_pdf	pdf_candidate	http://psycnet.apa.org/journals/apl/87/4/687.pdf	403	http://psycnet.apa.org/journals/apl/87/4/687.pdf	text/html	956	false			http_403_blocked	
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	unpaywall_pdf_metadata	metadata	doi:10.1037/0021-9010.87.4.687					false			ok	0 pdf candidates
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	openalex_pdf_metadata	metadata	doi:10.1037/0021-9010.87.4.687					false			ok	0 pdf candidates
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	semantic_scholar_openaccess_pdf_metadata	metadata	doi:10.1037/0021-9010.87.4.687					false			ok	0 pdf candidates
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	europepmc_pdf_metadata	metadata	doi:10.1037/0021-9010.87.4.687					false			ok	0 pdf candidates
sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	4	target_source_independently_grounded	bosco2020metabus	work_plot2_metabus_open_bosco_jap_87_4_687_3946	10.1037/0021-9010.87.4.687	doi_accept_pdf	pdf_candidate	https://doi.org/10.1037/0021-9010.87.4.687	403	https://doi.apa.org/doi/10.1037/0021-9010.87.4.687	text/html	962	false			http_403_blocked	DOI resolver requested with Accept: application/pdf
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	4	target_source_independently_grounded	tyner2026	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	crossref_tdm_pdf_metadata	metadata	doi:10.1177/0003122418762441					false			ok	2 pdf candidates
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	4	target_source_independently_grounded	tyner2026	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	crossref_tdm_pdf	pdf_candidate	https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	403	https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	text/html; charset=UTF-8	5741	false			http_403_blocked	
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	4	target_source_independently_grounded	tyner2026	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	crossref_tdm_pdf	pdf_candidate	https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	403	https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	text/html; charset=UTF-8	5756	false			http_403_blocked	
