metric	value
sample_n	300
below_level5_rows	117
below_level5_rows_with_pdf_identifier	113
rows_attempted	113
attempt_rows	865
pdf_attempt_rows_valid	11
rows_with_pdf_obtained	11
unpaywall_enabled	true
fatcat_enabled	false
include_nonprimary_identifiers	false
stop_after_success	true
created_at_utc	2026-05-01T03:56:53.225952+00:00
route_attempt_rows::crossref_tdm_pdf	116
route_attempt_rows::crossref_tdm_pdf_metadata	123
route_attempt_rows::doi_accept_pdf	112
route_attempt_rows::europepmc_pdf	1
route_attempt_rows::europepmc_pdf_metadata	113
route_attempt_rows::openalex_pdf	12
route_attempt_rows::openalex_pdf_metadata	114
route_attempt_rows::pubmed_esummary	3
route_attempt_rows::semantic_scholar_openaccess_pdf	14
route_attempt_rows::semantic_scholar_openaccess_pdf_metadata	114
route_attempt_rows::unpaywall_pdf	22
route_attempt_rows::unpaywall_pdf_metadata	121
route_pdf_success::crossref_tdm_pdf	2
route_pdf_success::europepmc_pdf	1
route_pdf_success::semantic_scholar_openaccess_pdf	1
route_pdf_success::unpaywall_pdf	7
failure_reason::ok	568
failure_reason::http_403_blocked	214
failure_reason::login_or_paywall_html	24
failure_reason::http_404:	20
failure_reason::http_not_ok	18
failure_reason::pdf_obtained	11
failure_reason::html_not_pdf	7
failure_reason::captcha_or_bot_block	3
