source_result_id	represented_source_id	previous_evidence_level	represented_title	weak_represented_title	primary_dois	acquired_doi	route	candidate_url	final_url	local_path	ledger_sha256	actual_sha256	sha256_matches_ledger	file_exists	text_status	text_chars_checked	pdfinfo_title	pdf_text_dois	primary_doi_in_pdf_text	acquired_doi_in_pdf_text	candidate_url_dois	final_url_dois	candidate_url_matches_primary_doi	final_url_matches_primary_doi	acquired_doi_matches_primary_doi	title_exact_present	title_token_coverage	title_line_similarity	identity_decision	identity_decision_reason
sr_2ef5e9c7214d	work_title_brons_et_al_2017_score_24yw6_31_1	4	Brons et al. (2017) (SCORE 24yw6_31_1)	true	10.1093/esr/jcx078	10.1093/esr/jcx078	unpaywall_pdf	https://pure.rug.nl/ws/files/51680975/jcx078.pdf	https://pure.rug.nl/ws/files/51680975/jcx078.pdf	data/cache/original_pdf_acquisition/sample_300/sr_2ef5e9c7214d__unpaywall_pdf__63388ab3f471.pdf	6b6b68bb8b81eae0b5dc87f2c732deaca6973214803d4f1d7c648165d5d3c5dc	6b6b68bb8b81eae0b5dc87f2c732deaca6973214803d4f1d7c648165d5d3c5dc	true	true	ok	27728		10.1093/esr/jcx078	true	true			false	false	true	false	0.75	0.395	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
sr_57e119b02525	work_doi_10_1073_pnas_2103313118	4	Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity	false	10.1073/pnas.2103313118|10.1093/jcr/ucv051	10.1073/pnas.2103313118	europepmc_pdf	https://europepmc.org/articles/PMC8612349?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC8612349	data/cache/original_pdf_acquisition/sample_300/sr_57e119b02525__europepmc_pdf__7c942bd6e75e.pdf	401a369d7738a200c8bc167cf7a2da8ed969b4cbecffc99a87d0302f30489848	401a369d7738a200c8bc167cf7a2da8ed969b4cbecffc99a87d0302f30489848	true	true	ok	24046	PNAS202103313_proof.pdf	10.1073/pnas.2103313118/-/dcsupplemental|10.1073/pnas.2103313118	true	true			false	false	true	true	1.0	0.578	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
sr_05a96a248d34	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	2	2016 preregistered key-question effect (schaefer_2019_preg_60)	false	10.3389/fpsyg.2016.01155	10.3389/fpsyg.2016.01155	unpaywall_pdf	https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01155/pdf	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01155/pdf	data/cache/original_pdf_acquisition/sample_300/sr_05a96a248d34__unpaywall_pdf__586f3885f20a.pdf	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	true	true	ok	11919	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect	10.3389/fpsyg.2016.01155|10.1177/17456|10.3389/fpsyg|10.1177/1745691616|10.1037/0022-3514.74.5.1252|10.1037/xge	true	true	10.3389/fpsyg.2016.01155/pdf	10.3389/fpsyg.2016.01155/pdf	false	false	true	false	0.429	0.468	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
sr_10e682ba553b	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_exp_031_6938	2	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_exp_031_6938	false	10.1088/1126-6708/2006/05/031	10.1088/1126-6708/2006/05/031	unpaywall_pdf	https://arxiv.org/pdf/hep-th/0603110	https://arxiv.org/pdf/hep-th/0603110	data/cache/original_pdf_acquisition/sample_300/sr_10e682ba553b__unpaywall_pdf__9ecaff1a6d63.pdf	9bdef6dd35972a6376aa12ef9c9245e5e1456050e979d70adae3e3a4cb272769	9bdef6dd35972a6376aa12ef9c9245e5e1456050e979d70adae3e3a4cb272769	true	true	ok	15972			false	false			false	false	true	false	0.1	0.327	accepted_pdf_identity	primary DOI route matches; PDF text extracted but DOI/title signal is incomplete
sr_2ead36cae8e2	work_title_schaefer_2019_np_mul_093	2	schaefer_2019_np_MUL.093	true	10.1088/1126-6708/2008/12/093	10.1088/1126-6708/2008/12/093	unpaywall_pdf	https://arxiv.org/pdf/0807.3870	https://arxiv.org/pdf/0807.3870	data/cache/original_pdf_acquisition/sample_300/sr_2ead36cae8e2__unpaywall_pdf__fefacc929b57.pdf	869fd49a9d9a168d4c13128f930dd0219ed4d1dd1c6660670fbf57287263fe4e	869fd49a9d9a168d4c13128f930dd0219ed4d1dd1c6660670fbf57287263fe4e	true	true	ok	9724	arXiv:0807.3870v1  [hep-th]  24 Jul 2008		false	false			false	false	true	false	0.0	0.317	accepted_pdf_identity	primary DOI route matches; PDF text extracted but DOI/title signal is incomplete
sr_307943984453	work_title_schaefer_2019_np_soc_079	2	schaefer_2019_np_SOC.079	true	10.3765/plsa.v4i1.4501	10.3765/plsa.v4i1.4501	crossref_tdm_pdf	https://journals.linguisticsociety.org/proceedings/index.php/PLSA/article/viewFile/4501/4107	https://journals.linguisticsociety.org/proceedings/index.php/PLSA/article/download/4501/4107/0	data/cache/original_pdf_acquisition/sample_300/sr_307943984453__crossref_tdm_pdf__35bbb32c61a9.pdf	5ac10b81a549256c777f116bf93fd70673a64784adaea9ffbb61ba95ffea38a2	5ac10b81a549256c777f116bf93fd70673a64784adaea9ffbb61ba95ffea38a2	true	true	ok	15306		10.3765/plsa.v4i1.4501|10.1515/jall-2015-0010|10.1353/lan.2013.0020|10.1007/s11049-015-9309-5	true	true			false	false	true	false	1.0	0.393	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
sr_30b176b2d082	work_title_mohler_seitz_2012	2	Mohler & Seitz (2012)	true	10.1007/s10290-012-0126-1	10.1007/s10290-012-0126-1	semantic_scholar_openaccess_pdf	http://epub.ub.uni-muenchen.de/11477/2/Gains_for_Europe.pdf	https://epub.ub.uni-muenchen.de/11477/2/Gains_for_Europe.pdf	data/cache/original_pdf_acquisition/sample_300/sr_30b176b2d082__semantic_scholar_openaccess_pdf__6e232b5f1ac6.pdf	b419deacbabe056eea656912a28e00af83441c96572951c519cdeff36b30b4f3	b419deacbabe056eea656912a28e00af83441c96572951c519cdeff36b30b4f3	true	true	ok	18237		10.5282/ubm/epub.11477	false	false			false	false	true	false	0.667	0.6	accepted_pdf_identity	primary DOI route matches; PDF text extracted but DOI/title signal is incomplete
sr_644891607462	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	2	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	false	10.1088/1126-6708/2001/11/046	10.1088/1126-6708/2001/11/046	unpaywall_pdf	https://arxiv.org/pdf/hep-th/0109064	https://arxiv.org/pdf/hep-th/0109064	data/cache/original_pdf_acquisition/sample_300/sr_644891607462__unpaywall_pdf__c7d9019b1222.pdf	856a18c8b0e933b111ed0b1deb1b16c28b323f93aacb7999f3bfd8a9f8b888f5	856a18c8b0e933b111ed0b1deb1b16c28b323f93aacb7999f3bfd8a9f8b888f5	true	true	ok	15637	arXiv:hep-th/0109064v2  17 Oct 2001		false	false			false	false	true	false	0.1	0.34	accepted_pdf_identity	primary DOI route matches; PDF text extracted but DOI/title signal is incomplete
sr_a182ef5b0da7	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	2	2016 preregistered key-question effect (schaefer_2019_preg_81)	false	10.3389/fpsyg.2016.01155	10.3389/fpsyg.2016.01155	unpaywall_pdf	https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01155/pdf	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01155/pdf	data/cache/original_pdf_acquisition/sample_300/sr_a182ef5b0da7__unpaywall_pdf__586f3885f20a.pdf	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	true	true	ok	11919	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect	10.3389/fpsyg.2016.01155|10.1177/17456|10.3389/fpsyg|10.1177/1745691616|10.1037/0022-3514.74.5.1252|10.1037/xge	true	true	10.3389/fpsyg.2016.01155/pdf	10.3389/fpsyg.2016.01155/pdf	false	false	true	false	0.429	0.468	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
sr_bbf5b92dab8e	work_title_faria_haddad_2014	2	Faria & Haddad (2014)	true	10.1590/0103-6351/1571	10.1590/0103-6351/1571	crossref_tdm_pdf	http://www.scielo.br/pdf/neco/v24n1/0103-6351-neco-24-01-0141.pdf	http://www.scielo.br/j/neco/a/DKYJXVzFk6SRKPtbpddS3Km/?format=pdf&lang=pt	data/cache/original_pdf_acquisition/sample_300/sr_bbf5b92dab8e__crossref_tdm_pdf__f91d5fb57bbc.pdf	27a035c0fa7fad4dfc34271603b02c7117539653e7352b4dc31095a5d46bebac	27a035c0fa7fad4dfc34271603b02c7117539653e7352b4dc31095a5d46bebac	true	true	ok	22716		10.1590/0103-6351/1571	true	true			false	false	true	false	1.0	0.526	accepted_pdf_identity	primary DOI route matches and primary DOI appears in extracted PDF text
