metric	value
sample_n	300
pdf_candidate_rows_checked	11
pdf_candidate_source_results_checked	11
accepted_pdf_identity_rows	11
accepted_pdf_identity_source_results	11
rejected_pdf_identity_rows	0
manual_identity_check_rows	0
accepted_unique_pdf_sha256	10
current_level5_plus_rows	183
below_level5_rows	117
projected_level5_plus_if_accepted_promoted	194
created_at_utc	2026-05-01T03:56:59.401485+00:00
identity_decision::accepted_pdf_identity	11
route_checked::crossref_tdm_pdf	2
route_checked::europepmc_pdf	1
route_checked::semantic_scholar_openaccess_pdf	1
route_checked::unpaywall_pdf	7
route_accepted::crossref_tdm_pdf	2
route_accepted::europepmc_pdf	1
route_accepted::semantic_scholar_openaccess_pdf	1
route_accepted::unpaywall_pdf	7
