source_result_id	source_id	access_id	attempt_id	source_file_id	sha256	local_path	route
sr_2ef5e9c7214d	work_title_brons_et_al_2017_score_24yw6_31_1	acc_9a1c9fbe906b	att_45f798cb4cfa	file_9a1c9fbe906b	6b6b68bb8b81eae0b5dc87f2c732deaca6973214803d4f1d7c648165d5d3c5dc	data/cache/original_pdf_acquisition/sample_300/sr_2ef5e9c7214d__unpaywall_pdf__63388ab3f471.pdf	unpaywall_pdf
sr_57e119b02525	work_doi_10_1073_pnas_2103313118	acc_8e1abc9cdca3	att_6af6511a4908	file_8e1abc9cdca3	401a369d7738a200c8bc167cf7a2da8ed969b4cbecffc99a87d0302f30489848	data/cache/original_pdf_acquisition/sample_300/sr_57e119b02525__europepmc_pdf__7c942bd6e75e.pdf	europepmc_pdf
sr_05a96a248d34	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	acc_b9c0e260cd7b	att_6c3503fcc6b7	file_b9c0e260cd7b	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	data/cache/original_pdf_acquisition/sample_300/sr_05a96a248d34__unpaywall_pdf__586f3885f20a.pdf	unpaywall_pdf
sr_10e682ba553b	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_exp_031_6938	acc_2fb4eceebb09	att_4d3210a9ae16	file_2fb4eceebb09	9bdef6dd35972a6376aa12ef9c9245e5e1456050e979d70adae3e3a4cb272769	data/cache/original_pdf_acquisition/sample_300/sr_10e682ba553b__unpaywall_pdf__9ecaff1a6d63.pdf	unpaywall_pdf
sr_2ead36cae8e2	work_title_schaefer_2019_np_mul_093	acc_15c941de90a8	att_44c6556350ee	file_15c941de90a8	869fd49a9d9a168d4c13128f930dd0219ed4d1dd1c6660670fbf57287263fe4e	data/cache/original_pdf_acquisition/sample_300/sr_2ead36cae8e2__unpaywall_pdf__fefacc929b57.pdf	unpaywall_pdf
sr_307943984453	work_title_schaefer_2019_np_soc_079	acc_93bcf6369d34	att_0c559cba6273	file_93bcf6369d34	5ac10b81a549256c777f116bf93fd70673a64784adaea9ffbb61ba95ffea38a2	data/cache/original_pdf_acquisition/sample_300/sr_307943984453__crossref_tdm_pdf__35bbb32c61a9.pdf	crossref_tdm_pdf
sr_30b176b2d082	work_title_mohler_seitz_2012	acc_c0a66b8f7017	att_3436d13f6ce0	file_c0a66b8f7017	b419deacbabe056eea656912a28e00af83441c96572951c519cdeff36b30b4f3	data/cache/original_pdf_acquisition/sample_300/sr_30b176b2d082__semantic_scholar_openaccess_pdf__6e232b5f1ac6.pdf	semantic_scholar_openaccess_pdf
sr_644891607462	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	acc_516d0ccb95b3	att_fed23cfd7c5a	file_516d0ccb95b3	856a18c8b0e933b111ed0b1deb1b16c28b323f93aacb7999f3bfd8a9f8b888f5	data/cache/original_pdf_acquisition/sample_300/sr_644891607462__unpaywall_pdf__c7d9019b1222.pdf	unpaywall_pdf
sr_a182ef5b0da7	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	acc_f10b2984a506	att_5f41c1b5f134	file_f10b2984a506	cbd1aacfa540fc6c82bae7a3c557d566f6dc060b0dfe90b6c1188d6d0eb12b24	data/cache/original_pdf_acquisition/sample_300/sr_a182ef5b0da7__unpaywall_pdf__586f3885f20a.pdf	unpaywall_pdf
sr_bbf5b92dab8e	work_title_faria_haddad_2014	acc_6e5cb2dbad3d	att_7cb45ee3e93a	file_6e5cb2dbad3d	27a035c0fa7fad4dfc34271603b02c7117539653e7352b4dc31095a5d46bebac	data/cache/original_pdf_acquisition/sample_300/sr_bbf5b92dab8e__crossref_tdm_pdf__f91d5fb57bbc.pdf	crossref_tdm_pdf
sr_d30c0407b24b	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_bio_019_6631	acc_623172e2df06	att_ca6c9073ec5c	file_623172e2df06	aeedca6ad793e1519d7cbb46f9435ff493aa4d58aa01d15cb531854e1169200e	data/cache/original_pdf_acquisition/sample_300/sr_d30c0407b24b__unpaywall_pdf__8087ca98974b.pdf	unpaywall_pdf
