plot_id	plot_universe_id	canonical_result_id	criteria_version	decision_context_type	eligibility_status	included_in_plot	included_in_statistics	passed_criteria_ids	failed_criteria_ids	caveat_criteria_ids	decision_basis	decision_source	decided_at	plot_field	plot_source_family	render_order_group_count	style_group	exclusion_reason	notes
plot3_preregistered	plot3_preregistered_results	cr_641bfcb0568c	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	18	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_1fe4ef5e7c66	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	Ying 2023 manual partial reconstruction	20	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_852b6f1ad812	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Business	score_cos_claims	5	Business		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_a45f030d149c	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		io_psychology_management	metabus_open_bosco	16	io_psychology_management		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot3_preregistered	plot3_preregistered_results	cr_4d82f0338c25	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	18	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot3_preregistered	plot3_preregistered_results	cr_5477126f3de1	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	18	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot3_preregistered	plot3_preregistered_results	cr_87a6c6df06d0	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Psychology/health	Schäfer/Schwarz 2019 preregistered psychology articles	5	Psychology/health		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_a462f1b7d71c	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		genetics_biomedicine	gwas_catalog	33	genetics_biomedicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_b7e069c1d0ed	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py			FReD filtered pair table	19	FReD filtered pair table		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_d336b25a1b0a	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		experimental philosophy	replication_pair_originals_bridge	1	experimental philosophy		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_3af09bd82bca	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		clinical_trials_registry	ctgov_finer_grained_kg	52	clinical_trials_registry		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_7bb2ef9d0d78	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		Clinical medicine	ClinicalTrials.gov phase-2+ primary randomized registry rows	20	Clinical medicine		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
plot4_all_sources	plot4_all_source_dn_dump	cr_bd8e443259bd	schema_pilot_sample_300	current_plot	included	true	true				Sampled from the current plotted dot membership table; full criterion replay is staged for the YAML-backed plot universe layer.	scripts/build_codebook_pilot_sample.py		medicine_rct	clinifact_published_primary_pairs	4	medicine_rct		Pilot plot membership generated from sampled plot row; render_order_group_count is computed within the 300-row pilot only.
