source_result_id	result_label	source_family	source_directness	coding_status	local_evidence_path	local_evidence_sha256	local_evidence_kind	doi_list	pmid_list	pmcid_list	nct_list	url_list	aea_trial_list	dataverse_dvn_list	source_bib_key	source_bib_doi	source_bib_url	source_bib_title	source_bib_real_world_url	crossref_resolved_doi	crossref_resolved_title	crossref_score	crossref_title_similarity	crossref_resolution_method	crossref_resolution_status	crossref_query_url	primary_real_world_url	primary_real_world_url_basis	grounding_status	literal_number_status	number_verified_against_original_source	grounding_note	evidence_level	evidence_level_name	source_is_original	number_verified_by_us	represented_work_identified	source_is_external	requires_manual_review	conversion_verified	why_not_level3	next_manual_action
sr_a182ef5b0da7	2016 preregistered key-question effect (schaefer_2019_preg_81)	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx	3d8068ab385e8e454aeba870adb4415adc9d306fda33b188a22f1b522e5acdd6	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.3389/fpsyg.2016.01155	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect		0.430	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=2016+preregistered+key-question+effect+%28schaefer_2019_preg_81%29+2016.0	https://doi.org/10.3389/fpsyg.2016.01155	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_307943984453	schaefer_2019_np_SOC.079	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx	62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.3765/plsa.v4i1.4501	NP internal syntax: High tone and quantifier conditions		0.231	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_SOC.079+1980.0	https://doi.org/10.3765/plsa.v4i1.4501	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_e89d75ebfd8e	schaefer_2019_np_CLI.064	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx	62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.1158/1557-3265.ovcasymp18-tmim-064	Abstract TMIM-064: AMPKA-LIKE PROTEINS IN OVARIAN CANCER TUMORIGENESIS AND NECROPTOSIS		0.250	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_CLI.064+2015.0	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_b2348504f69b	linden_2018_1	linden_2024_random_effects	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	8db0347809e96b5f079e559258b283c40bda79311614e23724077d611aec8e05	external_corpus_mirror								linden2024publicationBiasPsychology	10.1371/journal.pone.0297075	https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	https://doi.org/10.1371/journal.pone.0297075						not_needed_or_not_attempted				unresolved	literal_number_from_external_corpus_mirror	not_yet	Only corpus/source-family grounding or local derived evidence was recovered.	2	external_source_assertion	false	false	false	true	true	false	Mirrored SAV exposes only year and paper index for this sampled psychology article; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the coded article list for Linden et al. Study 2 / ATJ_Study2_ESs_and_Ns.sav; do not promote from year+paper-index alone.
sr_05a96a248d34	2016 preregistered key-question effect (schaefer_2019_preg_60)	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx	3d8068ab385e8e454aeba870adb4415adc9d306fda33b188a22f1b522e5acdd6	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.3389/fpsyg.2016.01155	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect		0.430	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=2016+preregistered+key-question+effect+%28schaefer_2019_preg_60%29+2016.0	https://doi.org/10.3389/fpsyg.2016.01155	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_3e576eaeee38	plot2::schaefer_2019_np_MUL.077	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx	62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.5860/choice.37sup-077	The Grove dictionary of art online		0.103	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_MUL.077+2000.0	https://doi.org/10.5860/choice.37sup-077	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_f44201a1b8b4	Corbo & Osbat (2013)	havranek_armington	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/havranek_meta_analysis/armington/armington.xlsx	c547202f7665d63d94c7425bd255b19f954875bc827e1158a8b25dd401c08481	external_corpus_mirror								havranekArmingtonData	10.1016/j.jinteco.2020.103383	https://doi.org/10.1016/j.jinteco.2020.103383	Estimating the Armington Elasticity: The Importance of Study Design and Publication Bias	https://doi.org/10.1016/j.jinteco.2020.103383	10.2139/ssrn.2246577	Trade Adjustment in the European Union - A Structural Estimation Approach		0.161	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=Corbo+%26+Osbat+%282013%29+2013.0	https://doi.org/10.2139/ssrn.2246577	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	No represented-paper handle was recovered.	Manual bibliographic resolution required.
sr_644891607462	plot2::schaefer_2019_np_CLI.046	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_without_prereg.xlsx	62dfc5e065a94a3dbfdbdd1c97a97c92c54021438c6e34f22f61be4c61771c9e	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.1088/1126-6708/2001/11/046	Quarter BPS operators in Script N = 4 SYM		0.319	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_np_CLI.046+2001.0	https://doi.org/10.1088/1126-6708/2001/11/046	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_1eb547defd9c	plot2::schaefer_2019_preg_25	Schäfer/Schwarz preregistered psychology articles	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx	3d8068ab385e8e454aeba870adb4415adc9d306fda33b188a22f1b522e5acdd6	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.1080/13540602.2018.1532407	Sustaining teachers’ stories to live by: implications for teacher education		0.200	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=schaefer_2019_preg_25+2018.0	https://doi.org/10.1080/13540602.2018.1532407	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	Mirrored workbook exposes only an anonymized study/article code and effect/N cells; no DOI, title, PMID, registry ID, or source-paper URL is present.	Request the original article-key mapping from Schäfer/Schwarz or find an author-posted supplementary crosswalk; do not promote from the anonymized ID alone.
sr_30b176b2d082	Mohler & Seitz (2012)	havranek_armington	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/havranek_meta_analysis/armington/armington.xlsx	c547202f7665d63d94c7425bd255b19f954875bc827e1158a8b25dd401c08481	external_corpus_mirror								havranekArmingtonData	10.1016/j.jinteco.2020.103383	https://doi.org/10.1016/j.jinteco.2020.103383	Estimating the Armington Elasticity: The Importance of Study Design and Publication Bias	https://doi.org/10.1016/j.jinteco.2020.103383	10.1007/s10290-012-0126-1	The gains from variety in the European Union		0.164	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=Mohler+%26+Seitz+%282012%29+2009.0	https://doi.org/10.1007/s10290-012-0126-1	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false	No represented-paper handle was recovered.	Manual bibliographic resolution required.
