source_result_id	represented_source_id	evidence_level	source_type	doi	pmid	title	next_bucket	failed_public_routes_seen
sr_362d2e514afe	work_title_jap_79_5_691	4	paper			JAP-79-5-691	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_8d7eceba3893	work_title_jap_82_1_89	4	paper			JAP-82-1-89	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	4	paper	10.1093/joc/jqaf007		Privacy calculus/privacy paradox/context collapse replication (Vitak model)	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; osf_file_download:identity_or_plausibility_failed; openalex_location_url:http_403_blocked
sr_32e8f46f1c24	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	4	paper			China-aid attitudes survey experiment - paper median of 3 preregistered result rows	needs_better_identifier	osf_file_download:identity_or_plausibility_failed
sr_e89d75ebfd8e	work_title_schaefer_2019_np_cli_064	2	paper			schaefer_2019_np_CLI.064	needs_identity_crosswalk	crossref_fulltext_link:http_403_blocked
sr_b2348504f69b	work_title_linden_2018_1	2	paper			linden_2018_1	needs_identity_crosswalk	no_public_candidate_logged
sr_612caed0e0da	work_title_organizational_learning_in_target_setting	4	other	10.5465/amj.2014.0897		Organizational Learning In Target Setting	public_routes_exhausted	no_public_candidate_logged
sr_21fe810427f5	work_plot2_metabus_open_bosco_jap_77_4_453_3437	4	other			work_plot2_metabus_open_bosco_jap_77_4_453_3437	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	4	other	10.1177/0003122418762441		Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_6c8fbd0ac45b	work_plot2_metabus_open_bosco_pp_53_1_153_4827	4	other			work_plot2_metabus_open_bosco_pp_53_1_153_4827	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:http_403_blocked
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	4	paper			Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_a9a7d2fcc0d6	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	4	paper	10.1111/ajps.12164		Explaining Explanations: How Legislators Explain Their Policy Positions And How Citizens React	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes
sr_1c71871780ff	work_plot2_metabus_open_bosco_pp_63_2_439_4994	4	other			work_plot2_metabus_open_bosco_pp_63_2_439_4994	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:http_403_blocked
sr_3e576eaeee38	work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	2	other			work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	needs_identity_crosswalk	no_public_candidate_logged
sr_9ff92c0aba20	work_plot2_metabus_open_bosco_jap_66_3_371_3048	4	other			work_plot2_metabus_open_bosco_jap_66_3_371_3048	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_3a4c25fbf576	work_plot2_metabus_open_bosco_pp_45_4_807_4702	4	other			work_plot2_metabus_open_bosco_pp_45_4_807_4702	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:unknown_or_non_article_bytes
sr_ea908acbfb0c	work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	4	other	10.1093/sf/sou088		Ethnic Diversity, Economic And Cultural Contexts, And Social Trust: Cross-Sectional And Longitudinal Evidence From European Regions, 2002–2010	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; openaire_instance_url:login_or_paywall_html; openalex_location_url:captcha_or_bot_block
sr_5adb462eb079	work_title_jap_79_6_959	4	paper			JAP-79-6-959	needs_metabus_or_shorthand_crosswalk	crossref_fulltext_link:http_403_blocked
sr_b7cb57c5cb78	work_title_investigating_technology_enhanced_teacher_professional_development	4	paper	10.3102/0013189x16644602		Investigating Technology-Enhanced Teacher Professional Development In Rural, High-Poverty Middle Schools	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_8144e362ed8b	work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	4	paper	10.1086/658469		When Your World Must Be Defended: Choosing Products To Justify The System	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked; openalex_location_url:http_403_blocked
sr_2eb0fc250a2a	work_title_violent_offending_and_victimization_in_adolescence_social_network	4	paper	10.1111/1745-9125.12112		Violent Offending And Victimization In Adolescence: Social Network Mechanisms And Homophily*	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes
sr_d5187cb33c19	work_doi_10_1002_acp_1376	4	paper	10.1002/acp.1376		Eyewitness memory following discussion: using the MORI technique with a Western sample	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:html_not_full_article
sr_1eb547defd9c	work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	2	other			work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	needs_identity_crosswalk	no_public_candidate_logged
sr_b35dc7490583	work_title_locating_supreme_court_opinions_in_doctrine_space	4	paper	10.1111/j.1540-5907.2010.00470.x		Locating Supreme Court Opinions in Doctrine Space	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes
sr_629af99106ba	work_title_loyal_rebels_a_test_of_the_normative_conflict_model_of_constructiv	4	paper	10.1002/job.2194		Loyal Rebels? A Test Of The Normative Conflict Model Of Constructive Deviance	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes
sr_bb35048cf955	work_title_intentional_disclosure_audience_privacy_setting	4	paper	10.1080/08838151.2012.732140		intentional_disclosure: audience → privacy setting	public_routes_exhausted	no_public_candidate_logged
sr_505408ec5cfe	work_title_gottfredson_g_d_jones_e_m_holland_j_l_1993_personality_and_vocatio	4	paper			Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.	needs_manual_or_core_base	crossref_fulltext_link:http_403_blocked
sr_459c73f90a3d	work_title_the_iraq_coalition_of_thewilling_and_politically_able_party_system	4	paper	10.1111/j.1540-5907.2012.00627.x		The Iraq Coalition of theWilling and (Politically) Able: Party Systems, the Press, and Public Influence on Foreign Policy	public_routes_exhausted	crossref_fulltext_link:unknown_or_non_article_bytes
sr_ec359e2c27e0	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_50	2	paper			2016 preregistered key-question effect (schaefer_2019_preg_50)	needs_identity_crosswalk	no_public_candidate_logged
sr_dc8fc4fdac47	work_title_miron_1986	2	paper			Miron (1986)	needs_identity_crosswalk	openaire_instance_url:captcha_or_bot_block; wayback_cdx_html:captcha_or_bot_block
