metric	value
sample_n	300
plot_rows_recovered	300
ultimate_source_paths_existing	300
rows_with_recovered_effect_text	298
rows_with_recovered_n_text	300
rows_with_second_hop_raw_file	298
rows_with_existing_second_hop_raw_file	295
source_directness::candidate_child_numeric_row	211
source_directness::plot_row_only	2
source_directness::political_science_component_rows	1
source_directness::raw_ctgov_registry_row	37
source_directness::replication_pair_source_row	48
source_directness::staged_replication_pair_source_row	1
source_text_extraction_status::n_only_recovered	2
source_text_extraction_status::source_cells_recovered	298
problem::missing_source_locator	3
problem::missing_verbatim_effect_text	2
problem::source_is_derived_not_original_text	262
severity::high	2
severity::medium	265
