source_file_id	source_id	access_id	attempt_id	source_version_id	file_role	file_origin	source_byte_class	url	final_url	storage_uri	local_path	filename_original	filename_normalized	media_type_reported	media_type_sniffed	byte_size	sha256	provider_checksum_type	provider_checksum_value	content_fingerprint	text_sha256	archive_member_path	parent_file_id	page_count	word_count	extraction_ready_yn	level5_eligible	created_at	fixity_checked_at	notes
file_9adefd891c55	src_du2024	acc_21c181e8fd7f	att_76cb9a2f102e	ver_e69716167876	dataset	existing_local_file	dataset_file			data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	efficacy_df.csv	efficacy_df.csv	csv	csv	116679598	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1									true	true	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_4bd4ea10b363	src_ying2023pilot	acc_72aa8e244eab	att_207dbdddba2f	ver_50ced72ab8cb	derived_table	internal_derived	dataset_file			data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	ying_2023_partial_reconstruction__stage.csv	ying_2023_partial_reconstruction__stage.csv	csv	csv	9809	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_c6febbfe2bb3	src_tyner2026	acc_257dfff88ee0	att_ff9b09f977cd	ver_57be32232cc2	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_ce33dfbd029d	src_bosco2020metabus	acc_b2a8ef9c99e9	att_751db69c80ad	ver_438050ee885c	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_e7115dadbbb3	src_schaefer2019meaningfulness	acc_f06c7be1da8f	att_349b6905e49d	ver_d0e41c7f57c9	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_bc503d331cea	src_yengo2022	acc_bf7a03953cc7	att_678b71ef2910	ver_60a4b2a4946a	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_e3085877a8d3	src_tosh2024	acc_31f42dbf57b1	att_e29deac979fc	ver_8db73542b949	derived_table	internal_derived	dataset_file			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	csv	csv	1546005	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_cb30561bb868	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	att_c9d3b93445d5	ver_d54d90ac266a	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_d74a833b954f	src_du2024	acc_1783c4826f15	att_393c3caca5d0	ver_e69716167876	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_a3be663f5d80	src_zhang2025clinifact	acc_682df5779b17	att_74db45b306ed	ver_0deb75721618	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_47b77510380f	src_masur2025privacy	acc_fbfe56d3b9e1	att_809d7599e19e	ver_4f84da923e2c	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	csv	csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_4bf20669c84a	src_woodhoyprykechinaaiddataverse	acc_1bbbfd2a0269	att_9d6829ba7f1b	ver_b0dc133a917b	archive	existing_local_file	supplement_file			data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	3VVWPL.zip	3VVWPL.zip	zip	zip	42722	d7841f69f45e03086cc1cbe23e0238389b4f5447294be157a3f3e657f9070a88									true	true	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_596815a211a1	src_tosh2024	acc_4c6ecf2ff3fc	att_577cd2096849	ver_8db73542b949	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	csv	csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_68a98b6aeffa	src_tyner2026	acc_706556435f5c	att_b7a710a1e379	ver_57be32232cc2	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	plot2_published_paper_details.csv	plot2_published_paper_details.csv	csv	csv	4178869	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_3880996a2e19	src_button2013	acc_e31028e9cfc9	att_1285b157f35b	ver_9c5306f856e1	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_2a7409de44fa	src_tosh2024	acc_08fbd052d6f4	att_2e48ddfead13	ver_8db73542b949	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_f756091d5047	src_motyl2017state	acc_34066047d272	att_524b7bab2f87	ver_7c7e67e4a7f2	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_8317531244b4	src_bosco2020metabus	acc_955ee95804a2	att_5be11f9ee49c	ver_438050ee885c	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	plot2_published_paper_details.csv	plot2_published_paper_details.csv	csv	csv	4178869	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_562dca04093f	src_motyl2017state	acc_6e9aff6ea42d	att_4a97c21c1459	ver_7c7e67e4a7f2	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	plot2_published_paper_details.csv	plot2_published_paper_details.csv	csv	csv	4178869	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_b99131f95531	src_bergmann2018metalab	acc_a117f6b34f9f	att_e59a09c8f985	ver_18604f8a2f77	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	plot2_published_paper_details.csv	plot2_published_paper_details.csv	csv	csv	4178869	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_c8a7f82227f3	src_kuhberger2014publicationbias	acc_243241970d60	att_b706d2a99773	ver_27473834f33a	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_7750f6db4606	src_bergmann2018metalab	acc_ce0eea488afa	att_02854c37efbc	ver_18604f8a2f77	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_3b90da5f710e	src_errington2021	acc_60722000a1f2	att_0ffd8dfc5e42	ver_1f6cc607e7a6	derived_table	internal_derived	dataset_file			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	csv	csv	1546005	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_633b0b1dd222	src_yun2024llmextraction	acc_bfd3ba4b82f0	att_e72210e318f0	ver_8e4c0a07b2e8	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_7f294a5f6636	src_linden2024publicationbiaspsychology	acc_c001ba98ffa4	att_904c440b2d6c	ver_fe368f19ec4c	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_0232a2c7805b	src_tyner2026	acc_836393e43a35	att_2ede5d30366f	ver_57be32232cc2	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	csv	csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_5424f6c22bec	src_olsson2023publicationbias	acc_c82cc0154174	att_dfe1f5af0493	ver_693474c5a790	derived_table	internal_derived	dataset_file			data/derived/corpus_candidates/candidate_d_n_papers.csv	data/derived/corpus_candidates/candidate_d_n_papers.csv	candidate_d_n_papers.csv	candidate_d_n_papers.csv	csv	csv	9921908	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_76301608a345	src_klein2018	acc_95d516eb65a0	att_aab23fa3bb26	ver_ab7c619673e1	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	csv	csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_d536e3351b51	src_internalkerschbaumerphaseiiiiirheumatology	acc_657710719430	att_c7e70d0795bc	ver_e2e839031eb8	derived_table	internal_derived	dataset_file			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	plot1_replication_pair_details.csv	csv	csv	1085788	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
file_08acb79f133e	src_soto2019loopr	acc_2504e92784a8	att_1544ca84dd38	ver_e93cb80df0d5	derived_table	internal_derived	dataset_file			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	replication_pairs_all_on_hand.csv	csv	csv	1546005	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46									true	false	2026-04-29T00:00:00-07:00	2026-04-29T00:00:00-07:00	Pilot source_file row generated from existing source_access local_path; future resolver should add provider checksums and extracted members.
