source_id	identifier_type	identifier_value	identifier_url	identifier_source	is_primary	confidence	notes
work_nct_nct01606124	nct	NCT01606124	https://clinicaltrials.gov/study/NCT01606124	source.tsv	true	high	
work_nct_nct01606124	url	https://clinicaltrials.gov/study/NCT01606124	https://clinicaltrials.gov/study/NCT01606124	source.tsv	true	medium	
work_title_weight_loss_maintenance_weight_regain	doi	10.1089/acm.2006.6237	https://doi.org/10.1089/acm.2006.6237	source.tsv	true	high	
work_title_weight_loss_maintenance_weight_regain	url	https://doi.org/10.1089/acm.2006.6237	https://doi.org/10.1089/acm.2006.6237	source.tsv	true	medium	
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	doi	10.1016/j.jbusres.2016.03.030	https://doi.org/10.1016/j.jbusres.2016.03.030	source.tsv	true	high	
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	url	https://doi.org/10.1016/j.jbusres.2016.03.030	https://doi.org/10.1016/j.jbusres.2016.03.030	source.tsv	true	medium	
work_title_jap_79_5_691	url	https://doi.org/10.1037//0021-9010.79.5.691	https://doi.org/10.1037//0021-9010.79.5.691	source.tsv	true	medium	
work_nct_nct00373113	nct	NCT00373113	https://clinicaltrials.gov/study/NCT00373113	source.tsv	true	high	
work_nct_nct00373113	url	https://clinicaltrials.gov/study/NCT00373113	https://clinicaltrials.gov/study/NCT00373113	source.tsv	true	medium	
work_nct_nct00676650	nct	NCT00676650	https://clinicaltrials.gov/study/NCT00676650	source.tsv	true	high	
work_nct_nct00676650	url	https://clinicaltrials.gov/study/NCT00676650	https://clinicaltrials.gov/study/NCT00676650	source.tsv	true	medium	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	url	https://doi.org/10.3389/fpsyg.2016.01155	https://doi.org/10.3389/fpsyg.2016.01155	source.tsv	true	medium	
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	pmid	35013560	https://pubmed.ncbi.nlm.nih.gov/35013560/	source.tsv	true	high	
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	url	https://pubmed.ncbi.nlm.nih.gov/35013560/	https://pubmed.ncbi.nlm.nih.gov/35013560/	source.tsv	true	medium	
work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	doi	10.1080/02699931.2017.1394817	https://doi.org/10.1080/02699931.2017.1394817	source.tsv	true	high	
work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	url	https://doi.org/10.1080/02699931.2017.1394817	https://doi.org/10.1080/02699931.2017.1394817	source.tsv	true	medium	
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	doi	10.1371/journal.pone.0121537	https://doi.org/10.1371/journal.pone.0121537	source.tsv	true	high	
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	url	https://doi.org/10.1371/journal.pone.0121537	https://doi.org/10.1371/journal.pone.0121537	source.tsv	true	medium	
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	nct	NCT03527173	https://clinicaltrials.gov/study/NCT03527173	source.tsv	true	high	
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	url	https://clinicaltrials.gov/study/NCT03527173	https://clinicaltrials.gov/study/NCT03527173	source.tsv	true	medium	
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	nct	NCT00866658	https://clinicaltrials.gov/study/NCT00866658	source.tsv	true	high	
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	url	https://clinicaltrials.gov/study/NCT00866658	https://clinicaltrials.gov/study/NCT00866658	source.tsv	true	medium	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	pmid	22762147	https://pubmed.ncbi.nlm.nih.gov/22762147/	source.tsv	false	high	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	nct	NCT00511342	https://clinicaltrials.gov/study/NCT00511342	source.tsv	true	high	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	url	https://clinicaltrials.gov/study/NCT00511342	https://clinicaltrials.gov/study/NCT00511342	source.tsv	true	medium	
work_title_jap_82_1_89	url	https://doi.org/10.1037/h0101894	https://doi.org/10.1037/h0101894	source.tsv	true	medium	
work_doi_10_1093_joc_jqaf007	doi	10.1093/joc/jqaf007	https://doi.org/10.1093/joc/jqaf007	source.tsv	false	high	
work_doi_10_1093_joc_jqaf007	url	https://doi.org/10.1080/08838151.2012.732140	https://doi.org/10.1080/08838151.2012.732140	source.tsv	true	medium	
work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	aea_trial	5055	https://www.socialscienceregistry.org/trials/5055	source.tsv	true	high	
work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	url	https://www.socialscienceregistry.org/trials/5055	https://www.socialscienceregistry.org/trials/5055	source.tsv	true	medium	
work_doi_10_1073_pnas_2103313118	doi	10.1073/pnas.2103313118	https://doi.org/10.1073/pnas.2103313118	source.tsv	false	high	
work_doi_10_1073_pnas_2103313118	url	https://doi.org/10.1093/jcr/ucv051	https://doi.org/10.1093/jcr/ucv051	source.tsv	true	medium	
work_title_percent_change_in_worst_pain_score	nct	NCT00457730	https://clinicaltrials.gov/study/NCT00457730	source.tsv	true	high	
work_title_percent_change_in_worst_pain_score	url	https://clinicaltrials.gov/study/NCT00457730	https://clinicaltrials.gov/study/NCT00457730	source.tsv	true	medium	
work_title_demographic_and_genome_wide_association_analyses_according_to_musc	pmid	36573383	https://pubmed.ncbi.nlm.nih.gov/36573383/	source.tsv	true	high	
work_title_demographic_and_genome_wide_association_analyses_according_to_musc	url	https://pubmed.ncbi.nlm.nih.gov/36573383/	https://pubmed.ncbi.nlm.nih.gov/36573383/	source.tsv	true	medium	
work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	doi	10.1037/pspp0000165	https://doi.org/10.1037/pspp0000165	source.tsv	true	high	
work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	url	https://doi.org/10.1037/pspp0000165	https://doi.org/10.1037/pspp0000165	source.tsv	true	medium	
work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	pmid	37399103	https://pubmed.ncbi.nlm.nih.gov/37399103/	source.tsv	true	high	
work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	url	https://pubmed.ncbi.nlm.nih.gov/37399103/	https://pubmed.ncbi.nlm.nih.gov/37399103/	source.tsv	true	medium	
work_title_antipsychotic_efficacy	nct	NCT02035553	https://clinicaltrials.gov/study/NCT02035553	source.tsv	true	high	
work_title_antipsychotic_efficacy	url	https://clinicaltrials.gov/study/NCT02035553	https://clinicaltrials.gov/study/NCT02035553	source.tsv	true	medium	
work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	pmid	32276964	https://pubmed.ncbi.nlm.nih.gov/32276964/	source.tsv	true	high	
work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	url	https://pubmed.ncbi.nlm.nih.gov/32276964/	https://pubmed.ncbi.nlm.nih.gov/32276964/	source.tsv	true	medium	
work_title_etminan_72	url	https://doi.org/10.1038/jcbfm.2011.7	https://doi.org/10.1038/jcbfm.2011.7	source.tsv	true	medium	
work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	pmid	38741014	https://pubmed.ncbi.nlm.nih.gov/38741014/	source.tsv	true	high	
work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	url	https://pubmed.ncbi.nlm.nih.gov/38741014/	https://pubmed.ncbi.nlm.nih.gov/38741014/	source.tsv	true	medium	
work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	doi	10.1037/0022-3514.95.2.420	https://doi.org/10.1037/0022-3514.95.2.420	source.tsv	true	high	
work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	url	https://doi.org/10.1037/0022-3514.95.2.420	https://doi.org/10.1037/0022-3514.95.2.420	source.tsv	true	medium	
work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	pmid	34187551	https://pubmed.ncbi.nlm.nih.gov/34187551/	source.tsv	true	high	
work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	url	https://pubmed.ncbi.nlm.nih.gov/34187551/	https://pubmed.ncbi.nlm.nih.gov/34187551/	source.tsv	true	medium	
work_title_morphine_milligram_equivalents_mme	nct	NCT02887989	https://clinicaltrials.gov/study/NCT02887989	source.tsv	true	high	
work_title_morphine_milligram_equivalents_mme	url	https://clinicaltrials.gov/study/NCT02887989	https://clinicaltrials.gov/study/NCT02887989	source.tsv	true	medium	
work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	url	https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x	https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x	source.tsv	true	medium	
work_title_period_1_endoscopic_remission	nct	NCT01903252	https://clinicaltrials.gov/study/NCT01903252	source.tsv	true	high	
work_title_period_1_endoscopic_remission	url	https://clinicaltrials.gov/study/NCT01903252	https://clinicaltrials.gov/study/NCT01903252	source.tsv	true	medium	
work_plot2_metabus_open_bosco_jap_84_3_445_3761	url	https://doi.org/10.1037/0021-9010.84.3.445	https://doi.org/10.1037/0021-9010.84.3.445	source.tsv	true	medium	
work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	pmid	33514426	https://pubmed.ncbi.nlm.nih.gov/33514426/	source.tsv	true	high	
work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	url	https://pubmed.ncbi.nlm.nih.gov/33514426/	https://pubmed.ncbi.nlm.nih.gov/33514426/	source.tsv	true	medium	
work_title_schaefer_2019_np_soc_079	url	https://doi.org/10.3765/plsa.v4i1.4501	https://doi.org/10.3765/plsa.v4i1.4501	source.tsv	true	medium	
work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	url	https://doi.org/10.1037/a0038163	https://doi.org/10.1037/a0038163	source.tsv	true	medium	
work_title_jap_87_1_185	url	https://doi.org/10.1037/0021-9010.87.1.185	https://doi.org/10.1037/0021-9010.87.1.185	source.tsv	true	medium	
work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	nct	NCT00793624	https://clinicaltrials.gov/study/NCT00793624	source.tsv	true	high	
work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	url	https://clinicaltrials.gov/study/NCT00793624	https://clinicaltrials.gov/study/NCT00793624	source.tsv	true	medium	
work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	nct	NCT02561806	https://clinicaltrials.gov/study/NCT02561806	source.tsv	true	high	
work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	url	https://clinicaltrials.gov/study/NCT02561806	https://clinicaltrials.gov/study/NCT02561806	source.tsv	true	medium	
