candidate_id	result_id	represented_source_id	route_module	route_family	input_primary_doi	input_pmid	input_pmcid	input_nct	input_title	input_first_author	input_year	query_used	api_url	api_record_id	api_record_json_path	candidate_url	candidate_final_url	candidate_repository	candidate_object_type_guess	candidate_relation_type	candidate_doi	candidate_pmid	candidate_pmcid	candidate_title	candidate_authors	candidate_year	candidate_license	candidate_access_status	download_attempted	http_status	mime_type	content_length	local_path	sha256	extracted_text_path	doi_in_candidate_text	pmid_in_candidate_text	pmcid_in_candidate_text	title_similarity	author_year_match	identity_decision	identity_reason	evidence_scale_candidate	failure_code	failure_detail	created_at
cand_5417d078331d	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	crossref_tdm_pdf_metadata	crossref	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687							metadata_record	primary_identifier_route	10.1037/0021-9010.87.4.687							ok	false												metadata_only		level4_metadata_candidate	ok	1 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_fb370397905c	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	crossref_tdm_pdf	crossref	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687				http://psycnet.apa.org/journals/apl/87/4/687.pdf	http://psycnet.apa.org/journals/apl/87/4/687.pdf	psycnet.apa.org	blocked_page	primary_identifier_route	10.1037/0021-9010.87.4.687							http_403_blocked	true	403	text/html	956									not_downloaded_or_not_identity_checked		no_promotion	http_403_blocked		2026-05-01T04:36:38.715618+00:00
cand_d07acc1852c2	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	unpaywall_pdf_metadata	unpaywall	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687							metadata_record	primary_identifier_route	10.1037/0021-9010.87.4.687							ok	false												metadata_only		level4_metadata_candidate	ok	0 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_bd0124bd6710	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	openalex_pdf_metadata	openalex	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687							metadata_record	primary_identifier_route	10.1037/0021-9010.87.4.687							ok	false												metadata_only		level4_metadata_candidate	ok	0 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_9c2f959644db	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	semantic_scholar_openaccess_pdf_metadata	semantic_scholar	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687							metadata_record	primary_identifier_route	10.1037/0021-9010.87.4.687							ok	false												metadata_only		level4_metadata_candidate	ok	0 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_1db5ec9815a2	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	europepmc_pdf_metadata	europepmc	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687							metadata_record	primary_identifier_route	10.1037/0021-9010.87.4.687							ok	false												metadata_only		level4_metadata_candidate	ok	0 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_900b54b0a5ff	sr_026ab716fdc2	work_plot2_metabus_open_bosco_jap_87_4_687_3946	doi_accept_pdf	doi_accept	10.1037/0021-9010.87.4.687				work_plot2_metabus_open_bosco_jap_87_4_687_3946			10.1037/0021-9010.87.4.687				https://doi.org/10.1037/0021-9010.87.4.687	https://doi.apa.org/doi/10.1037/0021-9010.87.4.687	doi.apa.org	blocked_page	primary_identifier_route	10.1037/0021-9010.87.4.687							http_403_blocked	true	403	text/html	962									not_downloaded_or_not_identity_checked		no_promotion	http_403_blocked	DOI resolver requested with Accept: application/pdf	2026-05-01T04:36:38.715618+00:00
cand_619f326d3e34	sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	crossref_tdm_pdf_metadata	crossref	10.1177/0003122418762441				Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014			10.1177/0003122418762441							metadata_record	primary_identifier_route	10.1177/0003122418762441							ok	false												metadata_only		level4_metadata_candidate	ok	2 pdf candidates	2026-05-01T04:36:38.715618+00:00
cand_e2a1678463a8	sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	crossref_tdm_pdf	crossref	10.1177/0003122418762441				Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014			10.1177/0003122418762441				https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	journals.sagepub.com	blocked_page	primary_identifier_route	10.1177/0003122418762441							http_403_blocked	true	403	text/html; charset=UTF-8	5741									not_downloaded_or_not_identity_checked		no_promotion	http_403_blocked		2026-05-01T04:36:38.715618+00:00
cand_0f01375d5669	sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	crossref_tdm_pdf	crossref	10.1177/0003122418762441				Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014			10.1177/0003122418762441				https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	journals.sagepub.com	blocked_page	primary_identifier_route	10.1177/0003122418762441							http_403_blocked	true	403	text/html; charset=UTF-8	5756									not_downloaded_or_not_identity_checked		no_promotion	http_403_blocked		2026-05-01T04:36:38.715618+00:00
