metric	value
sample_n	300
candidate_rows	865
represented_results_with_candidates	113
below_level5_rows_after_pdf_promotion	106
created_at_utc	2026-05-01T04:36:38.715618+00:00
source_result_level::2	10
source_result_level::4	96
source_result_level::5	106
source_result_level::6	88
route_family::crossref	239
route_family::doi_accept	112
route_family::europepmc	114
route_family::openalex	126
route_family::pubmed	3
route_family::semantic_scholar	128
route_family::unpaywall	143
candidate_object_type::blocked_page	214
candidate_object_type::bot_block	3
candidate_object_type::full_article_pdf	11
candidate_object_type::landing_or_html_page	7
candidate_object_type::metadata_record	588
candidate_object_type::paywall_or_login_page	24
candidate_object_type::unknown_candidate	18
identity_decision::accepted_pdf_identity	11
identity_decision::metadata_only	588
identity_decision::not_downloaded_or_not_identity_checked	266
evidence_scale_candidate::level4_metadata_candidate	568
evidence_scale_candidate::level4_or_blocker_no_source_bytes	31
evidence_scale_candidate::level5_candidate_full_article	11
evidence_scale_candidate::no_promotion	255
