source_result_id	source_id	access_id	source_file_id	support_role	support_locator	support_locator_type	page_number	section_heading	table_number	figure_number	cell_locator	char_start	char_end	xml_xpath	html_css_selector	pdf_bbox	support_verbatim_text	verbatim_snippet_hash	copied_text_allowed_yn	support_confidence	notes
sr_a2792b5f35b5	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	effect_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											0.5631	ba4702e3c35b20eb	unknown	high	
sr_a2792b5f35b5	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	n_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											39.0	379ce184d6c89765	unknown	high	
sr_a2792b5f35b5	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	outcome_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	066f2ae736561c5b	unknown	high	
sr_a2792b5f35b5	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	conversion_input	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											verbatim_effect=0.5631; verbatim_n=39.0; verbatim_p_or_z=0.5631; source_directness=raw_ctgov_registry_row	2cf6c76790bff16a	unknown	high	Transformation input string generated from recovered source cells.
sr_a2792b5f35b5	work_nct_nct01606124	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	selector_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	066f2ae736561c5b	unknown	medium	Pre-registration selector evidence for the represented result.
sr_bc78312ff9c4	src_ying2023pilot	acc_72aa8e244eab	file_4bd4ea10b363	effect_text	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	source_locator											0.48	bc0d5950400d4df7	unknown	medium	
sr_bc78312ff9c4	src_ying2023pilot	acc_72aa8e244eab	file_4bd4ea10b363	n_text	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	source_locator											92	8ee51caaa2c2f4ee	unknown	medium	
sr_bc78312ff9c4	src_ying2023pilot	acc_72aa8e244eab	file_4bd4ea10b363	outcome_text	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	source_locator											Weight-loss maintenance / weight regain	a7320774d4e02cea	unknown	medium	
sr_bc78312ff9c4	src_ying2023pilot	acc_72aa8e244eab	file_4bd4ea10b363	conversion_input	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	source_locator											verbatim_effect=0.48; verbatim_n=92; verbatim_p_or_z=; source_directness=staged_replication_pair_source_row	ad155ad276378d97	unknown	medium	Transformation input string generated from recovered source cells.
sr_bc78312ff9c4	src_ying2023pilot	acc_72aa8e244eab	file_4bd4ea10b363	relationship_evidence	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	source_locator											Weight-loss maintenance / weight regain	a7320774d4e02cea	unknown	medium	Replication relationship asserted by source corpus or package row.
sr_5598a1474491	src_tyner2026	acc_257dfff88ee0	file_c6febbfe2bb3	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											0.3919927969080109	1f156dea3df0adca	unknown	medium	
sr_5598a1474491	src_tyner2026	acc_257dfff88ee0	file_c6febbfe2bb3	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											100.0	6f50807584714e6e	unknown	medium	
sr_5598a1474491	src_tyner2026	acc_257dfff88ee0	file_c6febbfe2bb3	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels	75a321e495ce711e	unknown	medium	
sr_5598a1474491	src_tyner2026	acc_257dfff88ee0	file_c6febbfe2bb3	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=0.3919927969080109; verbatim_n=100.0; verbatim_p_or_z=1.9599639845400545; source_directness=candidate_child_numeric_row	47aeb3082d10fc93	unknown	medium	Transformation input string generated from recovered source cells.
sr_362d2e514afe	src_bosco2020metabus	acc_b2a8ef9c99e9	file_ce33dfbd029d	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											-0.1605144707810256	6f53aa9d801a5b24	unknown	medium	
sr_362d2e514afe	src_bosco2020metabus	acc_b2a8ef9c99e9	file_ce33dfbd029d	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											270.0	8af0d047684e9a4c	unknown	medium	
sr_362d2e514afe	src_bosco2020metabus	acc_b2a8ef9c99e9	file_ce33dfbd029d	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											JAP-79-5-691	e887ebce04bce39f	unknown	medium	
sr_362d2e514afe	src_bosco2020metabus	acc_b2a8ef9c99e9	file_ce33dfbd029d	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=-0.1605144707810256; verbatim_n=270.0; verbatim_p_or_z=-1.3100102452505944; source_directness=candidate_child_numeric_row	28e915aa82157bb1	unknown	medium	Transformation input string generated from recovered source cells.
sr_9800e39769a1	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	effect_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											1.47	ce483e1ed238dea6	unknown	high	
sr_9800e39769a1	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	n_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											482.0	b6323e520b87ab50	unknown	high	
sr_9800e39769a1	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	outcome_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Progression-Free Survival (PFS)	a1f61475d266d68c	unknown	high	
sr_9800e39769a1	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	conversion_input	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											verbatim_effect=1.47; verbatim_n=482.0; verbatim_p_or_z=0.002; source_directness=raw_ctgov_registry_row	856575f89e4492a5	unknown	high	Transformation input string generated from recovered source cells.
sr_9800e39769a1	work_nct_nct00373113	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	selector_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Progression-Free Survival (PFS)	a1f61475d266d68c	unknown	medium	Pre-registration selector evidence for the represented result.
sr_06354aed9477	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	effect_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											0.914	92696fe5d35be90d	unknown	high	
sr_06354aed9477	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	n_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											873.0	a7716f61e78f5eef	unknown	high	
sr_06354aed9477	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	outcome_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Overall Survival (OS)	23d6ada50d7fd54a	unknown	high	
sr_06354aed9477	src_du2024	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	conversion_input	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											verbatim_effect=0.914; verbatim_n=873.0; verbatim_p_or_z=0.1678; source_directness=raw_ctgov_registry_row	46a40a8d17e022cd	unknown	high	Transformation input string generated from recovered source cells.
sr_06354aed9477	work_nct_nct00676650	acc_21c181e8fd7f	file_l5_5f1f18ec23a6	selector_text	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	source_locator											Overall Survival (OS)	23d6ada50d7fd54a	unknown	medium	Pre-registration selector evidence for the represented result.
sr_a182ef5b0da7	src_schaefer2019meaningfulness	acc_f06c7be1da8f	file_e7115dadbbb3	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											0.119145220618431	ad7dd4272b085c5d	unknown	medium	
sr_a182ef5b0da7	src_schaefer2019meaningfulness	acc_f06c7be1da8f	file_e7115dadbbb3	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											53.0	bd3915541688dc40	unknown	medium	
sr_a182ef5b0da7	src_schaefer2019meaningfulness	acc_f06c7be1da8f	file_e7115dadbbb3	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											2016 preregistered key-question effect (schaefer_2019_preg_81)	8631dc938d5b2d3d	unknown	medium	
sr_a182ef5b0da7	src_schaefer2019meaningfulness	acc_f06c7be1da8f	file_e7115dadbbb3	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=0.119145220618431; verbatim_n=53.0; verbatim_p_or_z=; source_directness=candidate_child_numeric_row	9bb61ab4d83e2663	unknown	medium	Transformation input string generated from recovered source cells.
sr_a182ef5b0da7	src_schaefer2019meaningfulness	acc_f06c7be1da8f	file_e7115dadbbb3	selector_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											2016 preregistered key-question effect (schaefer_2019_preg_81)	8631dc938d5b2d3d	unknown	medium	Pre-registration selector evidence for the represented result.
sr_f562e2645cdd	src_yengo2022	acc_bf7a03953cc7	file_bc503d331cea	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											0.02	d59267eca93c1777	unknown	medium	
sr_f562e2645cdd	src_yengo2022	acc_bf7a03953cc7	file_bc503d331cea	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											222.0	bc5fef4013209a24	unknown	medium	
sr_f562e2645cdd	src_yengo2022	acc_bf7a03953cc7	file_bc503d331cea	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population.	adb9f3cccd4a0a4b	unknown	medium	
sr_f562e2645cdd	src_yengo2022	acc_bf7a03953cc7	file_bc503d331cea	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=0.02; verbatim_n=222.0; verbatim_p_or_z=4.493688505235841; source_directness=candidate_child_numeric_row	1431da7cd8bd211b	unknown	medium	Transformation input string generated from recovered source cells.
sr_8486dcbc1804	src_tosh2024	acc_31f42dbf57b1	file_e3085877a8d3	effect_text	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	source_locator											0.53	6ec5f34bf0f1ffc2	unknown	medium	
sr_8486dcbc1804	src_tosh2024	acc_31f42dbf57b1	file_e3085877a8d3	n_text	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	source_locator											30.0	57eb3a49d9ad9aaa	unknown	medium	
sr_8486dcbc1804	src_tosh2024	acc_31f42dbf57b1	file_e3085877a8d3	outcome_text	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	source_locator											Disgust photographs lead to slower discrimination than frightening photographs	53315b338da34332	unknown	medium	
sr_8486dcbc1804	src_tosh2024	acc_31f42dbf57b1	file_e3085877a8d3	conversion_input	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	source_locator											verbatim_effect=0.53; verbatim_n=30.0; verbatim_p_or_z=; source_directness=replication_pair_source_row	74234cc9bc98ea6f	unknown	medium	Transformation input string generated from recovered source cells.
sr_8486dcbc1804	src_tosh2024	acc_31f42dbf57b1	file_e3085877a8d3	relationship_evidence	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	source_locator											Disgust photographs lead to slower discrimination than frightening photographs	53315b338da34332	unknown	medium	Replication relationship asserted by source corpus or package row.
sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	file_cb30561bb868	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											0.3821520694228441	5ac9e5b53c805c20	unknown	medium	
sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	file_cb30561bb868	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											98.0	37f300e22792005c	unknown	medium	
sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	file_cb30561bb868	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution	6367e52fd137dac5	unknown	medium	
sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	file_cb30561bb868	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=0.3821520694228441; verbatim_n=98.0; verbatim_p_or_z=; source_directness=candidate_child_numeric_row	07e197342d3daae7	unknown	medium	Transformation input string generated from recovered source cells.
sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	file_cb30561bb868	relationship_evidence	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution	6367e52fd137dac5	unknown	medium	Replication relationship asserted by source corpus or package row.
sr_c8398f907345	src_du2024	acc_1783c4826f15	file_d74a833b954f	effect_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											-9.4	332a2cffc6a64087	unknown	medium	
sr_c8398f907345	src_du2024	acc_1783c4826f15	file_d74a833b954f	n_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											71.0	ebbb963579b58707	unknown	medium	
sr_c8398f907345	src_du2024	acc_1783c4826f15	file_d74a833b954f	outcome_text	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition	cf2fb4fb3076e7ff	unknown	medium	
sr_c8398f907345	src_du2024	acc_1783c4826f15	file_d74a833b954f	conversion_input	data/derived/corpus_candidates/candidate_d_n_papers.csv	source_locator											verbatim_effect=-9.4; verbatim_n=71.0; verbatim_p_or_z=0.7950232118315611; source_directness=candidate_child_numeric_row	908f88f73f6f5752	unknown	medium	Transformation input string generated from recovered source cells.
