mapping_id	from_source_id	to_source_id	relationship_type	relationship_subtype	mapping_assertion_source_id	mapping_assertion_access_id	mapping_assertion_locator	mapping_assertion_url	mapping_assertion_verbatim_text	mapping_evidence_type	external_relationship_id	external_relationship_url	relationship_date	relationship_updated_at	relationship_timing	prereg_registry_name	prereg_registration_id	prereg_document_type	prereg_primary_outcome_text	prereg_hypothesis_text	replication_kind	replication_target_claim	replication_original_result_id	replication_replicating_result_id	replication_outcome_match	replication_sample_relation	replication_design_relation	collection_role	dedupe_group_id	relationship_confidence	notes
map_6276882de648	src_du2024	work_nct_nct01606124	database_reports_paper_result	trial_registry_record	src_du2024	acc_21c181e8fd7f	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	https://clinicaltrials.gov/study/NCT01606124	label=Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months | source_directness=raw_ctgov_registry_row | effect_or_stat=0.5631 | N_text=39.0 | p_or_z=0.5631 | plotted_D=0.1851860019700711 | plotted_N=39.0 | transform=registry p-value/enrollment to D proxy; raw row recovered with NCT_ID/outcome_title | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT01606124	https://clinicaltrials.gov/study/NCT01606124			not_applicable													sampled_child_result		medium	source_result_id=sr_a2792b5f35b5; Inferred from dot-level parent source family and represented paper/result key.
map_eda0e5f0d257	src_ying2023pilot	work_title_weight_loss_maintenance_weight_regain	corpus_asserts_result_for_paper	pilot_full_scale_pair	src_ying2023pilot	acc_72aa8e244eab	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	https://doi.org/10.1089/acm.2006.6237	label=Weight-loss maintenance / weight regain | source_directness=staged_replication_pair_source_row | effect_or_stat=0.48 | N_text=92 | plotted_D=0.48 | plotted_N=92.0 | transform=d_values_recovered_but_timepoint_model_caveat | source_file=data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	code_or_package_manifest	10.1089/acm.2006.6237	https://doi.org/10.1089/acm.2006.6237			not_applicable													sampled_child_result	ying_2023_pair_017_tat_weight_maintenance	medium	source_result_id=sr_bc78312ff9c4; Inferred from dot-level parent source family and represented paper/result key.
map_3d4e26c24c21	src_tyner2026	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	corpus_asserts_result_for_paper	database_child_result	src_tyner2026	acc_257dfff88ee0	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1016/j.jbusres.2016.03.030	label=Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels | source_directness=candidate_child_numeric_row | effect_or_stat=0.3919927969080109 | N_text=100.0 | p_or_z=1.9599639845400545 | plotted_D=0.3919927969080109 | plotted_N=100.0 | transform=score_free_text_p_value_to_2absz_sqrtN; N: score_free_text_sample_size_parse | source_file=data/raw/corpus_candidates/score/extracted_claims.csv	metadata_field	10.1016/j.jbusres.2016.03.030	https://doi.org/10.1016/j.jbusres.2016.03.030			not_applicable													sampled_child_result		medium	source_result_id=sr_5598a1474491; Inferred from dot-level parent source family and represented paper/result key.
map_1edc8d6cb350	src_bosco2020metabus	work_title_jap_79_5_691	corpus_asserts_result_for_paper	database_child_result	src_bosco2020metabus	acc_b2a8ef9c99e9	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1037//0021-9010.79.5.691	label=JAP-79-5-691 | source_directness=candidate_child_numeric_row | effect_or_stat=-0.1605144707810256 | N_text=270.0 | p_or_z=-1.3100102452505944 | plotted_D=0.1605144707810256 | plotted_N=270.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx	metadata_field		https://doi.org/10.1037//0021-9010.79.5.691			not_applicable													sampled_child_result		medium	source_result_id=sr_362d2e514afe; Inferred from dot-level parent source family and represented paper/result key.
map_7045b46ddf03	src_du2024	work_nct_nct00373113	database_reports_paper_result	trial_registry_record	src_du2024	acc_21c181e8fd7f	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	https://clinicaltrials.gov/study/NCT00373113	label=Progression-Free Survival (PFS) | source_directness=raw_ctgov_registry_row | effect_or_stat=1.47 | N_text=482.0 | p_or_z=0.002 | plotted_D=0.2815124490526931 | plotted_N=482.0 | transform=registry p-value/enrollment to D proxy; raw row recovered with NCT_ID/outcome_title | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT00373113	https://clinicaltrials.gov/study/NCT00373113			not_applicable													sampled_child_result		medium	source_result_id=sr_9800e39769a1; Inferred from dot-level parent source family and represented paper/result key.
map_98871beee7d8	src_du2024	work_nct_nct00676650	database_reports_paper_result	trial_registry_record	src_du2024	acc_21c181e8fd7f	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv; phase-2+ randomized interventional trial with exactly one eligible registered primary two-group outcome; D reconstructed from registry p-value and enrollment	https://clinicaltrials.gov/study/NCT00676650	label=Overall Survival (OS) | source_directness=raw_ctgov_registry_row | effect_or_stat=0.914 | N_text=873.0 | p_or_z=0.1678 | plotted_D=0.0933649643798547 | plotted_N=873.0 | transform=registry p-value/enrollment to D proxy; raw row recovered with NCT_ID/outcome_title | source_file=data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	metadata_field	NCT00676650	https://clinicaltrials.gov/study/NCT00676650			not_applicable													sampled_child_result		medium	source_result_id=sr_06354aed9477; Inferred from dot-level parent source family and represented paper/result key.
map_cd2ff3701f86	src_schaefer2019meaningfulness	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	corpus_asserts_result_for_paper	database_child_result	src_schaefer2019meaningfulness	acc_f06c7be1da8f	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.3389/fpsyg.2016.01155	label=2016 preregistered key-question effect (schaefer_2019_preg_81) | source_directness=candidate_child_numeric_row | effect_or_stat=0.119145220618431 | N_text=53.0 | plotted_D=0.2400000000000007 | plotted_N=53.0 | transform=reported_or_derived_r_total_to_d; N: reported_n | source_file=data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx	metadata_field		https://doi.org/10.3389/fpsyg.2016.01155			not_applicable													sampled_child_result		medium	source_result_id=sr_a182ef5b0da7; Inferred from dot-level parent source family and represented paper/result key.
map_590586c563c2	src_yengo2022	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	corpus_asserts_result_for_paper	database_child_result	src_yengo2022	acc_bf7a03953cc7	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://pubmed.ncbi.nlm.nih.gov/35013560/	label=Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population. | source_directness=candidate_child_numeric_row | effect_or_stat=0.02 | N_text=222.0 | p_or_z=4.493688505235841 | plotted_D=0.6729754887154857 | plotted_N=206.5 | transform=two_sided_p_to_absz_to_2absz_sqrtN; N: sum_initial_sample_size_counts | source_file=data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	metadata_field		https://pubmed.ncbi.nlm.nih.gov/35013560/			not_applicable													sampled_child_result		medium	source_result_id=sr_f562e2645cdd; Inferred from dot-level parent source family and represented paper/result key.
map_362e45dfeda7	src_tosh2024	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	corpus_asserts_result_for_paper	direct_replication	src_tosh2024	acc_31f42dbf57b1	data/derived/replication_pairs/replication_pairs_all_on_hand.csv	https://doi.org/10.1080/02699931.2017.1394817	label=Disgust photographs lead to slower discrimination than frightening photographs | source_directness=replication_pair_source_row | effect_or_stat=0.53 | N_text=30.0 | plotted_D=0.53 | plotted_N=30.0 | transform=replication-pair D/N imported from integrated replication pair source row | source_file=data/raw/replication_projects/fred/FReD.xlsx	code_or_package_manifest	10.1080/02699931.2017.1394817	https://doi.org/10.1080/02699931.2017.1394817			not_applicable													sampled_child_result	fred_av_147_1786	medium	source_result_id=sr_8486dcbc1804; Inferred from dot-level parent source family and represented paper/result key.
map_264da0cbd04c	src_internalplot2replicationpairoriginalsbridge	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	corpus_asserts_result_for_paper	direct_replication	src_internalplot2replicationpairoriginalsbridge	acc_e144aa086fbd	data/derived/corpus_candidates/candidate_d_n_papers.csv	https://doi.org/10.1371/journal.pone.0121537	label=Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution | source_directness=candidate_child_numeric_row | effect_or_stat=0.3821520694228441 | N_text=98.0 | plotted_D=0.3821520694228441 | plotted_N=98.0 | transform=plot1_original_D; N: plot1_original_N | source_file=data/derived/replication_pairs/replication_pairs_figure2_rule_subset.csv	metadata_field	10.1371/journal.pone.0121537	https://doi.org/10.1371/journal.pone.0121537			not_applicable													sampled_child_result	published::replication_pair_originals_bridge::DOI:10.1371/journal.pone.0121537	medium	source_result_id=sr_3dcf8949d2f9; Inferred from dot-level parent source family and represented paper/result key.
