mapping_id	source_result_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_6276882de648	sr_a2792b5f35b5	src_du2024	work_nct_nct01606124	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_eda0e5f0d257	sr_bc78312ff9c4	src_ying2023pilot	work_title_weight_loss_maintenance_weight_regain	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_3d4e26c24c21	sr_5598a1474491	src_tyner2026	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_1edc8d6cb350	sr_362d2e514afe	src_bosco2020metabus	work_title_jap_79_5_691	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_7045b46ddf03	sr_9800e39769a1	src_du2024	work_nct_nct00373113	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_98871beee7d8	sr_06354aed9477	src_du2024	work_nct_nct00676650	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_cd2ff3701f86	sr_a182ef5b0da7	src_schaefer2019meaningfulness	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_590586c563c2	sr_f562e2645cdd	src_yengo2022	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_362e45dfeda7	sr_8486dcbc1804	src_tosh2024	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_264da0cbd04c	sr_3dcf8949d2f9	src_internalplot2replicationpairoriginalsbridge	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_46e420ccdf3c	sr_c8398f907345	src_du2024	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_8949689e0fbe	sr_7a1e8bbfd877	src_du2024	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_cd18228e6926	sr_60360366c47c	src_zhang2025clinifact	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_7d6ec7c7acae	sr_8d7eceba3893	src_bosco2020metabus	work_title_jap_82_1_89	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_acd4faabf8ae	sr_266b83deab6b	src_masur2025privacy	work_doi_10_1093_joc_jqaf007	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_7025ef42449f	sr_32e8f46f1c24	src_woodhoyprykechinaaiddataverse	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_948461ec0e77	sr_57e119b02525	src_tosh2024	work_doi_10_1073_pnas_2103313118	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_d2a7150069a4	sr_ceddf70c38b1	src_du2024	work_title_percent_change_in_worst_pain_score	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_c408283a698d	sr_acfd28ade498	src_yengo2022	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_c9d69fe2f055	sr_995bd3c3900a	src_tyner2026	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_6ef91148e7f4	sr_e567a2ed8bf8	src_yengo2022	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_ce55cb58a3f7	sr_147c4fd5d62f	src_du2024	work_title_antipsychotic_efficacy	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_10909df44049	sr_a3c89d628df7	src_yengo2022	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_e4906012518d	sr_07eb16a91055	src_button2013	work_title_etminan_72	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
map_681b25176fcd	sr_418e6ec7b4d3	src_yengo2022	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	extraction_source_reports_result_for_represented_source	medium	Inferred from dot-level parent source family and represented paper/result key.
