source_version_id	source_id	version_label	version_number	version_date	version_source	is_version_of_source_id	is_version_of_identifier	is_version_of_record	preprint_version_yn	accepted_manuscript_yn	published_vor_yn	registry_version_yn	repository_version_yn	correction_or_update_type	superseded_by_source_version_id	version_evidence_file_id	version_evidence_text
ver_e69716167876	src_du2024	dataset			source_access_inferred			false	false	false	false	false	true				
ver_c2195b7490f3	work_nct_nct01606124	unknown			pilot_unknown		NCT01606124	false	false	false	false	false	false				
ver_50ced72ab8cb	src_ying2023pilot	dataset			source_access_inferred			false	false	false	false	false	true				
ver_1dd8fcf2533b	work_title_weight_loss_maintenance_weight_regain	unknown			pilot_unknown		10.1089/acm.2006.6237	false	false	false	false	false	false				
ver_57be32232cc2	src_tyner2026	dataset			source_access_inferred			false	false	false	false	false	true				
ver_b9bf5419a806	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	unknown			pilot_unknown		10.1016/j.jbusres.2016.03.030	false	false	false	false	false	false				
ver_438050ee885c	src_bosco2020metabus	dataset			source_access_inferred			false	false	false	false	false	true				
ver_808cd9ceed1b	work_title_jap_79_5_691	unknown			pilot_unknown			false	false	false	false	false	false				
ver_9d3b7204eee6	work_nct_nct00373113	unknown			pilot_unknown		NCT00373113	false	false	false	false	false	false				
ver_a77a2541f1a5	work_nct_nct00676650	unknown			pilot_unknown		NCT00676650	false	false	false	false	false	false				
ver_d0e41c7f57c9	src_schaefer2019meaningfulness	dataset			source_access_inferred			false	false	false	false	false	true				
ver_24abe886245d	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	unknown			pilot_unknown			false	false	false	false	false	false				
ver_60a4b2a4946a	src_yengo2022	dataset			source_access_inferred			false	false	false	false	false	true				
ver_bd116069964e	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	unknown			pilot_unknown			false	false	false	false	false	false				
ver_8db73542b949	src_tosh2024	dataset			source_access_inferred			false	false	false	false	false	true				
ver_935a93d9f858	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	unknown			pilot_unknown		10.1080/02699931.2017.1394817	false	false	false	false	false	false				
ver_d54d90ac266a	src_internalplot2replicationpairoriginalsbridge	dataset			source_access_inferred			false	false	false	false	false	true				
ver_1bf7f3d9c5e6	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	unknown			pilot_unknown		10.1371/journal.pone.0121537	false	false	false	false	false	false				
ver_2985876dcf98	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	unknown			pilot_unknown		NCT03527173	false	false	false	false	false	false				
ver_fa15445a9885	work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	unknown			pilot_unknown		NCT00866658	false	false	false	false	false	false				
ver_0deb75721618	src_zhang2025clinifact	dataset			source_access_inferred			false	false	false	false	false	true				
ver_9767d96050f8	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	unknown			pilot_unknown		NCT00511342	false	false	false	false	false	false				
ver_34c250fb0fe0	work_title_jap_82_1_89	unknown			pilot_unknown			false	false	false	false	false	false				
ver_4f84da923e2c	src_masur2025privacy	dataset			source_access_inferred			false	false	false	false	false	true				
ver_45c92a4b14e6	work_doi_10_1093_joc_jqaf007	unknown			pilot_unknown		10.1093/joc/jqaf007	false	false	false	false	false	false				
ver_b0dc133a917b	src_woodhoyprykechinaaiddataverse	supplement			source_access_inferred			false	false	false	false	false	true				
ver_68769e7584db	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	unknown			pilot_unknown		5055	false	false	false	false	false	false				
ver_c4aa649bff9c	work_doi_10_1073_pnas_2103313118	unknown			pilot_unknown		10.1073/pnas.2103313118	false	false	false	false	false	false				
ver_109d6fc30675	work_title_percent_change_in_worst_pain_score	unknown			pilot_unknown		NCT00457730	false	false	false	false	false	false				
ver_5ae8f018b00a	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	unknown			pilot_unknown			false	false	false	false	false	false				
ver_8b795475a78e	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	unknown			pilot_unknown		10.1037/pspp0000165	false	false	false	false	false	false				
ver_91b6c6366e2d	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	unknown			pilot_unknown			false	false	false	false	false	false				
ver_edca78f020e5	work_title_antipsychotic_efficacy	unknown			pilot_unknown		NCT02035553	false	false	false	false	false	false				
ver_5e060e8b993c	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	unknown			pilot_unknown			false	false	false	false	false	false				
ver_9c5306f856e1	src_button2013	dataset			source_access_inferred			false	false	false	false	false	true				
ver_b181f8a4e5d6	work_title_etminan_72	unknown			pilot_unknown			false	false	false	false	false	false				
ver_08af8b918327	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	unknown			pilot_unknown			false	false	false	false	false	false				
ver_db59e4ef588d	work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	unknown			pilot_unknown		10.1037/0022-3514.95.2.420	false	false	false	false	false	false				
ver_abfa29751b6c	work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	unknown			pilot_unknown			false	false	false	false	false	false				
ver_696fb7dc9ed8	work_title_morphine_milligram_equivalents_mme	unknown			pilot_unknown		NCT02887989	false	false	false	false	false	false				
ver_7c7e67e4a7f2	src_motyl2017state	dataset			source_access_inferred			false	false	false	false	false	true				
ver_78dad6cc740c	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	unknown			pilot_unknown			false	false	false	false	false	false				
ver_1f0941250cd0	work_title_period_1_endoscopic_remission	unknown			pilot_unknown		NCT01903252	false	false	false	false	false	false				
ver_6a0df5c302b4	work_plot2_metabus_open_bosco_jap_84_3_445_3761	unknown			pilot_unknown			false	false	false	false	false	false				
ver_e7aa816c04b5	work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	unknown			pilot_unknown			false	false	false	false	false	false				
ver_664feeb0185b	work_title_schaefer_2019_np_soc_079	unknown			pilot_unknown			false	false	false	false	false	false				
ver_ab7d85f5358b	work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	unknown			pilot_unknown			false	false	false	false	false	false				
ver_a2a2cec55c30	work_title_jap_87_1_185	unknown			pilot_unknown			false	false	false	false	false	false				
ver_19276fce17ff	work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	unknown			pilot_unknown		NCT00793624	false	false	false	false	false	false				
ver_821f9a1d69fc	work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	unknown			pilot_unknown		NCT02561806	false	false	false	false	false	false				
ver_c381e0e797e0	work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	unknown			pilot_unknown			false	false	false	false	false	false				
ver_eb3b59934c64	work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	unknown			pilot_unknown		NCT01391468	false	false	false	false	false	false				
ver_7982d5bef7fb	work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	unknown			pilot_unknown			false	false	false	false	false	false				
ver_95ac4472f8d8	work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	unknown			pilot_unknown		NCT00422084	false	false	false	false	false	false				
ver_802bfe8edf8c	work_title_narcotic_use	unknown			pilot_unknown		NCT01163214	false	false	false	false	false	false				
ver_a06fc6bd48e9	work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	unknown			pilot_unknown		NCT00529399	false	false	false	false	false	false				
ver_18604f8a2f77	src_bergmann2018metalab	dataset			source_access_inferred			false	false	false	false	false	true				
ver_a52f398a316b	work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	unknown			pilot_unknown			false	false	false	false	false	false				
ver_349191a93d56	work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	unknown			pilot_unknown		NCT02398188	false	false	false	false	false	false				
ver_4107c1c21a8d	work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	unknown			pilot_unknown			false	false	false	false	false	false				
ver_0c6b81d2b3a2	work_title_schaefer_2019_np_cli_064	unknown			pilot_unknown			false	false	false	false	false	false				
ver_27473834f33a	src_kuhberger2014publicationbias	dataset			source_access_inferred			false	false	false	false	false	true				
ver_32a674078af5	work_title_kuhberger_669	unknown			pilot_unknown		10.1371/journal.pone.0105825	false	false	false	false	false	false				
ver_ceb6f5c6bce9	work_nct_nct02473289	unknown			pilot_unknown		NCT02473289	false	false	false	false	false	false				
ver_815bdbcf97c8	work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	unknown			pilot_unknown			false	false	false	false	false	false				
ver_d4b88b460b2b	work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	unknown			pilot_unknown		10.1111/j.1467-8624.2011.01580.x	false	false	false	false	false	false				
ver_0748292d277a	work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	unknown			pilot_unknown		10.1037/lhb0000029	false	false	false	false	false	false				
ver_1f6cc607e7a6	src_errington2021	dataset			source_access_inferred			false	false	false	false	false	true				
ver_f7dcc58f90af	work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	unknown			pilot_unknown			false	false	false	false	false	false				
