queue_id	source_result_id	represented_source_id	source_type	current_evidence_level	target_acquisition_state	value_verification_state	source_is_original	number_verified_by_us	doi	pmid	title	result_label	outcome_label	d	standardized_n	next_bucket	tail_problem_family	identity_problem_type	rank	requires_identity_work_yn	acquisition_ready_yn	requires_manual_capture_yn	parsed_journal_abbrev	parsed_volume	parsed_issue	parsed_first_page	parsed_effect_id	suggested_routes	primary_next_action	stop_condition	failed_public_routes_seen	manual_route_type	queue_created_at	queue_status	notes
tailq_01_sr_9ff92c0aba20	sr_9ff92c0aba20	work_plot2_metabus_open_bosco_jap_66_3_371_3048	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_jap_66_3_371_3048	plot2::JAP-66-3-371	plot2::JAP-66-3-371	0.3034330424545041	301.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	66	3	371	3048	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.30343304245450414 | N_text=301.0 | p_or_z=2.609088451886872 | plotted_D=0.3034330424545041 | plotted_N=301.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_5cfe7da2c521	sr_5cfe7da2c521	work_plot2_metabus_open_bosco_jap_66_6_706_3063	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_jap_66_6_706_3063	plot2::JAP-66-6-706	plot2::JAP-66-6-706	0.5075985918974905	96.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	66	6	706	3063	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.5075985918974905 | N_text=96.0 | p_or_z=2.4220093081096943 | plotted_D=0.5075985918974905 | plotted_N=96.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_21fe810427f5	sr_21fe810427f5	work_plot2_metabus_open_bosco_jap_77_4_453_3437	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_jap_77_4_453_3437	plot2::JAP-77-4-453	plot2::JAP-77-4-453	0.472672040177118	1491.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	77	4	453	3437	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.472672040177118 | N_text=1491.0 | p_or_z=9.033765717322009 | plotted_D=0.472672040177118 | plotted_N=1491.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_8ad55815e5fc	sr_8ad55815e5fc	work_plot2_metabus_open_bosco_jap_79_4_535_3532	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_jap_79_4_535_3532	plot2::JAP-79-4-535	plot2::JAP-79-4-535	0.2829616242984286	148.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	79	4	535	3532	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.1605144707810256 | N_text=148.0 | p_or_z=0.9653905929472351 | plotted_D=0.2829616242984286 | plotted_N=148.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_3a4c25fbf576	sr_3a4c25fbf576	work_plot2_metabus_open_bosco_pp_45_4_807_4702	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_pp_45_4_807_4702	plot2::PP-45-4-807	plot2::PP-45-4-807	0.5726843407637365	240.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	PP	45	4	807	4702	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:unknown_or_non_article_bytes; core_fulltext_url:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.7230769971004929 | N_text=240.0 | p_or_z=5.451185193960101 | plotted_D=0.5726843407637365 | plotted_N=240.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_6c8fbd0ac45b	sr_6c8fbd0ac45b	work_plot2_metabus_open_bosco_pp_53_1_153_4827	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_pp_53_1_153_4827	plot2::PP-53-1-153	plot2::PP-53-1-153	0.472672040177118	461.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	PP	53	1	153	4827	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.472672040177118 | N_text=461.0 | p_or_z=5.0118734525319715 | plotted_D=0.472672040177118 | plotted_N=461.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_be6f969d81a7	sr_be6f969d81a7	work_plot2_metabus_open_bosco_pp_54_3_669_4855	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_pp_54_3_669_4855	plot2::PP-54-3-669	plot2::PP-54-3-669	0.4944513860581975	120.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	PP	54	3	669	4855	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:unknown_or_non_article_bytes		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.4944513860581975 | N_text=120.0 | p_or_z=2.647636842298488 | plotted_D=0.4944513860581975 | plotted_N=120.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_1c71871780ff	sr_1c71871780ff	work_plot2_metabus_open_bosco_pp_63_2_439_4994	other	4	target_located	corpus_assertion_only	false	false			work_plot2_metabus_open_bosco_pp_63_2_439_4994	plot2::PP-63-2-439	plot2::PP-63-2-439	0.1605144707810256	668.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	PP	63	2	439	4994	local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:unknown_or_non_article_bytes; openalex_location_url:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label= | source_directness=candidate_child_numeric_row | effect_or_stat=0.1605144707810256 | N_text=668.0 | p_or_z=2.067425573813505 | plotted_D=0.1605144707810256 | plotted_N=668.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_c4f5b565a745	sr_c4f5b565a745	work_title_jap_67_1_119	paper	4	target_located	corpus_assertion_only	false	false			JAP-67-1-119	JAP-67-1-119	JAP-67-1-119	0.472672040177118	55.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	67	1	119		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-67-1-119 | source_directness=candidate_child_numeric_row | effect_or_stat=-0.472672040177118 | N_text=55.0 | p_or_z=-1.6887642611489329 | plotted_D=0.472672040177118 | plotted_N=55.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
tailq_01_sr_f322cf6db3fd	sr_f322cf6db3fd	work_title_jap_69_2_214	paper	4	target_located	corpus_assertion_only	false	false			JAP-69-2-214	JAP-69-2-214	JAP-69-2-214	1.1092584329314503	78.0	needs_metabus_or_shorthand_crosswalk	identity_blocked	metabus_or_shorthand_citation	1	true	false	false	JAP	69	2	214		local_metabus_metadata; crossref_bibliographic_query; openalex_source_query; publisher_toc_manual_review	Parse shorthand citation, resolve journal/volume/issue/page to DOI or stable article identity.	Promote only after unambiguous represented article identity, or mark ambiguous/manual identity review.	crossref_fulltext_link:http_403_blocked		2026-05-01T18:12:19.315598+00:00	open	human_check_text=label=JAP-69-2-214 | source_directness=candidate_child_numeric_row | effect_or_stat=-1.3518527388387496 | N_text=78.0 | p_or_z=-5.480496160103023 | plotted_D=1.1092584329314503 | plotted_N=78.0 | transform=pearson_r_to_d; N: article_median_reported_matrix_N | source_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file=data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx; recovered_raw_file_sha256=6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b
