source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	candidate_relation_type	candidate_title	primary_doi	failure_code	download_attempted
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	zotero_desktop_save_items	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1093/joc/jqaf007		201	application/json	0	metadata_only			not_accepted	zotero_desktop_no_full_text	0.0	10.1093/joc/jqaf007	metadata_only	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	10.1093/joc/jqaf007	zotero_desktop_no_full_text	false
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	zotero_translation_web	zotero	http://127.0.0.1:1969	zotero_auto_20260501T172213Z	https://doi.org/10.1093/joc/jqaf007		ok	application/json	0	metadata_only			not_accepted	translation_web_metadata_only:ok	0.0	10.1093/joc/jqaf007	metadata_only	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	10.1093/joc/jqaf007	translation_web_metadata_only:ok	false
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	zotero_desktop_save_page	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1093/joc/jqaf007		http_403	application/json	0	metadata_only			not_accepted	landing_fetch_http_403	0.0	10.1093/joc/jqaf007	metadata_only	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	10.1093/joc/jqaf007	landing_fetch_http_403	false
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	zotero_desktop_save_items	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1177/0003122418762441		201	application/json	0	metadata_only			not_accepted	zotero_desktop_no_full_text	0.0	10.1177/0003122418762441	metadata_only	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	zotero_desktop_no_full_text	false
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	zotero_translation_web	zotero	http://127.0.0.1:1969	zotero_auto_20260501T172213Z	https://doi.org/10.1177/0003122418762441		ok	application/json	0	metadata_only			not_accepted	translation_web_metadata_only:ok	0.0	10.1177/0003122418762441	metadata_only	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	translation_web_metadata_only:ok	false
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	zotero_desktop_save_page	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1177/0003122418762441		http_403	application/json	0	metadata_only			not_accepted	landing_fetch_http_403	0.0	10.1177/0003122418762441	metadata_only	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	landing_fetch_http_403	false
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	zotero_desktop_save_items	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1177/247553031600100201	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/data/cache/manual_acquisition/zotero_desktop_bulk/zotero_auto_20260501T172213Z/sr_df148fcf0ce2/ABI6LCHZ_Masur and Ranzini - 2026 - Privacy calculus, privacy paradox, and context collapse A replication of three key studies in commu.pdf	local_file	application/pdf	2124849	full_article_pdf		87bb44131cfbc50bb5039fb3f257bf50a70e48b7cfdd9679f56e1184a11215bf	reject_wrong_doi	candidate text DOI(s) ['10.1093/joc/jqaf007'] do not include primary DOI 10.1177/247553031600100201	0.1	10.1177/247553031600100201	zotero_desktop_attachment	Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	10.1177/247553031600100201	zotero_identity_failed	true
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	zotero_translation_web	zotero	http://127.0.0.1:1969	zotero_auto_20260501T172213Z	https://doi.org/10.1177/247553031600100201		ok	application/json	0	metadata_only			not_accepted	translation_web_metadata_only:ok	0.0	10.1177/247553031600100201	metadata_only	Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	10.1177/247553031600100201	translation_web_metadata_only:ok	false
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	zotero_desktop_save_page	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1177/247553031600100201		http_403	application/json	0	metadata_only			not_accepted	landing_fetch_http_403	0.0	10.1177/247553031600100201	metadata_only	Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	10.1177/247553031600100201	landing_fetch_http_403	false
sr_a9a7d2fcc0d6	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	zotero_desktop_save_items	zotero	http://127.0.0.1:23119	zotero_auto_20260501T172213Z	https://doi.org/10.1111/ajps.12164		201	application/json	0	metadata_only			not_accepted	zotero_desktop_no_full_text	0.0	10.1111/ajps.12164	metadata_only	Explaining Explanations: How Legislators Explain Their Policy Positions And How Citizens React	10.1111/ajps.12164	zotero_desktop_no_full_text	false
