source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	candidate_relation_type	candidate_title	primary_doi	failure_code	download_attempted
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/ABI6LCHZ/Masur and Ranzini - 2026 - Privacy calculus, privacy paradox, and context collapse A replication of three key studies in commu.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/ABI6LCHZ/Masur and Ranzini - 2026 - Privacy calculus, privacy paradox, and context collapse A replication of three key studies in commu.pdf	local_file	application/pdf	2124849	full_article_pdf	data/cache/full_article_text_acquisition/sample_300/sr_266b83deab6b__zotero_storage_reingest__c2420a86a334.pdf	87bb44131cfbc50bb5039fb3f257bf50a70e48b7cfdd9679f56e1184a11215bf	accepted_full_article_text	primary DOI appears in candidate text	1.0	10.1093/joc/jqaf007	zotero_late_attachment	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	10.1093/joc/jqaf007		true
sr_266b83deab6b	work_doi_10_1093_joc_jqaf007	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1093/joc/jqaf007	0.0	10.1093/joc/jqaf007	zotero_late_attachment	Privacy calculus/privacy paradox/context collapse replication (Vitak model)	10.1093/joc/jqaf007	zotero_storage_identity_failed	true
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1177/0003122418762441	0.25	10.1177/0003122418762441	zotero_late_attachment	Wage Stagnation And Buyer Power: How Buyer-Supplier Relations Affect U.s. Workers’ Wages, 1978 To 2014	10.1177/0003122418762441	zotero_storage_identity_failed	true
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1177/247553031600100201	0.0	10.1177/247553031600100201	zotero_late_attachment	Phase 3 psoriatic_arthritis trial: Brodalumab 140 mg + csDMARD versus Brodalumab Placebo + csDMARD	10.1177/247553031600100201	zotero_storage_identity_failed	true
sr_a9a7d2fcc0d6	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1111/ajps.12164	0.0	10.1111/ajps.12164	zotero_late_attachment	Explaining Explanations: How Legislators Explain Their Policy Positions And How Citizens React	10.1111/ajps.12164	zotero_storage_identity_failed	true
sr_ea908acbfb0c	work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1093/sf/sou088	0.133	10.1093/sf/sou088	zotero_late_attachment	Ethnic Diversity, Economic And Cultural Contexts, And Social Trust: Cross-Sectional And Longitudinal Evidence From European Regions, 2002–2010	10.1093/sf/sou088	zotero_storage_identity_failed	true
sr_b7cb57c5cb78	work_title_investigating_technology_enhanced_teacher_professional_development	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.3102/0013189x16644602	0.091	10.3102/0013189x16644602	zotero_late_attachment	Investigating Technology-Enhanced Teacher Professional Development In Rural, High-Poverty Middle Schools	10.3102/0013189x16644602	zotero_storage_identity_failed	true
sr_8144e362ed8b	work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1086/658469	0.111	10.1086/658469	zotero_late_attachment	When Your World Must Be Defended: Choosing Products To Justify The System	10.1086/658469	zotero_storage_identity_failed	true
sr_2eb0fc250a2a	work_title_violent_offending_and_victimization_in_adolescence_social_network	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1111/1745-9125.12112	0.0	10.1111/1745-9125.12112	zotero_late_attachment	Violent Offending And Victimization In Adolescence: Social Network Mechanisms And Homophily*	10.1111/1745-9125.12112	zotero_storage_identity_failed	true
sr_505408ec5cfe	work_title_gottfredson_g_d_jones_e_m_holland_j_l_1993_personality_and_vocatio	zotero_storage_reingest	zotero		zotero_storage_reingest_20260501T172619Z	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	/media/skynet3/8tb_a1/rwd_github_private/PublishedSmallNStudiesDon-tMatter/.local/zotero-oa-data/storage/GENS78DC/Musto et al. - 2018 - Notes on Bonds Illiquidity Feedback During the Financial Crisis.pdf	local_file	application/pdf	865382	full_article_pdf		c9709f21dc9fc163761810facc4f7d1d6a41281f3d0f4ffe52429fd6c4c73299	reject_wrong_doi	candidate text DOI(s) ['10.1093/rfs/hhy022'] do not include primary DOI 10.1037/0022-0167.40.4.518	0.111	10.1037/0022-0167.40.4.518	zotero_late_attachment	Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.	10.1037/0022-0167.40.4.518	zotero_storage_identity_failed	true
