Trial Info,,,,,,,,,,,,,
Week,1,,,,,,,,,,,,
Study ID,Trial 10,,,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,,,
Trial Title,Neurodevelopmental outcome at 2 years of age after GA or awake-regional anaesthesia in infancy,,,,,,,,,,,,
Trial Link,http://www.sciencedirect.com/science/article/pii/S014067361500608X,,,,,,,,,,,,
Publication date,04/11/2015,,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/NCT00756600?term=NCT00756600.&rank=1,,,,,,,,,,,,
Registry ID,NCT00756600,,,,,,,,,,,,
"Protocol link, if available",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified,
1,the Wechsler Preschool and Primary Scale of Intelligence-Third Edition (WPPSI-III)full scale IQ score. [ Time Frame: At 5 years corrected age ] [ Designated as safety issue: No ],,,,,,,No,No,,Yes,,explained in abstract that it isn't included as not 5 year follow-up yet
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,0,,,,,,TOTALS,0,,,,,
,,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified,
1,Bayley neurodevelopmental scale at 2 years,,,,,,,No,No,,,Yes,
2,Frequency of apnea in the post-operative period,,,,,,,No,,,Yes,,
3,Characteristics of apnea in the post-operative period,,,,,,,No,,,Yes,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,3,,,,,,TOTALS,0,0,,2,1,
,,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-prespecified,,
1,MacArthur Bates Percentile Score,,,,,,,No,,,Yes,,
2,Cognitive scaled score,,,,,,,No,,,Yes,,
3,Cognitive composite score,,,,,,,No,,,Yes,,
4,Receptive language scaled score,,,,,,,No,,,Yes,,
5,expressive language scaled score,,,,,,,No,,,Yes,,
6,Composite language score,,,,,,,No,,,Yes,,
7,Fine Motor scaled Score,,,,,,,No,,,Yes,,
8,Gross motor scale score,,,,,,,No,,,Yes,,
9,composite motor score,,,,,,,No,,,Yes,,
10,social emotional composite score,,,,,,,No,,,Yes,,
11,social emotional scaled score,,,,,,,No,,,Yes,,
12,communication scaled score,,,,,,,No,,,Yes,,
13,community use scaled score,,,,,,,No,,,Yes,,
14,functional pre-academics scaled score,,,,,,,No,,,Yes,,
15,Home living scaled score,,,,,,,No,,,Yes,,
16,Leisure scaled score,,,,,,,No,,,Yes,,
17,Self care scaled score,,,,,,,No,,,Yes,,
18,Self direction scaled score,,,,,,,No,,,Yes,,
19,social scaled score,,,,,,,No,,,Yes,,
20,motor scaled score,,,,,,,No,,,Yes,,
21,adaptive behaviour composite score,,,,,,,No,,,Yes,,
22,conductive hearing defect,,,,,,,No,,,Yes,,
23,sensorineural hearing defect,,,,,,,No,,,Yes,,
24,legally blind in both eyes,,,,,,,No,,,Yes,,
25,cerebral palsy,,,,,,,No,,,Yes,,
26,autism spectrum disorder,,,,,,,No,,,Yes,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
Total,26,,,,,,TOTALS,0,,,26,,
,,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,,
Trial was registered after the trial start date,,,,,,,,,,,,,
"Free text in the report suggests that secondary outcomes and analyses were pre-specified in much more detail in the trial protocol. The protocol does not appear to be available online. However, this should be kept in mind when submitting a letter on this trial.",,,,,,,,,,,,,
