Trial Info,,,,,,,,,,,
Week,26/10/2015,,,,,,,,,,
Study ID,19A - SET trial,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,
Trial Title,"Tasimelteon for non-24-hour sleepâwake disorder in totally blind people (SET and RESET): two multicentre, randomised, double-masked, placebo-controlled phase 3 trials",,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60031-9/abstract,,,,,,,,,,
Publication date,October 31 2015 (Published online August 5 2015),,,,,,,,,,
Registry link,https://clinicaltrials.gov/show/NCT01163032,,,,,,,,,,
Registry ID,NCT01163032,,,,,,,,,,
"Protocol link, if available",Not available,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Subjective average total night time sleep [Â TimeÂ Frame:Â Weeks 3-6Â ],,,,,,,No,No,No,Yes
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,0,0,0,1
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication
1,Subjective average total daytime sleep [Â TimeÂ Frame:Â Weeks 3-6 and 23-26Â ] ,,,,,,,No,No,No,Yes
2,Subjective average total night time sleep [Â TimeÂ Frame:Â Weeks 23-26Â ] ,,,,,,,No,No,No,Yes
3,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,No,No,No,Yes
4,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,,,,Yes
5,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,,,,Yes
6,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,,,,Yes
7,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,,,,Yes
8,"Clinical Global Impression of Change [Â TimeÂ Frame:Â Months 2, 4, 6, 9, 11, and 12 of treatmentÂ ] ",,,,,,,,,,Yes
9,"Stabilization of phase relationship between circadian melatonin rhythm and the timing of sleep [Â TimeÂ Frame:Â Weeks 4, 6, and 24Â ]",,,,,,,No,No,No,Yes
10,"Stabilization of phase relationship between circadian melatonin rhythm and the timing of sleep [Â TimeÂ Frame:Â Weeks 4, 6, and 24Â ]",,,,,,,,,,Yes
11,"Stabilization of phase relationship between circadian melatonin rhythm and the timing of sleep [Â TimeÂ Frame:Â Weeks 4, 6, and 24Â ]",,,,,,,,,,Yes
12,"Safety and tolerability using the recording of adverse events (AEs), clinical laboratory evaluations including endocrine hormones, vital signs, and electrocardiograms(ECGs).Â Frame:Â 12 monthsÂ ]",,,,,,,No,No,Yes,No
13,Withdrawal [ Time Frame: 2 weeks ] Assesment of withdrawal will be measured by the Benzodiazepine Withdrawal Symptom Questionnaire (BWSQ),,,,,,,No,No,Yes,No
14,Post-treatment effect [ Time Frame: 3 Days ] Subjective sleep questionnaires administered upon treatment cessation will be used to assess Post-treatment Effect.,,,,,,,No,No,No,Yes
15,Suicidal behaviour and ideation assessed using The Columbia Suicide Severity Rating Scale (C-SSRS),,,,,,,No,No,Yes,No
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,15,,,,,,TOTALS,0,0,3,12
,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not reported as non-pre-specified
1,Proportion of entrained patients measured using aMT6s rhythms starting from day 14 [Month 1],,,,,,,No,,,Unclear
2,Proportion of patients showing a clinical response defined as being entrained at month 1 or month 7 plus a score of 3 or more on N24CRS,,,,,,,No,,,Yes
3,Proportion of entrained patients measured using cortisol rhythms starting from day 14 [Month 1],,,,,,,No,,,Yes
4,"The efficacy of tasimelteon in improving subjective nighttime total sleep time (nTST), as assessed by the change from screening in the average of LQ-nTST",,,,,,,No,,,Yes
5,"The efficacy of tasimelteon in reducing subjective daytime total sleep duration (dTSD), as assessed by the change from screening in the average of UQ-dTSD",,,,,,,No,,,Yes
6,The efficacy of tasimelteon as measured by the change from the screening in MoST,,,,,,,No,,,Yes
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,6,,,,,,TOTALS,0,,,6
,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,
See summary of analysis in Trial 19 folder,,,,,,,,,,,
There was a switching of primary outcome during the trail which is specifically referenced in the paper,,,,,,,,,,,
All but one of the switches in pre-specified outcome can be clearly seen in the trial registry,,,,,,,,,,,
"There are an additional 6 secondary outcomes reported in the Appendix that were not pre-specified and are not reported in the paper itself, nor highlighted as being non pre-specified ",,,,,,,,,,,
