Trial Info,,,,,,,,,,,,
Week,02/11/2015,,,,,,,,,,,
Study ID,25,,,,,,,,,,,
Journal name,Annals of Internal Medicine,,,,,,,,,,,
Trial Title,Alexander Technique Lessons or Acupuncture Sessions for Persons With Chronic Neck Pain: A Randomized Trial,,,,,,,,,,,
Trial Link,http://annals.org/article.aspx?articleid=2467961,,,,,,,,,,,
Publication date,03/11/2015,,,,,,,,,,,
Registry link,http://www.controlled-trials.com/ISRCTN15186354,,,,,,,,,,,
Registry ID,ISRCTN15186354,,,,,,,,,,,
"Protocol link, if available",Protocol published after trial start date,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Northwick Park Neck Pain Questionnaire measured at  3 months,,,,,,,No,Yes,,,
2,Northwick Park Neck Pain Questionnaire measured at  6 months,,,,,,,No,Yes,,,
3,Northwick Park Neck Pain Questionnaire measured at 12 months,,,,,,,Yes,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,3,,,,,,TOTALS,,3,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results tables?,Incorrectly reported in main trial results tables,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,Adverse events and beneficial effects measured at 3 months,,,,,,,,,,Yes,Yes
2,Adverse events and beneficial effects measured at 6 months,,,,,,,,,,Yes,Yes
3,Adverse events and beneficial effects measured at 12 months,,,,,,,,,,Yes,Yes
4,Chronic Pain Self-efficacy Scale measured at 6 months,,,,,,,,,Yes,,
5,Chronic Pain Self-efficacy Scale measured at 12 months,,,,,,,,,Yes,,
6,EQ-5D measured at 6 months,,,,,,,,,,Yes,
7,EQ-5D measured at 12 months,,,,,,,,,,Yes,
8,General Flow Index measured at 6 months,,,,,,,,,,Yes,
9,General Flow Index measured at 12 months,,,,,,,,,,Yes,
10,Incorporation of practitoner advice measured at 6 months,,,,,,,,,,Yes,
11,Incorporation of practitoner advice measured at 12 months,,,,,,,,,,Yes,
12,Pain intensity by text message measured fornightly for the first 6 months and monthly thereafter until the 12 months' endpoint,,,,,,,,,Yes,,Yes
13,Perceived Stress Scale measured at 6 months,,,,,,,,,,Yes,
14,Perceived Stress Scale measured at 12 months,,,,,,,,,,Yes,
15,"Preferences, expectations and beliefs about the interventions measured at baseline",,,,,,,,,Yes,,Yes
16,Short Form (SF)-12v2 measured at 6 months,,,,,,,,,Yes,,
17,Short Form (SF)-12v2 measured at 12 months,,,,,,,,,Yes,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,17,,,,,,TOTALS,,,6,11,
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified in tables?,,,Not declared as non-prespecified,
1,Secondary analysis 1 of primary outcome at 12 months,,,,,,,Yes,,,,
2,Secondary analysis 2 of primary outcome at 12 months,,,,,,,,,,Yes,
3,CACE analysis 12 months,,,,,,,Yes,,,,
4,Table 4 intervention effects 12 months,,,,,,,,,,Yes,
5,Table 4 intervention 12 months,,,,,,,,,,Yes,
6,Table 4 effect of change in self-efficacy 12 months,,,,,,,,,,Yes,
7,Table 4 intervention effects 6 months,,,,,,,,,,Yes,
8,Table 4 intervention 6 months,,,,,,,,,,Yes,
9,Table 4 effect of change in self-efficacy 6 months,,,,,,,,,,Yes,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,6,,,,,,TOTALS,2,,,4,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
"Trial was 'retrospectively registered'. According to ISRCTN entry, this was 13 days after start date.",,,,,,,,,,,,
