Trial Info,,,,,,,,,,,,
Week,5,,,,,,,,,,,
Study ID,51A (Genotype 2),,,,,,,,,,,
Journal name,NEJM,,,,,,,,,,,
Trial Title,Sofosbuvir and Velpatasvir for HCV Genotype 2 and 3 Infection,,,,,,,,,,,
Trial Link,http://www.nejm.org/doi/pdf/10.1056/NEJMoa1512612,,,,,,,,,,,
Publication date,17/11/2015,,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/results?term=NCT02220998&Search=Search,,,,,,,,,,,
Registry ID,NCT02220998 ,,,,,,,,,,,
"Protocol link, if available",http://www.nejm.org/doi/suppl/10.1056/NEJMoa1512612/suppl_file/nejmoa1512612_protocol.pdf,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,efficacy of treatment with SOF/GS-5816 for 12 weeks with  that of SOF + RBV for 12weeks as measured by the proportion of subjects with SVR12 ,,,,,,,Yes,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
Total,1,,,,,,TOTALS,1,,,,
,,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported?,Incorrectly reported in main trial results table or figure?,"Not reported in tables, but reported elswhere in paper?",Not reported in journal publication,Outcome measure not sufficiently pre-specified
1,proportion of subjects who attain SVR at 4 weeks after cessationof each treatment regimen (SVR4) ,,,,,,,Yes,,,,
2,proportion of subjects with virologic failure ,,,,,,,Yes,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,proportion of subjects who attain SVR 24 weeks after cessationof each treatment regimen (SVR24) ,,,,,,,,,,Yes,
6,The proportion of subjects with HCV RNA < LLOQ on treatment,,,,,,,,,,,Yes
7,HCV RNA change from Baseline/Day 1 ,,,,,,,,,,Yes,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,5,,,,,,TOTALS,2,,,2,1
,,,,,,,,,,,,
Non-prespecified outcome in publication,,,,,,,,Correctly reported as non-pre-specified?,,,Not declared as non-prespecified,
1,The proportion of subjects with HCV RNA < LLOQ on treatment at 2 weeks,,,,,,,,,,Yes,
2,The proportion of subjects with HCV RNA < LLOQ on treatment atÂ 4 weeks,,,,,,,,,,Yes,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
,,,,,,,,,,,,
Total,2,,,,,,TOTALS,,,,2,
,,,,,,,,,,,,
Complications to trial and issues arising in free text,,,,,,,,,,,,
