Trial Info,,,,,,,,,,,
Week,19/10/2015,,,,,,,,,,
Study ID,6,,,,,,,,,,
Journal name,The Lancet,,,,,,,,,,
Trial Title,"5-year results of accelerated partial breast irradiation using sole interstitial multicatheter brachytherapy versus whole-breast irradiation with boost after breast-conserving surgery for low-risk invasive and in-situ carcinoma of the female breast: a randomised, phase 3, non-inferiority trial",,,,,,,,,,
Trial Link,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00471-7/fulltext,,,,,,,,,,
Publication date,19/10/2015,,,,,,,,,,
Registry link,https://clinicaltrials.gov/ct2/show/study/NCT00402519,,,,,,,,,,
Registry ID,NCT00402519,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Prespecified Primary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication
1,Local control ,,,,,,,No,No,Yes,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
Total,1,,,,,,TOTALS,0,0,1,0
,,,,,,,,,,,
Prespecified Secondary Outcome,,,,,,,,Correctly reported in main trial results table?,Incorrectly reported in main trial results table,"Not reported in table, but reported elswhere in paper?",Not reported in journal publication
1,Incidence and severity of acute and late side effects REMOVED FROM ANALYSIS,,,,,,,No,No,Yes,No
2,Differences in cosmetic results REMOVED FROM ANALYSIS,,,,,,,No,No,No,Yes
3,Distant metastases free survival,,,,,,,No,No,Yes,No
4,"Survival rates (Overall Survival, Disease-free Survival) ",,,,,,,No,No,Yes,No
5,Contralateral breast cancer rate ,,,,,,,No,No,Yes,No
6,Quality-of-LifeÂ REMOVED FROM ANALYSIS,,,,,,,No,No,No,Yes
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
,,,,,,,,,,,
Total,3,,,,,,TOTALS,0,0,3,0
,,,,,,,,,,,
Non-prespecified outcome in publication table,,,,,,,,Correctly reported as non-pre-specified in table?,,,Not reported
1,Regional recurrence [Time frame: 5-years],,,,,,,No,,,Yes
2,Cumulative incidence of a second primary tumour at sites other than the breast,,,,,,,No,,,Yes
,,,,,,,,,,,
Total,2,,,,,,TOTALS,0,,,2
,,,,,,,,,,,
,,,,,,,,,,,
"NOTE: Secondary Outcomes 2 and 6 were originally scored as ""Not reported"". Because the author's state they will report these data elsewhere we have excluded them from our analysis. This changes the statistics that were originally posted on COMPare-trials.org (AD, 7/12/2015)",,,,,,,,,,,
Secondary outcome 1 was also removed from the analysis as the author's state this data will be presented in detail elsewhere.,,,,,,,,,,,
