Study ID,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online reistry entry for trial,"Link to pre-trial protocol, if available",Pre-specified outcomes obtained from protocol or registry entry?,Assessor Name,Assigned date,Completion date,Link to Assessment,Assessment checked by second assessor - date,Second assessor name,Second assessor discrepancies?,Second assessor discrepancies free text,Total number of prespecified primary outcomes,Number of prespecified primary outcomes reported somewhere in the publication (other that main results table),Number of prespecified primary outcomes correctly reported,Total number of prespecified secondary outcomes,Number of prespecified secondary outcomes reported somewhere in the publication (other than main results table),Number of prespecified secondary outcomes correctly reported,Total number of non-prespecified outcomes reported,Number of non-prespecified outcomes correctly reported  (ie novel outcomes but described as such in the paper),First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter,Letter checked by BG or CH - initial and date,Letter Submission Deadline,Letter sent date,Letter Status,Letter published date,"Results, Letter, Assessment checked for website - 1st assessor initial and date",Publication delay,"Complications and matters arising, in free text"
1,19/10/2015,NEJM,"A Randomized, Controlled Trial of Total Knee Replacement",22/10/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1505467,https://clinicaltrials.gov/ct2/show/record/NCT01410409,,Registry Entry,Henry Drysdale,25/10/2015,28/10/2015,https://docs.google.com/spreadsheets/d/1BISudLrrwteQ47v9ELbRPZ0dq7wwlPn1WNwVrW_FBFU/edit#gid=0,29/10/2015,Aaron Dale,No,,1,,1,6,,4,6,0,Yes,Not Sure,Yes,https://docs.google.com/document/d/11hRbRe2kcGu4Aago0qYzP6lbaESJrJ0K3JR2l3DBKWU/edit,BG 4th nov 2015,#REF!,04/11/2015,Letter rejected by editor,,HD 3/12,,
2,,NEJM,A Phase 3 Randomized Trial of Nicotinamide for Skin-Cancer Chemoprevention,22/10/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1506197,https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=12612000625875,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1506197/suppl_file/nejmoa1506197_protocol.pdf,Protocol,Henry Drysdale,25/10/2015,28/10/2015,https://docs.google.com/spreadsheets/d/1EhiJbn-WBdiFiLckQQrEG0IpCERgr4E4bEEIdPGixuE/edit#gid=0,30/10/2015,Aaron Dale,No,,1,,1,10,,4,0,0,Yes,Yes,Yes,https://docs.google.com/document/d/1vx_Cb0f1EeiQLoMPieUQZ2ZXFnNneGMKmWycUrY2sZ0/edit,BG 4th nov 2015,#REF!,05/11/2015,Letter rejected by editor,,HD 3/12,,
3,,NEJM,Nivolumab versus Docetaxel in Advanced Nonsquamous Non–Small-Cell Lung Cancer,22/10/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1507643,https://clinicaltrials.gov/archive/NCT01673867/2012_10_24,https://drive.google.com/open?id=0B2r5CjEdwpx_MWVGSV8tQ2VlX3c,Protocol,Philip Hartley,25/10/2015,28/10/2015,https://docs.google.com/spreadsheets/d/148aDkt-JstDnGBhqNdTZp8fPWCkRbLRsi4BRqlbu76g/edit#gid=0,29/10/2015,Ioan Milosevic,No,"Query regarding non-prespecified outcomes and table: Table 2 doesn't seem to refer at all to primary or secondary outcomes. Figure 2, on the other hand, is where the data is, amongst other data.",1,,1,4,0,2,0,0,Not sure,Yes,Yes,https://docs.google.com/document/d/1zE1wPf-FBonKr6fzWXWnpDIYeWN3qdGe5_4qEH71pN4/edit,BG 4th nov 2015,#REF!,05/11/2015,Letter unpublished after 4 weeks,,HD 3/12,,"The primary outcome is marked as unreported for this trial as the authors report mortality according to a March 2015 datalock and not 24 months as stated in the trial protocol. It can, however be inferred from figure 2. The letter for this article is currently unfinished."
4,,JAMA,"Naproxen With Cyclobenzaprine, Oxycodone/Acetaminophen, or Placebo for Treating Acute Low Back Pain",20/10/2015,http://jama.jamanetwork.com/article.aspx?articleid=2463257,https://clinicaltrials.gov/show/NCT01587274,,Registry Entry,Ioan Milosevic,25/10/2015,27/10/2015,https://docs.google.com/spreadsheets/d/1SGn7DA_4c4roEBfIGywmTx1V4FGfzpC0D5CdxGfNP0Q/edit#gid=0,,Eirion Slade,No,,1,0,1,0,0,0,5,5,No,,No,,Letter not required,#REF!,,Letter not required,,IM 4/12,,
5,,Ann Intern Med.,"Effects of Initiating Moderate Alcohol Intake on Cardiometabolic Risk in Adults With Type 2 Diabetes: A 2-Year Randomized, Controlled Trial",13/10/2015,http://annals.org/article.aspx?articleid=2456121,https://clinicaltrials.gov/ct2/show/NCT00784433?term=cascade+alcohol&rank=1,,Registry Entry,Eirion Slade,25/10/2015,27/10/2015,https://docs.google.com/spreadsheets/d/1qftvTP-4JrI1SxV7cu6588_kiwICY7bolwP6L4vlWWI/edit#gid=0&vpid=A1,29/10/2015,Henry Drysdale,No,,1,0,0,1,0,0,14,0,Yes,Yes,Yes,https://docs.google.com/document/d/13rfaG2bfiOftob9XfnsT2SNycMGP1KonOqWslmfibRA/edit,BG 4th nov 2015,#REF!,09/11/2015,Letter published,09/11/2015,HD 3/12,,"Published online on 9/11/2015, will be considered for print publication 13/11/2015"
6,,Lancet,"5-year results of accelerated partial breast irradiation using sole interstitial multicatheter brachytherapy versus whole-breast irradiation with boost after breast-conserving surgery for low-risk invasive and in-situ carcinoma of the female breast: a randomised, phase 3, non-inferiority trial",20/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00471-7/abstract,https://clinicaltrials.gov/ct2/show/study/NCT00402519,,Registry Entry,Aaron Dale,25/10/2015,27/10/2015,https://docs.google.com/spreadsheets/d/1q8SkvpcAbwiw38vKK5mumvT2HQXdNysLHpkhDtxvu_k/edit#gid=0,31/10/2015,Philip Hartley,No,,1,0,1,3,0,3,2,0,Yes,Not Sure,No,,Letter not required,#REF!,,Letter not required,,AD 3/12,,The time points for all data was not pre-specified in the original registry entry. There has been stratification of several secondary outcomes. Two secondary outcomes were not reported with authors stating they will be published elsewhere. One secondary outcome is not mentionned. A detailed freetext summary of the analysis is in the folder for trial 6.
7,,Lancet,An internet-delivered handwashing intervention to modify influenza-like illness and respiratory infection transmission (PRIMIT): a primary care randomised trial,24/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60127-1/abstract,http://www.controlled-trials.com/ISRCTN75058295,,Registry Entry,Aaron Dale,25/10/2015,28/10/2015,https://docs.google.com/spreadsheets/d/1cQ0Rd8vtTxtxcp5dFHp1j67vW6XErsPG9H2hCBFwiJE/edit#gid=0,,Philip Hartley,No,,6,0,0,6,0,0,17,0,Yes,Yes,Yes,https://docs.google.com/document/d/174C54WJSnLzmEpQ_Eg8x0FpIm6VtanfhiGk_cxap2Vc/edit,BG CH 6th nov 2015,#REF!,06/11/2015,Letter published,,,,
8,,Lancet,"Percutaneous tibial nerve stimulation versus sham electrical stimulation for the treatment of faecal incontinence in adults (CONFIDeNT): a double-blind, multicentre, pragmatic, parallel-group, randomised controlled trial",24/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60314-2/abstract,http://www.isrctn.com/ISRCTN88559475,,Registry Entry,Philip Hartley,25/10/2015,29/10/2015,https://docs.google.com/spreadsheets/d/1AOSJC94p4UorJKWSg_pzumr8l7DVqyAMaGBfHXhNXx0/edit,29/10/2015,Ioan Milosevic,No,Query on secondary outcome measure 3: different Fecal Incontinence scale used,1,0,1,10,0,8,3,0,Yes,Yes,Yes,https://docs.google.com/document/d/1P3Q9kx8WEROvsd01jQMELm_4ik6N_WAQBCp8O46We0E/edit,BG 6th nov 2015,#REF!,06/11/2015,Letter published,,PH 5/12,,
9,,Lancet,"Eltrombopag for children with chronic immune thrombocytopenia (PETIT2): a randomised, multicentre, placebo-controlled trial",24/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)61107-2/abstract,https://clinicaltrials.gov/archive/NCT01520909/2012_03_09,Protocol published after start date,Registry Entry,Ioan Milosevic,25/10/2015,29/10/2015,https://docs.google.com/spreadsheets/d/1KNGgHyhtpJxTfDhbIheP8r4k_arybAJLwJmshrthd8M/edit#gid=0,,Eirion Slade,No,,1,0,1,22,4,10,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1ZUz5k8o1zA1t_knue73X7UB6XqPRKGzbPZfLCt9DZ14/edit,BG reviewed salient points not checked every item 6th nov 2015,#REF!,06/11/2015,Letter published,,IM 5/12,,"10 end-points added to protocol and registry entry post trial completion date. Outcome measures spread out over multiple tables. As there is no indication as to whether their contents are outcome measures, I have taken all tables 2-7 to be reporting outcomes."
10,,Lancet,Neurodevelopmental outcome at 2 years of age after GA or awake-regional anaesthesia in infancy,04/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00608-X/fulltext,https://clinicaltrials.gov/ct2/show/NCT00756600?term=NCT00756600.&rank=1,,Registry Entry,Eirion Slade,25/10/2015,14/11/2015,https://docs.google.com/spreadsheets/d/1Dbt4whQhiBNHQx4s1CWhBCS3_Jlp1t1yXJJBDXxbf78/edit,15/11/2015,Henry Drysdale,Yes,1. Query coding of how main secondary outcome is reported. 2. It is possible that most of Table 3 and all of Table 5 should be considered non-prespecified.,0,0,0,3,0,0,26,0,Yes,Yes,Yes,https://docs.google.com/document/d/1aqNB7r8AzMGHPKdKWUu2Jox39yVn2AH4eAvDqu80fFY/edit,CH 17/11,#REF!,17/11/2015,Letter published,,,,Trial was registered after the trial start date
13,26/10/2015,NEJM,Paclitaxel-Eluting versus Everolimus-Eluting Coronary Stents in Diabetes,29/10/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1510188,http://ctri.nic.in/Clinicaltrials/advsearch.php,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1510188/suppl_file/nejmoa1510188_protocol.pdf,Protocol,Philip Hartley,30/10/2015,01/11/2015,https://docs.google.com/spreadsheets/d/1jY791XpQqpvt-zxyPfHsJGISJD9syz6zQXP8sJGriTg/edit#gid=0,05/11/2015,Ioan Milosevic,Yes,"Primary endpoint is a composite, reported in table. Secondary endpoints are prespecified at multiple time points but only reported at 12 months.",1,0,1,15,0,14,4,0,Yes,Yes,Yes,https://docs.google.com/document/d/1tAxiXWFHE8_BoqAzizkPAZg3Jb8XC6kAPHyZNiEbnv4/edit,BG 12th nov 2015,#REF!,07/11/2015,Letter rejected by editor,,PH 5/12,,
14,,JAMA,Effect of a Buffered Crystalloid Solution vs Saline on Acute Kidney Injury Among Patients in the Intensive Care UnitThe SPLIT Randomized Clinical Trial,27/10/2015,http://jama.jamanetwork.com/article.aspx?articleid=2454911,http://www.anzctr.org.au/trial_view.aspx?ACTRN=ACTRN12613001370796,http://jama.jamanetwork.com/data/Journals/JAMA/934616/JOI150118supp1_prod.pdf,Protocol,Ioan Milosevic,30/10/2015,02/11/2015,https://drive.google.com/open?id=13tGwajYMRg0cxCZvHnMfsWT4HTvo1fNzvFOgp5fQhpI,06/11/2015,Henry Drysdale,No,,1,0,1,12,0,12,1,0,No,No,No,,Letter not required,#REF!,,Letter not required,,IM 5/12,,
15,,JAMA,Effect of Noninvasive Ventilation vs Oxygen Therapy on Mortality Among Immunocompromised Patients With Acute Respiratory FailureA Randomized Clinical Trial,27/10/2015,http://jama.jamanetwork.com/article.aspx?articleid=2454912,http://clinicaltrials.gov/show/NCT01915719,http://jama.jamanetwork.com/data/Journals/JAMA/934616/JOI150119supp1_prod.pdf,Protocol,Ioan Milosevic,30/10/2015,02/11/2015,https://drive.google.com/open?id=1M8br026UdJ4PXWbwIrbKdemngdZqMDpmEMnfWcpG3Dc,06/11/2015,Henry Drysdale,Yes,Query whether first secondary outcome listed in assessment sheet is actually an outcome,1,0,1,6,2,4,2,1,Not sure,Not Sure,Yes,https://drive.google.com/open?id=1c1szuGLIo-0JcRNSyJS9zHMrgcVFdcbbYw9LZG1Na50,BG Nov 12 2015,#REF!,12/11/2015,Letter rejected by editor,,IM 5/12,,Discrepancy between french protocol document and registry entry. Subjective statement ('good') that isn't justified or explained. Addition of 6 month mortality (many other outcomes were monitored at this point)
16,,JAMA,Anticholinergic vs Long-Acting β-Agonist in Combination With Inhaled Corticosteroids in Black Adults With Asthma The BELT Randomized Clinical Trial,27/10/2015,http://jama.jamanetwork.com/article.aspx?articleid=2466145,https://clinicaltrials.gov/show/NCT01290874,Protocol published after trial start date,Registry Entry,Ioan Milosevic,30/10/2015,04/11/2015,https://drive.google.com/open?id=1YpDi1uc8R1Y94mW1mY9J_imLFM8TPTvmuCd0yadpdTc,,Aaron Dale,No,,1,1,0,4,0,4,2,0,Yes,Yes,Yes,https://drive.google.com/open?id=1M8r84vaBDKSGFHi90tWdljZ27VvI6-0b1qwde_nAqR8,BG Nov 12 2015 ,#REF!,12/11/2015,Letter rejected by editor,,IM 5/12,,"Primary outcomes changed in most recent version of protocol (no earlier versions available) but not in registry. No trial results table, but reported in figures with slight discrepancies in time points. Supplementary material also outlines tables that could be used to display comparison, but these are not in the report."
17,,Lancet,Clinical outcomes in patients with ST-segment elevation myocardial infarction treated with everolimus-eluting stents versus bare-metal stents (EXAMINATION): 5-year results of a randomised trial,28/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00548-6/abstract,https://clinicaltrials.gov/show/NCT00828087,Protocol published after trial start date,Registry Entry,Henry Drysdale,30/10/2015,03/11/2015,https://docs.google.com/spreadsheets/d/1lDT0Pchhcoa4U_Y5wFjdd54cv4eGuIijfYEekIsqCbY/edit#gid=0,,Philip Hartley,No,,1,0,1,8,2,5,11,0,Yes,Yes,Yes,https://docs.google.com/document/d/1-CgvflgB7mhWxBdl1ze9OXxSZTZWfnhsElMMDGeH8mw/edit?usp=drive_web,BG 9th Nov 2015,#REF!,09/11/2015,Letter published,14/05/2016,HD 10/12,,Registry entry was first received 1 month after trial start date. 
18,,Lancet,Postural modification to the standard Valsalva manoeuvre for emergency treatment of supraventricular tachycardias (REVERT): a randomised controlled trial,31/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)61485-4/abstract,http://www.isrctn.com/ISRCTN67937027,Not available,Registry Entry,Aaron Dale,30/10/2015,03/11/2015,https://docs.google.com/spreadsheets/d/1H0-ymJJEE4sCJlV1Av8VCvKmdipczLIUhcnov0urUBk/edit#gid=0,02/11/2015,Ioan Milosevic,No,,1,0,1,4,0,4,1,0,Yes,Yes,Yes,https://docs.google.com/document/d/1r1sFiPftzLei2hIDVue_rqdb_7jBN-MGZ1W7BGKWXPY/edit,BG 9th Nov 2015,#REF!,10/11/2015,Letter rejected by editor,,AD 11/12,,"This trial was well reported except for the addition of a secondary outcome that was not pre-specified. However, the trial registry was edited after the trial was reported and a record of the changes is unavailable."
19A,,Lancet,"Tasimelteon for non-24-hour sleep–wake disorder in totally blind people (SET): two multicentre, randomised, double-masked, placebo-controlled phase 3 trials",31/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60031-9/abstract,https://clinicaltrials.gov/ct2/show/record/NCT01163032,Not available,Registry Entry,Aaron Dale,30/10/2015,03/11/2015,https://docs.google.com/spreadsheets/d/12fI0H7scD_YVoM-gV3p-tNbhN4vAh9sSfgmJKOV6Ykc/edit#gid=0,02/11/2015,Ioan Milosevic,No,,1,0,0,8,3,0,6,0,Yes,Yes,Yes,https://docs.google.com/document/d/1rAXp8VsSv-SRQnk7xXt6al5wf5YZmb3o5SydWXjXyCg/edit,BG 9th Nov 2015,#REF!,10/11/2015,Letter rejected by editor,,AD 11/12,,
19B,,Lancet,"Tasimelteon for non-24-hour sleep–wake disorder in totally blind people (RESET): two multicentre, randomised, double-masked, placebo-controlled phase 3 trials",31/10/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)60031-9/abstract,https://clinicaltrials.gov/ct2/show/record/NCT01430754,Not available,Registry Entry,Aaron Dale,30/10/2015,04/11/2015,https://docs.google.com/spreadsheets/d/1g2HUN2Ga9SyxyX5c_B04u023u85LP6dkwuEvFAjbAvI/edit#gid=0,02/11/2015,Ioan Milosevic,No,,1,1,0,6,5,0,6,0,Yes,Yes,Yes,https://docs.google.com/document/d/1rAXp8VsSv-SRQnk7xXt6al5wf5YZmb3o5SydWXjXyCg/edit,BG 9th Nov 2015,#REF!,10/11/2015,Letter rejected by editor,,AD 11/12,,
