paper_id,claim_id,orig_analysis_type,orig_total_model_params,orig_sample_size_50_for_100,orig_sample_size_90_for_75,orig_sample_size_90_for_50,is_covid,orig_stat_type_for_repli,orig_pearsons_r_defined,orig_pearsons_r_value,orig_pearsons_r_ci_lb,orig_pearsons_r_ci_ub,orig_effect_size_type_repli,orig_effect_size_value_repli,orig_effect_size_ci_lb,orig_effect_size_ci_ub,orig_power_threshold_small,orig_power_threshold_medium,orig_power_for_50_effect,orig_power_for_75_effect,original_effective_df1_reference,original_effective_sample_size,orig_sample_size_value,orig_sample_size_units,orig_stat_type,orig_stat_dof_1,orig_stat_dof_2,orig_stat_value,orig_stat_interaction,orig_effect_size_text,orig_effect_size_type_repro,orig_effect_size_value_repro,orig_coef_type,orig_coef_value,orig_coef_se,orig_p_value_type,orig_p_value,orig_p_value_tails,bushel_complex,orig_conv_r,orig_conv_r_lb,orig_conv_r_ub
0DO8,0DO8_single-trace,generalized estimating equation (GEE) with a log-linear link function,NA,41,201,454,TRUE,ser,no,NA,NA,NA,ser_method,25.4,5.54999435521432,45.2500056447857,NA,NA,0.240754180415736,0.46858096427702,NA,624,78,countries,z,NA,NA,2.18,NA,NA,NA,NA,NA,25.4,10.12774,exact,0.029,NA,NA,0.08693940541680403,0.008808148528264413,0.1635009811104435
0P4r,0P4r_1rz255,Other regression,13,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,civil wars,NA,NA,NA,NA,main effect,"Table 3, M2, Conventional: 0.86, Standard error = 0.37, p < .05",ser_method,0.86,NA,0.86,0.37,less-than,0.05,NA,TRUE,NA,NA,NA
0P4r,0P4r_3n6yo5,Other regression,14,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,civil wars,NA,NA,NA,NA,main effect,"Table 1, M3, Irregular: 0.93, Standard error = 0.32, p < .01",ser_method,0.93,NA,0.93,0.32,less-than,0.01,NA,TRUE,NA,NA,NA
0P4r,0P4r_6rpyov,Other regression,11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,civil wars,NA,NA,NA,NA,main effect,"Table 1, M2, Irregular: 0.85, Standard error = 0.33, p < .05",ser_method,0.85,NA,0.85,0.33,less-than,0.05,NA,TRUE,NA,NA,NA
0P4r,0P4r_855y48,Other regression,4,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,979,civil wars,NA,NA,NA,NA,main effect,"Table 4, M1, Conventional: -0.48, Standard error = 0.20, p < .05",ser_method,-0.48,NA,-0.48,0.2,less-than,0.05,NA,TRUE,NA,NA,NA
0P4r,0P4r_djjn3z,Other regression,14,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,civil wars,NA,NA,NA,NA,main effect,"Table 5, Incumbent won, Conventional (end year): -1.12, Standard error = 0.49, p < .05",ser_method,-1.12,NA,-1.12,0.49,less-than,0.05,NA,FALSE,NA,NA,NA
0P4r,0P4r_j6dqvn,Other regression,17,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,civil wars,NA,NA,NA,NA,main effect,"Table 1, M8, Irregular: 0.75, Standard error = 0.23, p < .01",ser_method,0.75,NA,0.75,0.23,less-than,0.01,NA,NA,NA,NA,NA
0P4r,0P4r_l8rjny,Other regression,4,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206,civil wars,NA,NA,NA,NA,main effect,"Table 1, M1, Irregular: 1.20, Standard error = 0.23, p < .01",ser_method,1.2,NA,1.2,0.23,less-than,0.01,NA,TRUE,NA,NA,NA
0P4r,0P4r_pprl8j,Other regression,4,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,civil wars,NA,NA,NA,NA,main effect,"Table 1, M5, Irregular: 0.85, Standard error = 0.16, p < .01",ser_method,0.85,NA,0.85,0.16,less-than,0.01,NA,NA,NA,NA,NA
0P4r,0P4r_q7r685,Other regression,11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,civil wars,NA,NA,NA,NA,main effect,"Table 1, M6, Irregular: 0.82, Standard error = 0.20, p < .01",ser_method,0.82,NA,0.82,0.2,less-than,0.01,NA,NA,NA,NA,NA
