Timestamp,asana_ticket_name,submitted_by,rr_type_prereg,rr_prereg_googledoc,confrontation_osf_vol,confrontation_claim4_id,confrontation_data_source_url,confrontation_data_source_description,confrontation_p_value_type_reported,confrontation_primary_criteria_available,confrontation_repro_primary_criteria,confrontation_repro_secondary_criteria_num,confrontation_repro_secondary_criteria,confrontation_repro_analyst_criteria,rr_num_claims_prereg,confrontation_status
2021-12-09T09:25:57Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,https://docs.google.com/spreadsheets/d/1qhb9uRZ8_cR-NugGvM4_c_1nUkRJr6uSadxiarNrrAM/edit#gid=226716288,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,r1zw73,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",exact,"sample_size, p_value, test_statistic, effect_size","Sample size        516 participants        516        439 to 593        < 439 or > 593
Focal variable P-value        p = 0.007        p = 0.007        < 0.057        >= 0.057
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        t = -3.53        t = -3.53        -3.00 to -4.06        > -3.00 or < -4.06
Effect size of focal variable        d = 0.24        d = 0.24        0.20 to 0.28        < 0.20 or > 0.28",0,NA,All of the available criteria satisfy the precise reproduction criteria,7,NEVER
2021-12-09T09:47:47Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,v4wj5w,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",less-than,"sample_size, p_value, test_statistic, effect_size","Sample size        516 participants        516        439 to 593        < 439 or > 593
Focal variable P-value        p < 0.001        p < 0.001        < 0.051        >= 0.051
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        chi-square = 16.91        chi-square = 16.91        14.37 to 19.45        < 14.37 or > 19.45
Effect size of focal variable        phi = 0.22        phi = 0.22        0.19 to 0.25        < 0.19 or > 0.25",0,NA,All of the available criteria satisfy the precise reproduction criteria,NA,NEVER
2021-12-09T09:54:28Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,gdrl4o,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",na,sample_size,"Sample size	516 participants	516	439 to 593	< 439 or > 593
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",2,"[1] Table 2, ASPL: Low	3.19	3.19	2.71 to 3.67	< 2.71 or > 3.67
[2] Table 2, ASPL: High	2.84	2.84	2.41 to 3.27	< 2.41 or > 3.27",All of the available criteria satisfy the precise reproduction criteria,NA,NA
2021-12-09T09:55:55Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,grz8yk,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",na,sample_size,"Sample size	516 participants	516	439 to 593	< 439 or > 593
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",2,"[1] Table 2, Q: Low	0.59	0.59	0.50 to 0.68	< 0.50 or > 0.68
[2] Table 2, Q: High	0.521	0.521	0.44 to 0.60	< 0.44 or > 0.60",All of the available criteria satisfy the precise reproduction criteria,NA,NA
2021-12-09T09:57:27Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,mvwky9,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",less-than,"sample_size, p_value, test_statistic, effect_size","Sample size        516 participants        516        439 to 593        < 439 or > 593
Focal variable P-value        p < 0.001        p < 0.001        < 0.051        >= 0.051
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        t = -65.69        t = -65.69        -55.84 to -75.54        > -55.84 or < -75.54
Effect size of focal variable        d = 2.94        d = 2.94        2.50 to 3.38        < 2.50 or > 3.38",0,NA,All of the available criteria satisfy the precise reproduction criteria,NA,NEVER
2021-12-09T09:58:41Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,b31372,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",less-than,"sample_size, p_value, test_statistic, effect_size","Sample size        516 participants        516        439 to 593        < 439 or > 593
Focal variable P-value        p < 0.001        p < 0.001        < 0.051        >= 0.051
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        t = 45.53        t = 45.53        38.70 to 52.36        < 38.70 or > 52.36
Effect size of focal variable        d = 2.04        d = 2.04        1.73 to 2.35        < 1.73 or > 2.35",0,NA,All of the available criteria satisfy the precise reproduction criteria,NA,NEVER
2021-12-09T10:00:17Z,Christensen_EurJournPersonality_2018_8R9d - Silverstein - 23312,Priya,Push Button Reproduction,NA,NA,8974q1,https://osf.io/8kyfe/?view_only=5e09bddb136649e3821609a0a665d200,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/6zh34/?view_only=3e5bfed2e1f041dbbb4376e9c0c5f70b).",less-than,"sample_size, p_value, test_statistic, effect_size","Sample size        516 participants        516        439 to 593        < 439 or > 593
Focal variable P-value        p < 0.001        p < 0.001        < 0.051        >= 0.051
Focal variable coefficient        NA        NA        NA        NA
Focal test statistic        t = -30.86        t = -30.86        -26.23 to -35.49        > -26.23 or < -35.49
Effect size of focal variable        d = 1.38        d = 1.38        1.17 to 1.59        < 1.17 or > 1.59",0,NA,All of the available criteria satisfy the precise reproduction criteria,NA,NEVER
2021-12-09T10:03:10Z,Rich_JournExPsychGen_2018_LbEB - Silverstein - 69736,Priya,Push Button Reproduction,https://docs.google.com/spreadsheets/d/1Vbkd6M965nAX5l35XcWDdNywuFovJpLApmu3VLaDeWI/edit#gid=226716288,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,g44qqk,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/r2pdy/?view_only=bfdf11a8816d4fcfb389e25c0c34d2c5).",na,sample_size,"Sample size	95	95	81 to 109	< 81 or > 109
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",3,"[1] average for contingent-information condition	0.83	0.83	0.71 to 0.95	< 0.71 or > 0.95
[2] average for full-information condition	0.75	0.75	0.64 to 0.86	< 0.64 or > 0.86
[3] CI	.03, .14	.03, .14	CI doesn't cross 0	CI crosses 0",If all of the available criteria satisfy the precise reproduction criteria,5,NA
2021-12-09T10:04:33Z,Rich_JournExPsychGen_2018_LbEB - Silverstein - 69736,Priya,Push Button Reproduction,NA,NA,m5xkkr,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/r2pdy/?view_only=bfdf11a8816d4fcfb389e25c0c34d2c5).",na,sample_size,"Sample size	95	95	81 to 109	< 81 or > 109
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",3,"[1] average for contingent-information condition	0.72	0.72	0.61 to 0.83	< 0.61 or > 0.83
[2] average for full-information condition	0.82	0.82	0.70 to 0.94	< 0.70 or > 0.94
[3] CI	.02, .18	.02, .18	CI doesn't cross 0	CI crosses 0",If all of the available criteria satisfy the precise reproduction criteria,NA,NA
2021-12-09T10:05:38Z,Rich_JournExPsychGen_2018_LbEB - Silverstein - 69736,Priya,Push Button Reproduction,NA,NA,myjqqn,https://osf.io/uc9ny/?view_only=775e2b508eb848baa4ed826bc2d9226d,"As this is an attempted PBR, data were already available in the original materials OSF project (https://osf.io/r2pdy/?view_only=bfdf11a8816d4fcfb389e25c0c34d2c5).",na,sample_size,"Sample size	94	94	80 to 108	< 80 or > 108
Focal variable P-value	NA	NA	NA	NA
Focal variable coefficient	NA	NA	NA	NA
Focal test statistic	NA	NA	NA	NA
Effect size of focal variable	NA	NA	NA	NA",3,"[1] average for contingent-information condition	37.60%	37.60%	31.96% to 43.24%	< 31.96% or > 43.24%
[2] average for full-information condition	28.20%	28.20%	23.97% to 32.43%	< 23.97 or > 32.43%
[3] CI	.02, .16	.02, .16	CI doesn't cross 0	CI crosses 0",If all of the available criteria satisfy the precise reproduction criteria,NA,NA
