citekey,in_text,in_bibliography,status
ackerman2010,True,True,ok
alubaydli2017scalability,False,True,orphan_bib
andersson2019,True,True,ok
anglemyer2014,True,True,ok
arthur2003,True,True,ok
banerjee2015,True,True,ok
bargh1996,True,True,ok
bargh1996priming,False,True,orphan_bib
baumeister2007,True,True,ok
bem2011,True,True,ok
benjamin1996,True,True,ok
bennett2009,True,True,ok
bickel1975berkeley,False,True,orphan_bib
blake2015,True,True,ok
bloom1984twosigma,False,True,orphan_bib
bloom2013,True,True,ok
bloom2020ideas,False,True,orphan_bib
border2019,True,True,ok
bossy1985christianity,False,True,orphan_bib
botviniknezer2020,True,True,ok
bowler2013blessed,False,True,orphan_bib
boyle2017omnigenic,False,True,orphan_bib
braga2019,True,True,ok
breznau2022,True,True,ok
brodeur2016,True,True,ok
brodeur2020,True,True,ok
brown2024,True,True,ok
bryan2021heterogeneity,False,True,orphan_bib
button2013,True,True,ok
camerer2016,True,True,ok
camerer2018,True,True,ok
cannon1932homeostasis,False,True,orphan_bib
card2018,True,True,ok
carney2010,True,True,ok
carpenter2018,True,True,ok
carter2011,True,True,ok
caspi2002,True,True,ok
caspi2003,True,True,ok
chabris2012,True,True,ok
chabris2015fourth,False,True,orphan_bib
chandler2008,True,True,ok
chen2020,True,True,ok
chetty2014,True,True,ok
cipriani2018,True,True,ok
cipriani2018antidepressants,False,True,orphan_bib
clauset2009powerlaw,False,True,orphan_bib
cohen1988,True,True,ok
cohen1988spa,False,True,orphan_bib
cohen2006,True,True,ok
collaboration2015,True,True,ok
cred2017,True,True,ok
cuijpers2018,True,True,ok
cusack2016,True,True,ok
d2024,True,True,ok
danziger2011,True,True,ok
davis2017,True,True,ok
dellavigna2022,True,True,ok
dequidt2018demand,False,True,orphan_bib
dorison2022,True,True,ok
doucouliagos2009,True,True,ok
doucouliagos2011,True,True,ok
doyen2012priming,False,True,orphan_bib
du2024,True,True,ok
duckworth2007,True,True,ok
duncan2011,True,True,ok
ebersole2020manylabs5,False,True,orphan_bib
efron1977stein,False,True,orphan_bib
egger2022,True,True,ok
elliot2008,True,True,ok
elliott2020fmri,False,True,orphan_bib
errington2021,True,True,ok
ettehad2016,True,True,ok
evans2022,True,True,ok
fama1970efficient,False,True,orphan_bib
fanelli2010,True,True,ok
fanelli2017bias,False,True,orphan_bib
fernandes2014,True,True,ok
forer1949,False,True,orphan_bib
