level,subset,source_corpus,field,source_kind,published_scope,n,slope,intercept,slope_se,p_value,r_squared,median_D,median_N
paper,all_usable_rows,ctgov_finer_grained_kg,clinical_trials_registry,registry_results,clinicaltrials_gov_results,7722,-0.38665285076751654,0.2167170055236365,0.007313282651846528,0.0,0.2658268803935119,0.2329172692474462,231.0
paper,all_usable_rows,gwas_catalog,genetics_biomedicine,gwas_catalog_curated_association,curated_genomewide_significant_hits_not_article_results,6711,-0.47021312884907646,0.9597296785754915,0.0013292667763916456,0.0,0.9491125925108226,0.165607146565978,4944.0
paper,all_usable_rows,metabus_open_bosco,io_psychology_management,published_original_journal_correlation_matrix,published_jap_personnel_psychology,1999,-0.12063761407776129,-0.12676398316990756,0.011211709734410548,2.752885490200211e-26,0.05479843489237923,0.3765140661180163,181.0
paper,all_usable_rows,score_cos_claims,psychology and health,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,855,-0.3534346020005857,0.4578003404734248,0.012033806142028756,1.4318329911151302e-131,0.5027993835409312,0.46,183.0
paper,all_usable_rows,schaefer_schwarz_2019_without_prereg,psychology,published_original_psychology_article_key_effect,random_sample_psychology_articles,682,-0.31629654119816814,0.48106994132252395,0.02273835752537684,6.839515746908289e-39,0.22151853402236954,0.7717436331412897,68.5
paper,all_usable_rows,button_nord_neuroscience,neuroscience,published_meta_analysis_primary_studies,published_primary_studies,649,-0.3815304535491801,0.20044485214625646,0.026187588232492575,8.634165143711778e-42,0.24702619023438388,0.21262686955169954,107.0
paper,all_usable_rows,score_cos_claims,business,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,603,-0.44660177465258866,0.5981866560813545,0.011056664418412342,2.0839240888636224e-173,0.7307975886601412,0.29314342026818474,265.0
paper,all_usable_rows,motyl_2017_critical_tests,psychology_social_personality,published_original_article_critical_hypothesized_test,sampled_social_personality_journal_articles,540,-0.30041005751451244,0.4211807865716105,0.021446531346241096,3.1329126782528697e-38,0.26723676658219786,0.614241532257046,93.75
paper,all_usable_rows,olsson_sundell_2023_social_interventions,social_intervention_research,published_original_article_effectiveness_result,published_swedish_social_intervention_articles,476,-0.442121563829673,0.3512867024469401,0.05519855989792401,8.987822772340047e-15,0.11921223538694836,0.4099,78.5
paper,all_usable_rows,kuhberger_2014_main_results,psychology,published_original_psychology_article_main_result,random_sample_psychology_articles,472,-0.38147198344159206,0.6133887677787535,0.027115756463562,9.139426991855502e-38,0.29631915029788614,0.7228785,94.0
paper,all_usable_rows,score_cos_claims,sociology and criminology,score_extracted_claims_free_text,sampled_social_behavioral_journal_claims,458,-0.4041743059537133,0.5301713375161623,0.01577514643072984,2.3967433229387395e-90,0.590087783172395,0.1537004375569701,1977.0
