metric	value	count
primary_parent_corpus_database_id	corpus_db_i4r_public_workbook	110
primary_parent_corpus_database_id	corpus_db_lead_metaketa_iv_2021	101
primary_parent_corpus_database_id	corpus_db_ml1_summary_workbook	26
primary_parent_corpus_database_id	corpus_db_rpp_converted	168
parser_scope	inspect_sample_for_result_fields	211
parser_scope	parse_table_result_candidates	194
parser_status	parsed_native_row	405
review_status	needs_mapping_review	405
total	corpus_result_rows	405
total	corpus_result_tables	5
total	rows_with_effect_text	268
total	rows_with_n_text	177
total	rows_with_original_source_text	0
