metric	value	count
primary_parent_corpus_database_id	lead_harvest:psa_006_trolley	271
primary_parent_corpus_database_id	many_labs_2 | doi:10.1177/2515245918810225	91
primary_parent_corpus_database_id	raw_corpus:rpcb	434
parser_scope	parse_table_result_candidates	796
parser_status	parsed_native_row	796
review_status	needs_mapping_review	796
total	corpus_result_rows	796
total	corpus_result_tables	5
total	rows_with_effect_text	421
total	rows_with_n_text	471
total	rows_with_original_source_text	434
