closure_bucket	decision	records_reviewed	root_rows	strict_included_rows	strict_blocked_rows	alternate_d_equivalent_rows	native_effect_rows	coverage_or_roster_rows	effect_present_n_missing_rows	duplicate_risk_rows	false_positive_rows	rows_promoted_by_this_closure_pass
already_represented	closed_no_new_corpus_rows	91	28	28	0	0	0	0	0	0	0	0
already_represented_or_current_rule_blocked	closed_no_new_corpus_rows	923	607	379	228	0	0	0	0	0	0	0
alternate_subplot_staged	closed_staged_for_figure1b_not_figure1a	88	0	0	0	88	0	0	0	0	0	0
alternate_subplot_staged	closed_staged_for_native_panel_not_figure1a	91	0	0	0	0	91	0	0	0	0	0
blocked_access_route	closed_until_archived_sheet_or_user_file	0	0	0	0	0	0	0	0	0	0	0
duplicate_risk_or_support_only	closed_no_bulk_promotion	431	1	1	0	0	0	0	0	10	0	0
effect_present_n_missing	closed_missing_public_n_columns	172	0	0	0	0	0	0	172	0	0	0
false_positive_context_table	closed_parser_false_positive	271	90	4	86	0	0	0	0	0	271	0
missing_original_benchmark	closed_until_original_benchmark_table_found	0	0	0	0	0	0	0	0	0	0	0
no_obvious_complete_dn_columns	closed_no_bulk_rows	65	0	0	0	0	0	0	0	0	56	0
no_public_value_table	closed_until_public_or_user_supplied_data	248	5	5	0	0	0	248	0	0	0	0
