project	numeric_dn_pair_rows	figure1_rule_pair_rows	source_dataset_count	source_file_count	strict_verbatim_pair_rows	strict_verbatim_rule_pair_rows	dn_check_stage_status
RPCB	118	33	1	1	132	32	strict_verbatim_dn_checked
Many Labs 2	28	28	1	1	28	28	strict_verbatim_dn_checked
FReD other additions	504	378	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
SCORE	282	171	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Other direct replications	274	147	26	78	0	0	numeric_dn_checked_provenance_hardening_needed
LOOPR	118	104	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Student Replication Projects	114	35	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
REPEAT real-world evidence reproductions	106	60	1	106	0	0	numeric_dn_checked_provenance_hardening_needed
OSC 2015	104	71	4	7	0	0	numeric_dn_checked_provenance_hardening_needed
FReD CORE	85	82	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
FReD SoSci submissions	84	61	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
FReD OpenMKT	82	80	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
FReD CurateScience	74	70	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Coppock 2019 generalizability corpus	50	35	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Registered Replication Reports	46	25	19	39	0	0	numeric_dn_checked_provenance_hardening_needed
Brazilian Reproducibility Initiative	45	21	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Sensory-marketing replications	38	38	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
EPRP	35	28	2	2	0	0	numeric_dn_checked_provenance_hardening_needed
Clinical phase II to phase III pairs	32	32	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
251 Rescue Projects	30	17	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Decision-Market Replication Project	26	26	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Management Science Replication Project	26	20	10	10	0	0	numeric_dn_checked_provenance_hardening_needed
EERP	25	18	2	2	0	0	numeric_dn_checked_provenance_hardening_needed
SSRP	23	20	2	2	0	0	numeric_dn_checked_provenance_hardening_needed
Many Labs 5	20	20	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Sports science replications	19	16	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Transparent Replications by Clearer Thinking	18	18	1	18	0	0	numeric_dn_checked_provenance_hardening_needed
Experimental asset-market replications	14	14	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Many Labs 1	13	13	2	2	0	0	numeric_dn_checked_provenance_hardening_needed
FReD FORRT	11	11	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Many Labs 3	10	10	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Pipeline Project	10	10	1	2	0	0	numeric_dn_checked_provenance_hardening_needed
Clinical highly cited replications	7	7	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Eyewitness memory distortion in ten countries	5	5	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Ying 2023 pilot-full-scale trials	5	5	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
FReD new RRR	3	3	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
DellaVigna-Linos 2022	1	1	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Many Labs 4	1	1	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
Marek 2022 BWAS	1	1	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
PSA 004 JTB Turri	1	1	1	1	0	0	numeric_dn_checked_provenance_hardening_needed
