parent_corpus_database_id	preferred_source_family_names	cluster_ids	inventory_task_count	max_inventory_priority	unique_mirror_artifacts	local_or_mirrored_artifacts	downloaded_artifacts	sampled_artifacts	sample_failed_artifacts	parser_candidate_rows	high_priority_parser_candidate_rows	parse_table_candidate_rows	high_parse_table_candidate_rows	high_inspect_candidate_rows	parsed_table_count	parsed_candidate_result_table_count	parsed_context_or_false_positive_table_count	alias_covered_by_parsed_parent_count	parsed_native_rows	rows_with_effect_text	rows_with_n_text	rows_with_effect_and_n	rows_with_pair_or_result_context	rows_with_effect_n_and_pair_context	raw_viability_status	figure1_viability	raw_viability_reason	next_action	representative_files
raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e | cluster_osf_03_rp_cb_final_analysis_paper_level_data_e82d9617efa7 | cluster_rpcb_elife_registered_report_replication_effects_d7e3fd26d901 | ... +1 more	4	high	92	92	30	91	0	92	13	10	10	3	3	2	1	0	434	381	381	381	434	381	parsed_result_rows_with_effect_n_and_pair_context	candidate_for_figure1_mapping	Parsed native rows contain copied effect text, N text, and result/pair context.	Map native rows to represented original/replication sources, then extract D/N with source_result support rows.	RP_CB Final Analysis - Effect level data.csv | RP_CB Final Analysis - Effect level data.csv | osf_06__RP_CB_Final_Analysis_-_Effect_level_data.csv | RP_CB Final Analysis - Experiment level data dictionary.csv | RP_CB Final Analysis - Experiment level data.csv | RP_CB Final Analysis - Experiment level data.csv | osf_05__RP_CB_Final_Analysis_-_Experiment_level_data.csv | ... +6 more
many_labs_2 | doi:10.1177/2515245918810225	Many Labs 2: Investigating Variation in Replicability Across Samples and Settings	cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8	1	high	4	4	0	4	0	4	3	1	1	2	1	1	0	0	91	40	90	40	90	40	parsed_result_rows_with_effect_n_and_pair_context	candidate_for_figure1_mapping	Parsed native rows contain copied effect text, N text, and result/pair context.	Map native rows to represented original/replication sources, then extract D/N with source_result support rows.	Data_Figure_NOweird_oriEffects.csv | ML2_OriginalEffects.csv | ML2_OrignalEffects_Masterkey.csv
rpcb | doi:10.7554/eLife.71601	Reproducibility Project: Cancer Biology	cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f | cluster_reproducibility_project_cancer_biology_8ff34e7d6b72	2	high	92	92	30	91	0	92	13	10	10	3	0	0	0	2	0	0	0	0	0	0	alias_covered_by_parsed_result_parent	duplicate_or_alias_of_candidate_parent	This key is an alias of another parent whose parsed rows already contain effect and N evidence.	Deduplicate this alias into the parsed parent before source_result mapping.	RP_CB Final Analysis - Effect level data.csv | RP_CB Final Analysis - Effect level data.csv | osf_06__RP_CB_Final_Analysis_-_Effect_level_data.csv | RP_CB Final Analysis - Experiment level data dictionary.csv | RP_CB Final Analysis - Experiment level data.csv | RP_CB Final Analysis - Experiment level data.csv | osf_05__RP_CB_Final_Analysis_-_Experiment_level_data.csv | ... +5 more
raw_corpus:brodeur_star_wars_openicpsr	Brodeur Star Wars OpenICPSR replication package	cluster_brodeur_star_wars_openicpsr_9a38abb2140a	1	medium	427	427	0	180	27	427	84	0	0	84	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	aer_100_4.csv | aer_101_2.csv | aer_101_4.csv | aer_101_5.csv | aer_101_6.csv | ... +79 more
score	SCORE power and sample-size methods package | Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	cluster_osf_07_final_ss_template_direct_aab7d6f050d3 | cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850 | cluster_score_cos_preregistration_indicated_original_papers_dcacb6718443	3	high	304	304	138	302	0	304	50	0	0	44	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	Analysis-ready Data__Correlations Paper__corr_ksu_bibliometric.csv | Analysis-ready Data__Correlations Paper__corr_multi100.csv | Analysis-ready Data__Replication and Reproduction Papers__paper_status_tracking.csv | Analysis-ready Data__Replication and Reproduction Papers__pr_outcomes.csv | Change Logs__changes_pr_data-form.csv | ... +41 more
lead_harvest:covid_online_2021	The Generalizability of Online Experiments Conducted During the COVID-19 Pandemic	cluster_dataverse_manifest_62094fa0aad2 | cluster_dataverse_manifest_ee14f1be8828	2	medium	74	74	0	72	0	74	12	0	0	12	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	est_study_1.rds | est_study_10.rds | est_study_11.rds | est_study_12.rds | est_study_2.rds | ... +7 more
raw_corpus:nakagawa_yang	Nakagawa/Yang ecology and evolution in-silico replication corpus	cluster_nakagawa_yang_c7aa4950fea4	1	medium	210	210	0	146	0	210	8	0	0	8	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	dat_processed_SMD.csv | dat_processed_Zr.csv | dat_processed_lnRR.csv | ft089.csv | ft143.csv | ... +3 more
raw_corpus:political_science_unlock	Political Science Unlock	cluster_political_science_unlock_51f64b60725b | cluster_political_science_unlock_f7f85210dec5	2	high	317	317	0	234	0	317	4	0	0	4	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	aea_trials.csv | experimental-analyses.Rds | master_sheet_input.tab | master_sheet_output.tab
corpus_db_many_labs_5_overarching_analyses	Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability	cluster_many_labs_5_testing_pre_data_collection_peer_review_as_an_intervention_to_increa_3179bd6ddd6a	1	high	7	7	0	7	0	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	Summary Effect Sizes - Single Effects (including Orig and RPP).csv
family::ying_2023_pilot_full_scale_trials	Ying 2023 pilot-full-scale trials	cluster_ying_2023_770ed6292b41	1	high	120	120	0	120	0	120	1	0	0	1	0	0	0	0	0	0	0	0	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	possible_candidate_needs_custom_review	Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	ying_epmc_abstract_scan_first60.csv
