source_dataset	project	pair_id	original_title	replication_title	original_doi	replication_doi	outcome	D_original	N_original	D_replication	N_replication	raw_file	n_source_file	source_locator	verbatim_n_text_original	verbatim_n_text_replication	verbatim_effect_text_original	verbatim_effect_text_replication	d_n_transformation_note	match_author	promoted_file
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_aol_hr1_relative_deviation_rd_excitement_vs_calm	Andrade, Odean, and Lin (2016) excitement treatment and relative deviation	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Relative deviation (RD), Excitement vs Calm	1.723	39.0	0.23	62.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table C1	Manuscript: AOL replication n = 62 is 1.6 times larger than the original sample size; AOL original replicated conditions n = 39 markets.	HR1 RD Rep. 1 t60 = -0.905 p = 0.369 n = 62 Cohen's d Orig. 1.723 Rep. -0.230 Rel. ES -13.3% ; replication n = 62	HR1 RD Rep. 1 t60 = -0.905 p = 0.369 n = 62 Cohen's d Orig. 1.723 Rep. -0.230 Rel. ES -13.3%	HR1 RD Rep. 1 t60 = -0.905 p = 0.369 n = 62 Cohen's d Orig. 1.723 Rep. -0.230 Rel. ES -13.3%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_aol_hr1	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_aol_hr2_peak_overpricing_rdmax_excitement_vs_calm	Andrade, Odean, and Lin (2016) excitement treatment and peak overpricing	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Peak overpricing (RDMAX), Excitement vs Calm	1.284	39.0	0.179	62.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table C1	Manuscript: AOL replication n = 62 is 1.6 times larger than the original sample size; AOL original replicated conditions n = 39 markets.	HR2 RDMAX Rep. 1 t60 = -0.705 p = 0.483 n = 62 Cohen's d Orig. 1.284 Rep. -0.179 Rel. ES -13.9% ; replication n = 62	HR2 RDMAX Rep. 1 t60 = -0.705 p = 0.483 n = 62 Cohen's d Orig. 1.284 Rep. -0.179 Rel. ES -13.9%	HR2 RDMAX Rep. 1 t60 = -0.705 p = 0.483 n = 62 Cohen's d Orig. 1.284 Rep. -0.179 Rel. ES -13.9%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_aol_hr2	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_kls_hr1_relative_deviation_rd_highsc_vs_lowsc	Kocher, Lucks, and Schindler (2019) self-control treatment and relative deviation	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Relative deviation (RD), HighSC vs LowSC	1.032	16.0	0.129	104.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table D1	Manuscript: KLS replication n = 104 is 6.5 times larger than the original sample size; KLS original replicated conditions n = 16 markets.	HR1 RD Rep. 1 t102 = -0.659 p = 0.512 n = 104 Cohen's d Orig. 1.032 Rep. -0.129 Rel. ES -12.5% ; replication n = 104	HR1 RD Rep. 1 t102 = -0.659 p = 0.512 n = 104 Cohen's d Orig. 1.032 Rep. -0.129 Rel. ES -12.5%	HR1 RD Rep. 1 t102 = -0.659 p = 0.512 n = 104 Cohen's d Orig. 1.032 Rep. -0.129 Rel. ES -12.5%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_kls_hr1	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_kls_hr2_relative_absolute_deviation_rad_highsc_vs_lowsc	Kocher, Lucks, and Schindler (2019) self-control treatment and absolute deviation	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Relative absolute deviation (RAD), HighSC vs LowSC	1.193	16.0	0.148	104.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table D1	Manuscript: KLS replication n = 104 is 6.5 times larger than the original sample size; KLS original replicated conditions n = 16 markets.	HR2 RAD Rep. 1 t102 = -0.755 p = 0.452 n = 104 Cohen's d Orig. 1.193 Rep. -0.148 Rel. ES -12.4% ; replication n = 104	HR2 RAD Rep. 1 t102 = -0.755 p = 0.452 n = 104 Cohen's d Orig. 1.193 Rep. -0.148 Rel. ES -12.4%	HR2 RAD Rep. 1 t102 = -0.755 p = 0.452 n = 104 Cohen's d Orig. 1.193 Rep. -0.148 Rel. ES -12.4%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_kls_hr2	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_ef_hr1_spearman_correlation_fraction_female_traders_and_absolute_bias_ab	Eckel and Füllbrunn (2015) female-trader fraction and absolute bias	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Spearman correlation, fraction female traders and absolute bias (AB)	1.0873986116020544	35.0	0.28072517300433425	166.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table E1	Manuscript footnote: EF meta-analytic results aggregate data from 35 SSW markets reported in the literature.	HR1 AB rho = 0.139 z = 1.774 p = 0.075 n = 166 Rel. ES -29.1% ; replication n = 166	Original rho inferred as replication rho (0.139) / Rel. ES ratio (-0.291) = -0.477663; source row: HR1 AB rho = 0.139 z = 1.774 p = 0.075 n = 166 Rel. ES -29.1%	HR1 AB rho = 0.139 z = 1.774 p = 0.075 n = 166 Rel. ES -29.1%	EF source table reports replication rho and relative effect size; original rho is inferred from original = replication / relative_effect_size, then both correlations are mapped to d as abs(2*r/sqrt(1-r^2)).	asset_market_ef_hr1	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_ef_hr2_spearman_correlation_fraction_female_traders_and_positive_deviation_pd	Eckel and Füllbrunn (2015) female-trader fraction and positive deviation	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Spearman correlation, fraction female traders and positive deviation (PD)	0.7475431231278794	35.0	0.30964571016645037	166.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table E1	Manuscript footnote: EF meta-analytic results aggregate data from 35 SSW markets reported in the literature.	HR2 PD rho = 0.153 z = 1.962 p = 0.049 n = 166 Rel. ES -43.7% ; replication n = 166	Original rho inferred as replication rho (0.153) / Rel. ES ratio (-0.437) = -0.350114; source row: HR2 PD rho = 0.153 z = 1.962 p = 0.049 n = 166 Rel. ES -43.7%	HR2 PD rho = 0.153 z = 1.962 p = 0.049 n = 166 Rel. ES -43.7%	EF source table reports replication rho and relative effect size; original rho is inferred from original = replication / relative_effect_size, then both correlations are mapped to d as abs(2*r/sqrt(1-r^2)).	asset_market_ef_hr2	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_ef_hr3_spearman_correlation_fraction_female_traders_and_boom_duration	Eckel and Füllbrunn (2015) female-trader fraction and boom duration	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Spearman correlation, fraction female traders and boom duration	0.8490141847734067	35.0	0.18680961255590703	166.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table E1	Manuscript footnote: EF meta-analytic results aggregate data from 35 SSW markets reported in the literature.	HR3 Boom rho = 0.093 z = 1.186 p = 0.234 n = 166 Rel. ES -23.8% ; replication n = 166	Original rho inferred as replication rho (0.093) / Rel. ES ratio (-0.238) = -0.390756; source row: HR3 Boom rho = 0.093 z = 1.186 p = 0.234 n = 166 Rel. ES -23.8%	HR3 Boom rho = 0.093 z = 1.186 p = 0.234 n = 166 Rel. ES -23.8%	EF source table reports replication rho and relative effect size; original rho is inferred from original = replication / relative_effect_size, then both correlations are mapped to d as abs(2*r/sqrt(1-r^2)).	asset_market_ef_hr3	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_ef_hr4_spearman_correlation_fraction_female_traders_and_bust_duration	Eckel and Füllbrunn (2015) female-trader fraction and bust duration	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	Spearman correlation, fraction female traders and bust duration	1.226339686341874	35.0	0.04601217182938625	166.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table E1	Manuscript footnote: EF meta-analytic results aggregate data from 35 SSW markets reported in the literature.	HR4 Bust rho = -0.023 z = -0.299 p = 0.765 n = 166 Rel. ES -4.4% ; replication n = 166	Original rho inferred as replication rho (-0.023) / Rel. ES ratio (-0.044) = 0.522727; source row: HR4 Bust rho = -0.023 z = -0.299 p = 0.765 n = 166 Rel. ES -4.4%	HR4 Bust rho = -0.023 z = -0.299 p = 0.765 n = 166 Rel. ES -4.4%	EF source table reports replication rho and relative effect size; original rho is inferred from original = replication / relative_effect_size, then both correlations are mapped to d as abs(2*r/sqrt(1-r^2)).	asset_market_ef_hr4	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_cdp_hr1_crt_association_with_earnings	Corgnet, Desantis, and Porter (2018) cognitive reflection and earnings	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	CRT association with earnings	0.297	167.0	0.341	1542.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table F1	Internet Appendix A: CDP original n = 167 and replication n = 1,542.	HR1 CRT t165 = 6.690 p < 0.001 n = 1,542 Cohen's d Orig. 0.297 Rep. 0.341 Rel. ES 114.7% ; replication n = 1542	HR1 CRT t165 = 6.690 p < 0.001 n = 1,542 Cohen's d Orig. 0.297 Rep. 0.341 Rel. ES 114.7%	HR1 CRT t165 = 6.690 p < 0.001 n = 1,542 Cohen's d Orig. 0.297 Rep. 0.341 Rel. ES 114.7%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_cdp_hr1	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
Experimental asset-market replication appendix tables	Experimental asset-market replications	asset_market_cdp_hr2_apm_association_with_earnings	Corgnet, Desantis, and Porter (2018) fluid intelligence and earnings	High-powered preregistered replications of experimental asset-market results		10.2139/ssrn.5048949	APM association with earnings	0.404	167.0	0.246	1542.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/abbd67d08a8a__q79e2.bin	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/6fed2ea9e840__zx2uv.bin	Internet Appendix Table F1	Internet Appendix A: CDP original n = 167 and replication n = 1,542.	HR2 APM t165 = 4.826 p < 0.001 n = 1,542 Cohen's d Orig. 0.404 Rep. 0.246 Rel. ES 60.9% ; replication n = 1542	HR2 APM t165 = 4.826 p < 0.001 n = 1,542 Cohen's d Orig. 0.404 Rep. 0.246 Rel. ES 60.9%	HR2 APM t165 = 4.826 p < 0.001 n = 1,542 Cohen's d Orig. 0.404 Rep. 0.246 Rel. ES 60.9%	Internet Appendix table reports original and replication estimates in Cohen's d units; signed replication estimates are converted to absolute D for the Figure 1 magnitude axis.	asset_market_cdp_hr2	data/derived/replication_pairs/harvest/promoted/asset_market_replications__promoted_pairs.csv
